Function                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                         Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Source File                Start Address
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  -----------------------------  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------  -------------
Eigen::internal::redux_impl<struct Eigen::internal::scalar_sum_op<double,double>,class Eigen::internal::redux_evaluator<class Eigen::CwiseUnaryOp<struct Eigen::internal::scalar_abs_op<double>,class Eigen::Block<class Eigen::Block<class Eigen::Matrix<double,3,3,0,3,3>,3,1,1>,-1,1,0> const > >,3,0>::run<class Eigen::CwiseUnaryOp<struct Eigen::internal::scalar_abs_op<double>,class Eigen::Block<class Eigen::Block<class Eigen::Matrix<double,3,3,0,3,3>,3,1,1>,-1,1,0> const > >    0.061s                   0.061s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::redux_impl<struct Eigen::internal::scalar_sum_op<double,double>,class Eigen::internal::redux_evaluator<class Eigen::CwiseUnaryOp<struct Eigen::internal::scalar_abs_op<double>,class Eigen::Block<class Eigen::Block<class Eigen::Matrix<double,3,3,0,3,3>,3,1,1>,-1,1,0> const > >,3,0>::run<class Eigen::CwiseUnaryOp<struct Eigen::internal::scalar_abs_op<double>,class Eigen::Block<class Eigen::Block<class Eigen::Matrix<double,3,3,0,3,3>,3,1,1>,-1,1,0> const > >(class Eigen::internal::redux_evaluator<class Eigen::CwiseUnaryOp<struct Eigen::internal::scalar_abs_op<double>,class Eigen::Block<class Eigen::Block<class Eigen::Matrix<double,3,3,0,3,3>,3,1,1>,-1,1,0> const > > const &,struct Eigen::internal::scalar_sum_op<double,double> const &,class Eigen::CwiseUnaryOp<struct Eigen::internal::scalar_abs_op<double>,class Eigen::Block<class Eigen::Block<class Eigen::Matrix<double,3,3,0,3,3>,3,1,1>,-1,1,0> const > const &)  Redux.h                    0x140184420  
gbp::Factor::computeMessages                                                                                                                                                                                                                                                                                                                                                                                                                                                                   0.046s                   0.046s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  gbp::Factor::computeMessages(double)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Factor.cpp                 0x1401c9630  
Eigen::internal::triangular_solver_unroller<Eigen::Matrix<double,3,3,0,3,3> const ,Eigen::Matrix<double,3,1,0,3,1>,1,0,3,0>::run                                                                                                                                                                                                                                                                                                                                                               0.032s                   0.032s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::triangular_solver_unroller<Eigen::Matrix<double,3,3,0,3,3> const ,Eigen::Matrix<double,3,1,0,3,1>,1,0,3,0>::run                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SolveTriangular.h          0x14019e4c3  
Eigen::CwiseUnaryOp<Eigen::internal::scalar_abs_op<double>,Eigen::Block<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,3,1,1>,-1,1,0> const >::{ctor}                                                                                                                                                                                                                                                                                                                                            0.031s                   0.031s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::CwiseUnaryOp<Eigen::internal::scalar_abs_op<double>,Eigen::Block<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,3,1,1>,-1,1,0> const >::{ctor}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       CwiseUnaryOp.h             0x1401bc85f  
Eigen::LLT<class Eigen::Matrix<double,3,3,0,3,3>,1>::compute<class Eigen::Matrix<double,3,3,0,3,3> >                                                                                                                                                                                                                                                                                                                                                                                           0.031s                   0.031s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::LLT<class Eigen::Matrix<double,3,3,0,3,3>,1>::compute<class Eigen::Matrix<double,3,3,0,3,3> >(struct Eigen::EigenBase<class Eigen::Matrix<double,3,3,0,3,3> > const &)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             LLT.h                      0x14012df00  
Eigen::internal::triangular_solve_matrix<double,__int64,1,1,0,0,0,1>::run                                                                                                                                                                                                                                                                                                                                                                                                                      0.020s                   0.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::triangular_solve_matrix<double,__int64,1,1,0,0,0,1>::run(__int64,__int64,double const *,__int64,double *,__int64,__int64,class Eigen::internal::level3_blocking<double,double> &)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        TriangularSolverMatrix.h   0x140179be0  
Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,-1,1,0> >,Eigen::internal::evaluator<Eigen::Product<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,-1,-1,0>,Eigen::Transpose<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,1,-1,0> const >,1> >,Eigen::internal::sub_assign_op<double,double>,0>::{ctor}                                                                                                                 0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,-1,1,0> >,Eigen::internal::evaluator<Eigen::Product<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,-1,-1,0>,Eigen::Transpose<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,1,-1,0> const >,1> >,Eigen::internal::sub_assign_op<double,double>,0>::{ctor}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            AssignEvaluator.h          0x1401010f2  
Eigen::internal::BlockImpl_dense<Eigen::Map<Eigen::Matrix<double,-1,-1,1,-1,-1> const ,0,Eigen::OuterStride<-1> > const ,1,-1,1,1>::{ctor}                                                                                                                                                                                                                                                                                                                                                     0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::BlockImpl_dense<Eigen::Map<Eigen::Matrix<double,-1,-1,1,-1,-1> const ,0,Eigen::OuterStride<-1> > const ,1,-1,1,1>::{ctor}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Block.h                    0x14017c6bd  
gbp::VariableNode::updateBeliefImpl_                                                                                                                                                                                                                                                                                                                                                                                                                                                           0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  gbp::VariableNode::updateBeliefImpl_(bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                VariableNode.cpp           0x1401ec300  
Eigen::internal::gemm_blocking_space<0,double,double,3,3,3,4,1>::{ctor}                                                                                                                                                                                                                                                                                                                                                                                                                        0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::gemm_blocking_space<0,double,double,3,3,3,4,1>::{ctor}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   GeneralMatrixMatrix.h      0x1401b9fe9  
Eigen::DenseBase<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,1,3,0> >::head                                                                                                                                                                                                                                                                                                                                                                                                                   0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::DenseBase<Eigen::Block<Eigen::Matrix<double,3,3,0,3,3>,1,3,0> >::head                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              BlockMethods.h             0x14012df76  
