Function                                                                                                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                         Function (Full)                                                                                                                                                                                                                                                                                                                                                                                              Source File                Start Address
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------  -----------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  -----------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------------  -------------
Eigen::internal::triangular_solve_matrix<double,__int64,1,2,0,1,0,1>::run                                                                                                                                                                          0.046s                   0.046s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::triangular_solve_matrix<double,__int64,1,2,0,1,0,1>::run(__int64,__int64,double const *,__int64,double *,__int64,__int64,class Eigen::internal::level3_blocking<double,double> &)                                                                                                                                                                                                           TriangularSolverMatrix.h   0x14017a850  
gbp::Factor::computeMessages                                                                                                                                                                                                                       0.030s                   0.030s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  gbp::Factor::computeMessages(double)                                                                                                                                                                                                                                                                                                                                                                         Factor.cpp                 0x1401c9630  
Eigen::internal::llt_inplace<double,1>::unblocked<Eigen::Matrix<double,3,3,0,3,3> >                                                                                                                                                                0.030s                   0.030s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::llt_inplace<double,1>::unblocked<Eigen::Matrix<double,3,3,0,3,3> >                                                                                                                                                                                                                                                                                                                          LLT.h                      0x140100f90  
Eigen::LLT<class Eigen::Matrix<double,3,3,0,3,3>,1>::compute<class Eigen::Matrix<double,3,3,0,3,3> >                                                                                                                                               0.019s                   0.019s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::LLT<class Eigen::Matrix<double,3,3,0,3,3>,1>::compute<class Eigen::Matrix<double,3,3,0,3,3> >(struct Eigen::EigenBase<class Eigen::Matrix<double,3,3,0,3,3> > const &)                                                                                                                                                                                                                                LLT.h                      0x14012df00  
Eigen::internal::triangular_solver_unroller<Eigen::Transpose<Eigen::Matrix<double,3,3,0,3,3> const > const ,Eigen::Matrix<double,3,1,0,3,1>,2,1,3,0>::run                                                                                          0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::triangular_solver_unroller<Eigen::Transpose<Eigen::Matrix<double,3,3,0,3,3> const > const ,Eigen::Matrix<double,3,1,0,3,1>,2,1,3,0>::run                                                                                                                                                                                                                                                    SolveTriangular.h          0x1401bf1f2  
Eigen::internal::variable_if_dynamic<__int64,-1>::{ctor}                                                                                                                                                                                           0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::variable_if_dynamic<__int64,-1>::{ctor}                                                                                                                                                                                                                                                                                                                                                     XprHelper.h                0x14012e062  
gbp::VariableNode::updateBeliefImpl_                                                                                                                                                                                                               0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  gbp::VariableNode::updateBeliefImpl_(bool)                                                                                                                                                                                                                                                                                                                                                                   VariableNode.cpp           0x1401ec300  
_security_check_cookie                                                                                                                                                                                                                             0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  _security_check_cookie                                                                                                                                                                                                                                                                                                                                                                                       amdsecgs.asm               0x14014aa90  
Eigen::NoAlias<Eigen::Matrix<double,3,1,0,3,1>,Eigen::MatrixBase>::operator+=                                                                                                                                                                      0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::NoAlias<Eigen::Matrix<double,3,1,0,3,1>,Eigen::MatrixBase>::operator+=                                                                                                                                                                                                                                                                                                                                NoAlias.h                  0x1401ec714  
Eigen::internal::triangular_solver_unroller<Eigen::Matrix<double,3,3,0,3,3> const ,Eigen::Matrix<double,3,1,0,3,1>,1,0,3,0>::run                                                                                                                   0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::triangular_solver_unroller<Eigen::Matrix<double,3,3,0,3,3> const ,Eigen::Matrix<double,3,1,0,3,1>,1,0,3,0>::run                                                                                                                                                                                                                                                                             SolveTriangular.h          0x14019e4c3  
Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<double,3,3,0,3,3> >,Eigen::internal::evaluator<Eigen::Matrix<double,3,3,0,3,3> >,Eigen::internal::assign_op<double,double>,0>::assignPacket              0.016s                   0.016s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  test_synthetic_se2_mg_svd.exe  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<double,3,3,0,3,3> >,Eigen::internal::evaluator<Eigen::Matrix<double,3,3,0,3,3> >,Eigen::internal::assign_op<double,double>,0>::assignPacket                                                                                                                                                                        AssignEvaluator.h          0x14012df48  
