# of nodes	        iters		time
256			        105          4.9899821281433105
512                 77           6.832485914230347
1024                150          28.867820739746094
2048                100          35.16724491119385
4096                185          156.85783433914185
8196                304          768.7591967582703           



# of nodes	iters		time
256			868         10.840996980667114
512         1669        53.138646364212036
1024        7566        593.8828203678131
2048        3434        528.84259557724
4096        3449        1184.7146832942963
8196        >30000      >18000   
