iter,vanilla_map_sse,raylib_two_level_map_sse
0,3.422210016798e+06,3.422210016798e+06
1,3.103790261852e+06,3.073759835768e+06
2,2.527484762767e+06,2.308548100956e+06
3,1.753404620179e+06,1.470029208318e+06
4,1.123356954824e+06,9.315147350434e+05
5,6.698050944327e+05,6.192021347819e+05
6,4.143583812123e+05,4.713017126647e+05
7,1.901921426553e+05,3.944985405262e+05
8,8.369424037833e+04,3.483602442155e+05
9,3.366343232339e+04,3.060721874517e+05
10,2.233911312744e+04,2.858966927071e+05
11,1.227703852747e+04,2.682543476637e+05
12,2.599958237813e+02,2.409612062194e+05
13,2.091996885345e+02,2.184776039377e+05
14,1.662846870686e+02,1.963579286589e+05
15,1.325736821631e+02,1.807623721719e+05
16,1.054623434734e+02,1.676900331260e+05
17,8.433295530168e+01,1.526996669791e+05
18,6.846161281672e+01,1.389316423154e+05
19,5.704254293194e+01,1.281140285675e+05
20,4.936376334664e+01,1.178992226435e+05
21,4.467917701676e+01,1.078376002016e+05
22,4.221974290486e+01,9.864930220483e+04
23,4.092998119838e+01,9.049910635152e+04
24,4.021653438023e+01,8.309066003853e+04
25,3.972820876511e+01,7.622174745005e+04
26,3.922425772244e+01,6.977483490971e+04
27,3.869744977544e+01,6.386239842385e+04
28,3.816080191293e+01,5.857859901013e+04
29,3.761945120752e+01,5.371070055033e+04
30,3.707861623980e+01,4.916256001140e+04
31,3.654211888623e+01,4.504550208612e+04
32,3.600902860342e+01,4.129711882999e+04
33,3.548090420658e+01,3.782085903149e+04
34,3.495781053297e+01,3.463885757960e+04
35,3.444101274404e+01,3.173608257163e+04
36,3.393047199524e+01,2.907222466773e+04
37,3.342620723326e+01,2.663765478582e+04
38,3.292860607848e+01,2.440400431695e+04
39,3.243804845872e+01,2.234887506671e+04
40,3.195439090456e+01,2.047051429645e+04
41,3.147779292177e+01,1.875346529535e+04
42,3.100831224559e+01,1.717913779419e+04
43,3.054586053166e+01,1.573689599754e+04
44,3.009043602051e+01,1.441433490312e+04
45,2.964194988717e+01,1.320187698951e+04
46,2.920026709223e+01,1.209266900282e+04
47,2.876528827099e+01,1.107685209908e+04
48,2.833688494352e+01,1.014594115746e+04
49,2.791493047368e+01,9.293404207283e+03
50,2.749930617175e+01,8.512165307189e+03
51,2.708990187310e+01,7.796283393832e+03
52,2.668660955884e+01,7.140786094312e+03
53,2.628932983792e+01,6.540442282771e+03
54,2.589796935520e+01,5.990655434064e+03
55,2.551243758481e+01,5.487119452008e+03
56,2.513264472945e+01,5.025608409724e+03
57,2.475850474105e+01,4.602786279275e+03
58,2.438993344038e+01,4.215734199711e+03
59,2.402684815839e+01,3.861290053788e+03
60,2.366916749362e+01,3.536571593751e+03
61,2.331681139896e+01,3.239120432852e+03
62,2.296970069845e+01,2.966652081423e+03
63,2.262775738758e+01,2.717092731763e+03
64,2.229090474143e+01,2.488556834037e+03
65,2.195906702566e+01,2.279248019856e+03
66,2.163216960883e+01,2.087534195999e+03
67,2.131013896637e+01,1.911937808861e+03
68,2.099290259010e+01,1.751092294020e+03
69,2.068038906562e+01,1.603770187431e+03
70,2.037252804394e+01,1.468858210379e+03
71,2.006925022249e+01,1.345301773461e+03
72,1.977048732402e+01,1.232130506365e+03
73,1.947617210194e+01,1.128471840808e+03
74,1.918623831356e+01,1.033530117880e+03
75,1.890062071124e+01,9.465766434814e+02
76,1.861925502213e+01,8.669431090566e+02
77,1.834207793757e+01,7.940096324377e+02
78,1.806902709340e+01,7.272088440715e+02
79,1.780004105745e+01,6.660256697276e+02
80,1.753505931422e+01,6.099892303007e+02
81,1.727402225048e+01,5.586677436954e+02
82,1.701687114128e+01,5.116654506606e+02
83,1.676354813671e+01,4.686177118112e+02
84,1.651399624847e+01,4.291906299525e+02
85,1.626815933682e+01,3.930798219624e+02
86,1.602598209802e+01,3.600070279126e+02
87,1.578741005172e+01,3.297171318503e+02
88,1.555238952857e+01,3.019761840183e+02
89,1.532086765833e+01,2.765691874405e+02
90,1.509279235778e+01,2.532993691650e+02
91,1.486811231909e+01,2.319870884532e+02
92,1.464677699826e+01,2.124680038109e+02
93,1.442873660371e+01,1.945913588557e+02
94,1.421394208513e+01,1.782189233074e+02
95,1.400234512243e+01,1.632239530970e+02
96,1.379389811483e+01,1.494904782853e+02
97,1.358855417021e+01,1.369124323028e+02
98,1.338626709450e+01,1.253927056854e+02
99,1.318699138135e+01,1.148422839427e+02
100,1.299068220183e+01,1.051795971106e+02
