post_warm_iter,vanilla_map_sse,raylib_two_level_map_sse,raylib_multilevel_map_sse
0,3.707861623980e+01,3.707861623980e+01,3.707861623980e+01
1,3.654211888623e+01,3.471604810272e+01,3.484577454379e+01
2,3.600902860342e+01,3.189158397554e+01,3.203507464702e+01
3,3.548090420658e+01,2.935838418593e+01,2.954876536661e+01
4,3.495781053297e+01,2.703950993269e+01,2.727763869799e+01
5,3.444101274404e+01,2.483153999217e+01,2.508268742298e+01
6,3.393047199524e+01,2.276333591803e+01,2.301902630473e+01
7,3.342620723326e+01,2.084636786755e+01,2.110178442862e+01
8,3.292860607848e+01,1.910270071545e+01,1.934540735810e+01
9,3.243804845872e+01,1.751555611785e+01,1.774201376925e+01
10,3.195439090456e+01,1.605429127465e+01,1.626853515100e+01
11,3.147779292177e+01,1.471084542445e+01,1.491366623445e+01
12,3.100831224559e+01,1.347800503364e+01,1.366791264642e+01
13,3.054586053166e+01,1.234694501682e+01,1.252470168372e+01
14,3.009043602051e+01,1.131216509143e+01,1.147906584791e+01
15,2.964194988717e+01,1.036420051614e+01,1.052082453642e+01
16,2.920026709223e+01,9.495168953379e+00,9.641406631307e+00
17,2.876528827099e+01,8.698768178656e+00,8.834785975630e+00
18,2.833688494352e+01,7.968299757072e+00,8.095379410291e+00
19,2.791493047368e+01,7.298976350431e+00,7.417850548090e+00
20,2.749930617175e+01,6.686256886528e+00,6.797021791059e+00
21,2.708990187310e+01,6.124803826799e+00,6.228059043169e+00
22,2.668660955884e+01,5.610398435530e+00,5.706733556268e+00
23,2.628932983792e+01,5.139144783307e+00,5.228862743373e+00
24,2.589796935520e+01,4.707224125042e+00,4.790844633339e+00
25,2.551243758481e+01,4.311599062824e+00,4.389571867971e+00
26,2.513264472945e+01,3.949341871176e+00,4.021928268454e+00
27,2.475850474105e+01,3.617432547332e+00,3.685020394814e+00
28,2.438993344038e+01,3.313331364105e+00,3.376304501039e+00
29,2.402684815839e+01,3.034802804932e+00,3.093405211456e+00
30,2.366916749362e+01,2.779679548968e+00,2.834193428243e+00
31,2.331681139896e+01,2.545964683538e+00,2.596710377452e+00
32,2.296970069845e+01,2.331884775972e+00,2.379108392120e+00
33,2.262775738758e+01,2.135820813853e+00,2.179731053191e+00
34,2.229090474143e+01,1.956242804805e+00,1.997063469419e+00
35,2.195906702566e+01,1.791726641658e+00,1.829680725087e+00
36,2.163216960883e+01,1.641027557137e+00,1.676313323586e+00
37,2.131013896637e+01,1.503018489382e+00,1.535809431441e+00
