outer,phase,objective,gap_to_direct_optimum,x_rel_to_direct,accepted,objective_improvement,x_rel_improvement,selected_c,selected_k,selected_beta,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
0,initial,3350168.410825497,3350060.491764923,1.2312708232912002,True,,,,,,,,,,
1,geometry_high,38832389.48202884,38832281.56296827,0.4284144370601343,True,-35482221.07120334,0.8028563862310658,5,50,1.0,16297649311.802877,0.3977789389977822,38832389.48202884,1.5764626177207812,1.5764625273592534
2,geometry_high,72659315.8244745,72659207.90541393,0.1390746138261819,True,-33826926.34244566,0.28933982323395246,5,50,1.0,467427732.73767984,0.35229034720193336,72659315.8244745,0.8099079907958682,0.8099082423118394
3,geometry_high,3963430.531891292,3963322.612830718,0.034379976230420106,True,68695885.29258321,0.10469463759576178,5,50,1.0,4088016660.234532,0.2513625962510028,3963430.531891292,1.47220941050821,1.4722095881489343
4,geometry_high,160115.26462707054,160007.34556649651,0.020541950478499476,True,3803315.2672642213,0.01383802575192063,5,50,1.0,1331435064.7446742,0.5966370568449426,160115.26462707054,1.7039119163943413,1.7039121493109421
5,geometry_high,2771074.3254755824,2770966.4064150085,0.12100475991522369,True,-2610959.0608485118,-0.10046280943672421,3,50,0.8,7009449540.104769,7.6261831703020135,3721237.7083089543,11.57027043559512,11.570273047490966
6,geometry_high,238602.2272697789,238494.30820920487,0.08113845973370047,True,2532472.0982058034,0.03986630018152322,5,50,1.0,1742667480.9659224,0.6712936285510889,238602.2272697789,1.5057199673207837,1.5057201926364947
7,geometry_high,10810.101222772468,10702.18216219843,0.06771443224364214,True,227792.12604700643,0.013424027490058332,5,50,1.0,309271233.3053621,0.8343152519966922,10810.101222772468,3.91901857996569,3.9190198753281313
8,geometry_high,196905.71926891012,196797.8002083361,0.0610209327722259,True,-186095.61804613765,0.006693499471416238,5,50,0.5,2546691627.664694,0.8035663175054527,615469.5115877803,1.4261706619024002,1.426170891440672
9,geometry_high,195982.9438335086,195875.02477293456,0.031748317872416,True,922.7754354015342,0.029272614899809903,5,50,1.0,1431616083.7062593,0.5204430166226482,195982.9438335086,2.824040401324041,2.824040848274814
10,geometry_high,11833.084848942626,11725.16578836859,0.014084539052866918,True,184149.85898456597,0.01766377881954908,5,50,1.0,348292711.1425912,0.44359494940346755,11833.084848942626,1.5656660224300587,1.5656662247514972
11,geometry_high,540.8721653490666,432.9531047750305,0.013291616472105895,True,11292.21268359356,0.0007929225807610223,5,50,1.0,62047089.49998607,0.943411817540029,540.8721653490666,0.29415101186073905,0.29415107252325934
12,geometry_mid,317.6384475213946,209.71938694735857,0.012520685650024342,True,223.23371782767197,0.0007709308220815534,5,100,0.3,288227451.65541744,0.8223240772204279,7777.334757979762,1.170621962188485,1.1706222091827132
13,geometry_mid,237.57615895219422,129.6570983781582,0.011479406762983407,True,80.06228856920038,0.0010412788870409351,3,50,1.0,33846853.13556382,0.9170495058733491,237.57615895219422,2.6338822874266175,2.6338826514038947
14,geometry_mid,219.31328659010367,111.39422601606765,0.01337154162356586,True,18.262872362090548,-0.0018921348605824527,2,100,1.0,34271386.954997964,1.1648203938173285,219.31328659010367,0.2776459193799143,0.2776459858589031
15,geometry_mid,214.62164512027536,106.70258454623934,0.013278152388381982,True,4.691641469828312,9.338923518387686e-05,3,50,0.01,6712750589.821601,0.9136440417531485,4067418.869998797,34.85050260997803,34.850506164176
16,geometry_mid,208.36310037806194,100.44403980402592,0.013442294449068937,True,6.258544742213417,-0.00016414206068695453,3,50,0.002,32627569546.015583,17.534180143339768,111078938.96033637,0.7754861793659769,0.7754862621493965
17,geometry_mid,148.2410176631039,40.321957089067865,0.013535663721216151,True,60.122082714958054,-9.336927214721388e-05,3,50,0.1,468680598.0926752,1.071184010804396,20986.17089271946,3.583949539887784,3.5839501637170894
18,objective_low,143.0659994105176,35.14693883648158,0.011250780682290561,True,5.175018252586284,0.00228488303892559,5,200,1.0,18926809.439579792,0.8314898934500802,143.0659994105176,27.520039449331506,27.520053315818576
19,objective_low,116.72287532948015,8.803814755444122,0.01219961649189879,True,26.34312408103746,-0.0009488358096082297,2,300,0.5,38990782.36546385,1.1727713553538437,246.63049145390826,0.16370272759693047,0.16370275205297227
20,objective_low,115.68415512697575,7.765094552939729,0.012606045522721425,True,1.0387202025043933,-0.0004064290308226342,5,200,1.0,8382176.221377459,1.0339780043869238,115.68415512697575,0.6434091464059559,0.6434101451313683
