outer,phase,nonlinear_objective,gap_to_direct_optimum,x_rel_to_direct,accepted,objective_improvement,x_rel_improvement,selected_c,selected_k,selected_beta,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio,kick_gate_max_e_rel_to_exact,kick_gate_objective_cap_multiplier,status
0,initial,3350168.410825497,3350060.491764923,1.2312708232912002,True,,,,,,,,,,,,,
1,geometry_high,38832389.48202884,38832281.56296827,0.4284144370601343,True,-35482221.07120334,0.8028563862310658,5,50,1.0,16297649311.802877,0.3977789389977822,38832389.48202884,1.5764626177207812,1.5764625273592534,,,
2,geometry_high,72659315.8244745,72659207.90541393,0.1390746138261819,True,-33826926.34244566,0.28933982323395246,5,50,1.0,467427732.73767984,0.35229034720193336,72659315.8244745,0.8099079907958682,0.8099082423118394,,,
3,geometry_high,3963430.531891292,3963322.612830718,0.034379976230420106,True,68695885.29258321,0.10469463759576178,5,50,1.0,4088016660.234532,0.2513625962510028,3963430.531891292,1.47220941050821,1.4722095881489343,,,
4,geometry_high,160115.26462707054,160007.34556649651,0.020541950478499476,True,3803315.2672642213,0.01383802575192063,5,50,1.0,1331435064.7446742,0.5966370568449426,160115.26462707054,1.7039119163943413,1.7039121493109421,,,
5,geometry_high,2771074.3254755824,2770966.4064150085,0.12100475991522369,True,-2610959.0608485118,-0.10046280943672421,3,50,0.8,7009449540.104769,7.6261831703020135,3721237.7083089543,11.57027043559512,11.570273047490966,,,
6,geometry_high,238602.2272697789,238494.30820920487,0.08113845973370047,True,2532472.0982058034,0.03986630018152322,5,50,1.0,1742667480.9659224,0.6712936285510889,238602.2272697789,1.5057199673207837,1.5057201926364947,,,
7,geometry_high,10810.101222772468,10702.18216219843,0.06771443224364214,True,227792.12604700643,0.013424027490058332,5,50,1.0,309271233.3053621,0.8343152519966922,10810.101222772468,3.91901857996569,3.9190198753281313,,,
8,geometry_high,196905.71926891012,196797.8002083361,0.0610209327722259,True,-186095.61804613765,0.006693499471416238,5,50,0.5,2546691627.664694,0.8035663175054527,615469.5115877803,1.4261706619024002,1.426170891440672,,,
9,geometry_high,195982.9438335086,195875.02477293456,0.031748317872416,True,922.7754354015342,0.029272614899809903,5,50,1.0,1431616083.7062593,0.5204430166226482,195982.9438335086,2.824040401324041,2.824040848274814,,,
10,geometry_high,11833.084848942626,11725.16578836859,0.014084539052866918,True,184149.85898456597,0.01766377881954908,5,50,1.0,348292711.1425912,0.44359494940346755,11833.084848942626,1.5656660224300587,1.5656662247514972,,,
11,geometry_high,540.8721653490666,432.9531047750305,0.013291616472105895,True,11292.21268359356,0.0007929225807610223,5,50,1.0,62047089.49998607,0.943411817540029,540.8721653490666,0.29415101186073905,0.29415107252325934,,,
12,geometry_mid_entry,209.00372434703644,101.08466377300041,0.013440923784275995,True,331.8684410020301,-0.0001493073121701001,5,200,1.0,33083803.443947285,1.0107020825226907,209.00372434703644,0.9642499330237498,0.9642504063665336,,,
13,geometry_mid,125.70169959247984,17.782639018443817,0.011510692063687706,True,83.3020247545566,0.0019302317205882897,3,50,1.0,1084739.9364038133,0.8567711466333721,125.70169959247984,0.007508626049564472,0.007507921065404809,,,
14,objective_low,113.93577364446239,6.016713070426363,0.006035128308254889,True,11.765925948017454,0.005475563755432816,5,200,0.8,11138007.517842723,0.4054978014024045,115.83660771125513,3.078093318468177,3.078093203406488,,,
15,objective_low,108.53762756591658,0.6185669918805559,0.005932798336365932,True,5.398146078545807,0.0001023299718889573,4,200,0.1,65665055.69565154,0.8504280520076383,502.64692387602094,1.785352252341247,1.7853524775070035,,,
16,objective_low,108.53213078852875,0.6130702144927227,0.005941172972583221,True,0.005496777387833163,-8.37463621728915e-06,4,200,0.001,242538940.33708206,2.4785980253834263,5575.044725865123,1.3288816226151179,1.3288818315382172,,,
17,objective_low,108.51855929968124,0.5994987256452191,0.005932384055296472,True,0.013571488847503588,8.788917286749187e-06,5,200,0.02,21107353.26955675,0.936691603485895,149.72494815111526,1.0276106876160322,1.0276108626678184,,,
18,kick_gate,197.90581352676324,89.98675295272722,0.0005089685826466671,True,-89.387254227082,0.005423415472649805,5,200,1.0,29819520.434838403,0.08561892851774829,197.90581352676324,2.4142244475372205,2.414224671795669,0.8,2.5,
19,objective_low,111.17624434366519,3.2571837696291652,0.01710415681296848,True,86.72956918309805,-0.016595188230321814,5,200,1.0,14249712.7338782,33.64454461248927,111.17624434366519,1.890534602841698,1.890534177157061,,,
20,objective_low,108.47424853920066,0.5551879651646345,0.016343819351312242,True,2.7019958044645307,0.0007603374616562374,5,200,0.1,36038601.60266172,0.5556461337481768,236.79901410745796,1.378344588578083,1.3783447792123111,,,
21,kick_gate,147.24951783363113,39.33045725959511,0.0032149217527803944,True,-38.77526929443047,0.013128897598531848,4,200,1.0,37776547.303427346,0.19612662727271268,147.24951783363113,0.5174124758345731,0.5174128920036508,0.8,2.5,
22,objective_low,113.56118843752064,5.6421278634846175,0.0026553060318595047,True,33.68832939611049,0.0005596157209208897,4,200,0.2,79587486.59144333,0.2997600839970433,696.6175555152845,1.1255931897989282,1.1255931812091138,,,
23,objective_low,113.02933071782981,5.110270143793784,0.002495248917196543,True,0.5318577196908336,0.00016005711466296176,5,200,0.05,34592672.73500623,0.81137653239064,207.7469517090539,0.9903768776844237,0.9903769920016091,,,
24,objective_low,112.0264409330108,4.10738035897478,0.0027222266053937923,True,1.0028897848190041,-0.00022697768819724936,5,200,0.2,15971121.723754797,2.6713768683167713,169.69874048400007,2.972672033105849,2.9726703630119906,,,
25,objective_low,110.45775257075778,2.5386919967217523,0.0026150211552680366,True,1.5686883622530274,0.00010720545012575565,5,200,0.02,125949048.62506442,1.031538534195623,1643.0152990927656,1.647576756545069,1.6475770750700764,,,
26,objective_low,110.14743210736086,2.2283715333248324,0.00250137992853791,True,0.3103204633969199,0.00011364122673012669,4,200,0.01,141506638.28675497,3.6084680278046646,2259.0380357358904,0.9642480161210805,0.9642481884002034,,,
27,objective_low,108.1345738924636,0.2155133184275826,0.00454284977662794,True,2.01285821489725,-0.00204146984809003,5,200,1.0,1066614.724458314,1.8227746654786927,108.1345738924636,0.41126868362578034,0.41126925155249733,,,
28,objective_low,107.95491763169255,0.03585705765652847,0.004712949742436673,True,0.17965626077105412,-0.00017009996580873328,4,200,0.02,91016928.69777894,2.9967383894686814,664.443638778883,0.8737564973962149,0.8737562237240811,,,
