config,outer,outer_start_objective,best_cycle,best_cycle_objective,first_cycle_below_start,num_cycles
c2,1,3350168.410825497,2,981232273.1047337,,2
c2,2,981232273.1047337,1,63145076.16238826,1,2
c2,3,129530001.52188867,2,517315.81603946764,1,2
c2,4,517315.81603946764,2,3011.7767155044144,1,2
c2,5,3011.7767155044144,2,2030.403433760469,2,2
c2,6,2030.403433760469,2,4934.336164513685,,2
c2,7,4934.336164513685,2,584.4568909346754,2,2
c2,8,584.4568909346754,2,3799.213392713726,,2
c2,9,3799.213392713726,2,213.15979743648825,1,2
c2,10,213.15979743648825,2,1478.4652961387787,,2
c2,11,1478.4652961387787,2,3609.8748060020566,,2
c2,12,3609.8748060020566,1,17051.422413241824,,2
c2,13,18175.79805953299,2,6341.379746067582,2,2
c2,14,6341.379746067582,2,2562.8676925911514,1,2
c2,15,2562.8676925911514,2,861.2004195658067,2,2
c2,16,861.2004195658067,2,306.63141997829837,2,2
c2,17,306.63141997829837,2,114.37363762961262,2,2
c2,18,114.37363762961262,2,115.95713180060088,,2
c2,19,115.95713180060088,2,350.0872058738584,,2
c2,20,350.0872058738584,1,256.14021204475324,1,2
c5,1,3350168.410825497,5,287803223.498273,,5
c5,2,287803223.498273,1,4040487.125783105,1,5
c5,3,42986919.182428464,1,28867.981064839914,1,5
c5,4,689163.3472682785,3,1679.7279731406386,1,5
c5,5,3881.368055222334,3,635.5425650223631,2,5
c5,6,993.2402558999738,3,15833332.846088119,,5
c5,7,45179611.22799534,1,49076.81963147583,1,5
c5,8,660752.6489973029,2,4783.988259155679,1,5
c5,9,47642.43752276659,5,115.63266794843574,2,5
c5,10,115.63266794843574,3,146.64608742208804,,5
c5,11,994.7160699360128,3,108.68184827765015,3,5
c5,12,676.6739324729089,3,883.391316002213,,5
c5,13,3173.947995313253,2,442.4300724600307,1,5
c5,14,1097.6089851411805,2,111.86499391842176,2,5
c5,15,932.8690695468396,3,561.6193902126348,3,5
c5,16,20293.357431235145,2,3103.907846074472,2,5
c5,17,19397.25550131308,3,36812.77130944971,,5
c5,18,190228.2407711188,2,6413.620359736315,1,5
c5,19,56412.33143594062,3,745.1245440571568,1,5
c5,20,3428.626416579791,2,1112.2417302617637,2,5
