outer,outer_start_objective,cycle1_post_objective,cycle2_post_objective,cycle3_post_objective,best_cycle,best_cycle_objective,first_cycle_below_start,cycle1_pre_linear_residual,cycle2_pre_linear_residual,cycle3_pre_linear_residual
1,3350168.410825497,2888435818.2979717,981232273.1047337,647841097.9864175,3,647841097.9864175,,41432138697.646614,4009240840.102026,1126318428.2285564
2,647841097.9864175,463857.4385792915,4340867.082753426,12284832.280059624,1,463857.4385792915,1,4635934424.719653,45647184.73280937,260172689.36123517
3,12284832.280059624,25189.14128030979,74795.23654659846,197004.43235184439,1,25189.14128030979,1,971235667.4337052,133842802.03587916,163134333.83466107
4,197004.43235184439,40729.03597573137,1832.1751073403248,2314.0867532301313,2,1832.1751073403248,1,667359900.3281292,150547268.4208476,160729305.32350996
5,2314.0867532301313,65764.20189664916,2291.8939423397787,177.48700096648895,3,177.48700096648895,2,842084111.5317714,149687944.7555899,11577299.302185375
6,177.48700096648895,178419.74555348416,659.5771985219743,4615.7227920368005,2,659.5771985219743,,1561279127.6386068,65207703.03012167,226968785.45600632
7,4615.7227920368005,3232.7149634964003,177.21599085914474,52660.77927466069,2,177.21599085914474,1,167966931.22872743,17302148.979082845,616602675.5580218
8,52660.77927466069,7152808.267393349,83855.56307699179,23665.642306161586,3,23665.642306161586,3,9223369664.418137,998334255.5011806,478844045.0749089
9,23665.642306161586,114622943.40647794,18043205.396254506,1702037.2063375807,3,1702037.2063375807,,34295725689.84038,14286654109.800457,4287696317.5117865
10,1702037.2063375807,19505016.906317454,81293.91748359003,10767.869762732706,3,10767.869762732706,2,14389732110.26856,1029185318.690135,549290331.9140807
11,10767.869762732706,120505.07550743839,31814.631222725868,783.8981776540719,3,783.8981776540719,3,1324025950.86146,209022388.79843515,546291251.2329314
12,783.8981776540719,80566.33374244292,28559.412939153677,30281.256154506722,2,28559.412939153677,,824606171.0825167,567927477.7884759,560852211.4074062
13,30281.256154506722,6707296106941.6045,55078637829.348076,6250466919.573179,3,6250466919.573179,,820838021566.396,897780270816.8278,479731353667.3477
14,6250466919.573179,1200810435.8349478,762597705.995202,439594404.10838485,3,439594404.10838485,1,42630168447.497406,3334506808.9047265,2136722037.621297
15,439594404.10838485,1275677463.7294242,935547586.9231768,1042243355.4937445,2,935547586.9231768,,9863765681.6852,5306614982.780382,4507770605.203893
16,1042243355.4937445,31924410.335117035,11008999.45378669,16419236.249523206,2,11008999.45378669,1,26304747634.309914,5885706795.503495,3928447367.3589807
17,16419236.249523206,792144.358412197,131825.88988306755,83506.36891222626,3,83506.36891222626,1,2833084147.371014,986889172.7858781,749485369.095899
18,83506.36891222626,72294.35075907204,3716.9894302576567,137.41497805632824,3,137.41497805632824,1,882534041.0724915,197859795.85756186,14220584.228516748
19,137.41497805632824,15374.221914731133,874.0577216803924,109.57278813537108,3,109.57278813537108,3,405373232.7039668,91803035.26349287,3903028.5650986456
20,109.57278813537108,51554.31291729782,444.78418544577477,587.6207939734431,2,444.78418544577477,,744554252.6977886,59358512.81008702,72034671.15969463
