outer_sample,base_objective,exact_after_objective,exact_improves_objective,ratio1_success,ratio1_success_cycle,ratio1_best_cycle_objective,ratio0p8_success,ratio0p8_success_cycle,ratio0p8_best_cycle_objective,ratio0p5_success,ratio0p5_success_cycle,ratio0p5_best_cycle_objective
0,3350168.410825497,902153322.0538718,False,False,None,44000256.90240785,,,,,,
5,2193590.08573899,312076759.7024527,False,,,,,,,,,
10,1682802.3510438048,64151392.65926897,False,False,None,3809040.3924827236,,,,,,
20,421954.1147320926,1218340.8930227375,False,,,,,,,,,
30,63882.74371253417,17206.1277712051,True,,,,True,2,18608.11271161112,,,
40,8412.424586102372,338.39568438159193,True,,,,False,None,12555.039761744483,,,
50,1140.3709193239981,111.02064628027992,True,True,3,229.78907487432414,True,3,206.21282814519196,True,1,670.1982838270729
75,113.29530393519154,107.9191257670484,True,,,,True,4,109.36969618773854,True,4,108.20852180234995
100,107.94678687930988,107.91906058064689,True,False,None,112.52329163303573,False,None,110.6519790481409,False,None,109.31723780449957
150,107.91906131061933,107.91906057417596,True,,,,False,None,119.23843567436775,,,
200,107.91906057416891,107.9190605740936,True,False,None,108.17494017114667,False,None,108.11891222715859,False,None,108.02013492405014
300,107.91906057412336,107.91906057409645,True,False,None,200.15928452483715,False,None,158.05537017400468,,,
