outer,damping,nonlinear_objective,undamped_step_norm,damped_step_norm,exact_linear_residual_norm
0,1.0,3350168.410825497,,,
1,1.0,902153322.0538718,699.3488142897845,699.3488142897845,0.001431575703154367
2,1.0,4712688.29331331,34.980999709860846,34.980999709860846,0.00022406731799749422
3,1.0,109.13274693353951,1.4030420782813426,1.4030420782813426,1.732033833613413e-06
4,1.0,107.91906069978756,0.020180951686789912,0.020180951686789912,1.6908898794281618e-08
5,1.0,107.91906057435813,0.000341844482073432,0.000341844482073432,5.965024478422204e-10
6,1.0,107.9190605740833,2.1687027192468303e-05,2.1687027192468303e-05,9.834437491229019e-11
7,1.0,107.91906057406523,1.2346972288624102e-05,1.2346972288624102e-05,5.230404705640949e-11
8,1.0,107.91906057418903,8.935146632710782e-06,8.935146632710782e-06,1.1985791712167889e-11
9,1.0,107.91906057410714,2.1343809879462104e-05,2.1343809879462104e-05,1.4479674606956731e-10
10,1.0,107.91906057417782,2.8014734801966862e-05,2.8014734801966862e-05,3.4283534012281905e-10
11,1.0,107.91906057409761,1.1098899860621338e-05,1.1098899860621338e-05,1.2299735604570864e-10
12,1.0,107.91906057412659,3.1977921531286147e-06,3.1977921531286147e-06,4.176059507808731e-11
13,1.0,107.9190605741639,9.510713028947194e-06,9.510713028947194e-06,9.806381192886301e-12
14,1.0,107.9190605740871,1.0012336577782716e-05,1.0012336577782716e-05,7.115687974880493e-11
15,1.0,107.91906057412604,3.198247097918795e-05,3.198247097918795e-05,4.645285059276676e-11
16,1.0,107.91906057409128,3.48628267274885e-05,3.48628267274885e-05,9.022748002064649e-11
17,1.0,107.91906057418508,2.5855411919150525e-05,2.5855411919150525e-05,4.291084232522379e-11
18,1.0,107.91906057408156,1.822106700083293e-05,1.822106700083293e-05,4.598410200653696e-11
19,1.0,107.91906057407242,1.5467813831805145e-05,1.5467813831805145e-05,5.317998489753652e-11
20,1.0,107.91906057413492,2.077899978475344e-05,2.077899978475344e-05,3.661738327180908e-11
21,1.0,107.91906057416118,1.1111013001755979e-05,1.1111013001755979e-05,1.674995702292045e-10
22,1.0,107.91906057412582,8.430751506896711e-06,8.430751506896711e-06,8.555680711345732e-11
23,1.0,107.91906057409035,2.6560392170536852e-05,2.6560392170536852e-05,2.520360628882936e-10
24,1.0,107.9190605741285,2.2015562969682504e-05,2.2015562969682504e-05,1.4353264991916314e-10
25,1.0,107.9190605741454,1.2648721644977373e-05,1.2648721644977373e-05,1.2013424298498316e-10
26,1.0,107.91906057418437,2.5418113837164497e-05,2.5418113837164497e-05,3.330909609580899e-11
27,1.0,107.91906057416811,9.356377004809454e-06,9.356377004809454e-06,9.144630039498302e-12
28,1.0,107.91906057417266,1.3426431126138682e-05,1.3426431126138682e-05,4.406528120554952e-11
29,1.0,107.91906057414084,6.9948379976252586e-06,6.9948379976252586e-06,1.0683703018709923e-11
30,1.0,107.9190605741064,2.3950962208263905e-05,2.3950962208263905e-05,1.4709883893587515e-10
31,1.0,107.91906057416357,1.4842978816542075e-05,1.4842978816542075e-05,5.5042142282792495e-11
32,1.0,107.91906057410876,1.3317546742264928e-05,1.3317546742264928e-05,1.2730204046101425e-10
33,1.0,107.91906057419862,2.0708846791100014e-05,2.0708846791100014e-05,1.6524800091934508e-10
34,1.0,107.91906057418649,1.3612774722742877e-05,1.3612774722742877e-05,2.890318006276155e-10
35,1.0,107.91906057414472,8.333119555439399e-06,8.333119555439399e-06,3.542844245192757e-11
36,1.0,107.9190605741225,1.096478395956909e-05,1.096478395956909e-05,2.7232768024831643e-11
37,1.0,107.91906057412324,1.767472509303641e-05,1.767472509303641e-05,1.513733858708821e-10
38,1.0,107.91906057417724,1.7049686892485578e-05,1.7049686892485578e-05,2.474082625719433e-10
39,1.0,107.91906057410678,5.5263419823787296e-06,5.5263419823787296e-06,6.70289952745038e-11
40,1.0,107.91906057411784,6.912352405611722e-06,6.912352405611722e-06,2.876400568524186e-11
41,1.0,107.91906057413736,1.809553188282338e-05,1.809553188282338e-05,2.487398937089762e-10
42,1.0,107.91906057413908,1.2714570153537297e-05,1.2714570153537297e-05,5.455558412706789e-11
43,1.0,107.91906057416176,1.0943904731132004e-05,1.0943904731132004e-05,9.142844189504475e-11
44,1.0,107.91906057417046,1.627953648355949e-05,1.627953648355949e-05,3.4325267207616397e-10
45,1.0,107.91906057416438,2.6261978574517986e-05,2.6261978574517986e-05,2.9054568087172184e-10
46,1.0,107.91906057412768,1.694127419637704e-05,1.694127419637704e-05,9.656588838497345e-11
47,1.0,107.91906057405497,2.0839169622654388e-05,2.0839169622654388e-05,1.4004644111570114e-10
48,1.0,107.91906057411371,2.281231275790428e-05,2.281231275790428e-05,9.213571596998773e-11
49,1.0,107.91906057416773,8.868516860998601e-06,8.868516860998601e-06,1.1254702635691462e-11
50,1.0,107.91906057416932,3.69665696345636e-06,3.69665696345636e-06,5.493471385657172e-11
51,1.0,107.9190605741167,1.4241841547826746e-05,1.4241841547826746e-05,9.702434162073721e-11
52,1.0,107.91906057415434,9.555900179811999e-06,9.555900179811999e-06,1.5106688474464109e-12
53,1.0,107.91906057407915,1.7032381964321225e-05,1.7032381964321225e-05,1.0435955249521692e-10
54,1.0,107.91906057413483,1.1035928276121677e-05,1.1035928276121677e-05,2.2075496385231275e-10
55,1.0,107.91906057416077,6.861097730348024e-06,6.861097730348024e-06,5.918038140395729e-11
56,1.0,107.91906057413834,5.752527499342836e-06,5.752527499342836e-06,7.945422290066371e-11
57,1.0,107.91906057419526,2.11786150027038e-05,2.11786150027038e-05,7.259984314338796e-10
58,1.0,107.919060574153,9.707020229414984e-06,9.707020229414984e-06,1.7942355860058122e-10
59,1.0,107.91906057416941,2.4532122317447463e-05,2.4532122317447463e-05,2.681905514501815e-10
60,1.0,107.91906057417461,1.3574014008923262e-05,1.3574014008923262e-05,9.649196443857243e-11
61,1.0,107.91906057412514,1.175774685343069e-05,1.175774685343069e-05,1.0599689109669362e-10
62,1.0,107.91906057414305,5.452743307725238e-06,5.452743307725238e-06,5.081617862571817e-11
63,1.0,107.91906057408573,6.149570718083676e-06,6.149570718083676e-06,2.014168814360874e-11
64,1.0,107.91906057417137,9.381368501374555e-06,9.381368501374555e-06,1.9876947358817138e-10
65,1.0,107.91906057420708,1.3613449994476767e-05,1.3613449994476767e-05,1.4302223081538907e-10
66,1.0,107.91906057410958,1.175533262032683e-05,1.175533262032683e-05,8.857672691983526e-11
67,1.0,107.91906057414326,2.0917247154091077e-05,2.0917247154091077e-05,1.2909474188276868e-10
68,1.0,107.91906057412837,1.4662510465309082e-05,1.4662510465309082e-05,5.915465029915918e-11
69,1.0,107.91906057411936,8.05691928442487e-06,8.05691928442487e-06,1.984151863874813e-11
70,1.0,107.91906057416587,7.702474537556954e-06,7.702474537556954e-06,7.274461635484108e-12
71,1.0,107.91906057423417,8.764431662103537e-06,8.764431662103537e-06,1.1119350947084976e-10
72,1.0,107.91906057419352,1.906597716534058e-06,1.906597716534058e-06,1.397730228685085e-11
73,1.0,107.9190605741832,1.807848747358629e-05,1.807848747358629e-05,6.202013236702485e-11
74,1.0,107.9190605741088,1.531826184533694e-05,1.531826184533694e-05,2.3209520172422597e-11
75,1.0,107.91906057410887,1.2383396741255471e-05,1.2383396741255471e-05,4.228580112473256e-11
76,1.0,107.91906057413655,2.677468979274349e-05,2.677468979274349e-05,2.1155742566209115e-10
77,1.0,107.91906057415335,8.653993091463181e-06,8.653993091463181e-06,5.529888855497437e-11
78,1.0,107.91906057408093,1.630635111079121e-05,1.630635111079121e-05,5.4981941872750706e-11
79,1.0,107.91906057410772,1.180643487145136e-05,1.180643487145136e-05,1.3108609079374852e-10
80,1.0,107.91906057410543,7.773339177790422e-06,7.773339177790422e-06,1.6173239185176182e-10
81,1.0,107.91906057412864,1.581016219380895e-05,1.581016219380895e-05,3.7763892998003024e-11
82,1.0,107.91906057413567,3.242010364147013e-05,3.242010364147013e-05,3.083953040425289e-12
83,1.0,107.91906057408427,1.415649858630098e-05,1.415649858630098e-05,2.372669990914201e-11
84,1.0,107.91906057416205,7.388410431398479e-06,7.388410431398479e-06,2.8809755491942608e-11
85,1.0,107.91906057410115,9.164543275844896e-06,9.164543275844896e-06,6.5834784472116e-11
86,1.0,107.91906057415868,7.180739615598364e-07,7.180739615598364e-07,3.9134426534453586e-12
87,1.0,107.91906057418629,3.862411280810636e-06,3.862411280810636e-06,8.302771010976175e-12
88,1.0,107.91906057408214,1.5938674343721907e-05,1.5938674343721907e-05,9.576685945184957e-11
89,1.0,107.91906057409471,1.401541318925648e-05,1.401541318925648e-05,1.4613148176037002e-10
90,1.0,107.91906057410066,9.490205604630168e-06,9.490205604630168e-06,3.829370736732399e-12
91,1.0,107.91906057409793,4.824533316119894e-06,4.824533316119894e-06,8.278634608371533e-11
92,1.0,107.91906057416385,2.1963318327246273e-05,2.1963318327246273e-05,4.6355314537386556e-11
93,1.0,107.91906057415157,4.9603758290365455e-06,4.9603758290365455e-06,1.9315938163430072e-11
94,1.0,107.91906057406001,1.6756133086045548e-05,1.6756133086045548e-05,1.7543580590226764e-10
95,1.0,107.91906057410476,8.742982718306482e-06,8.742982718306482e-06,2.613467142559149e-10
96,1.0,107.91906057414715,7.016060425333026e-06,7.016060425333026e-06,8.099386562312377e-11
97,1.0,107.9190605741596,2.0951574298039242e-05,2.0951574298039242e-05,1.6806341631424953e-10
98,1.0,107.91906057413199,1.11614549208547e-05,1.11614549208547e-05,7.65949485800663e-11
99,1.0,107.91906057418713,1.633033700602722e-05,1.633033700602722e-05,1.1309480048536098e-10
100,1.0,107.91906057406256,2.3428465850309584e-05,2.3428465850309584e-05,1.9195014350040343e-10
0,0.8,3350168.410825497,,,
1,0.8,371257088.0142473,699.3488142897845,559.4790514318277,0.001431575703154367
2,0.8,74753898.56747499,129.67329786754206,103.73863829403366,2.19361453795768e-05
3,0.8,3746586.6286331215,27.365207556379232,21.892166045103384,1.2952288813398819e-05
4,0.8,154887.83806927924,5.564408129626256,4.451526503701006,3.0585356982691343e-06
5,0.8,6327.483047710256,1.1214200207031462,0.8971360165625171,7.731483476463083e-07
6,0.8,356.84272069818394,0.22581400316592845,0.1806512025327428,1.2296699986848336e-07
7,0.8,117.87645511447242,0.04548799166412327,0.03639039333129862,3.612163640111114e-08
8,0.8,108.31735399583577,0.009171629571787429,0.007337303657429943,3.4847219209827177e-09
9,0.8,107.93499225757141,0.0018516678473125612,0.0014813342778500493,8.475608511630612e-10
10,0.8,107.91969784030857,0.00037582962750214876,0.00030066370200171897,1.30173380823829e-10
11,0.8,107.9190860647759,7.416873403741195e-05,5.933498722992957e-05,3.389129806462308e-10
12,0.8,107.91906159377994,2.5539277951417708e-05,2.043142236113417e-05,2.9915682039825213e-10
13,0.8,107.91906061493852,3.814949431296374e-06,3.0519595450371003e-06,1.3188054437357578e-11
14,0.8,107.91906057580928,4.581413709958343e-06,3.6651309679666747e-06,3.165028344376797e-11
15,0.8,107.91906057417695,3.2682568709540666e-05,2.6146054967632537e-05,3.902993360867905e-10
16,0.8,107.91906057408879,2.9807178013374882e-05,2.384574241069991e-05,4.3116002528999587e-10
17,0.8,107.91906057414207,1.2262311272306166e-05,9.809849017844936e-06,6.67910872328371e-11
18,0.8,107.91906057417178,1.3159159680894194e-05,1.0527327744715356e-05,4.877820176369655e-11
19,0.8,107.91906057413148,9.237510851289112e-06,7.3900086810312886e-06,3.311211796758746e-11
