outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,
1,38373012.44400701,5,50,message_conditioned_information,529.480445452639,699.3488142897845,0.3977291082392686,0.001431575703154367,16415457089.380053,5.599491757341845,-863780309.6098647,61,244,902153322.0538718
2,29885191.824432302,5,50,message_conditioned_information,142.50301166630732,228.67547321112085,0.4607569651026016,0.0001088048154188474,1400767363.6508622,2.559559328761411,-315500099.7483853,61,244,345385291.5728176
3,204151.02289590042,5,50,message_conditioned_information,37.39370107501832,95.79051682423732,0.6124300606137354,2.8547703308363255e-05,19177167.45185074,1.492849590082061,-1192624.8039903892,61,244,1396775.8268862898
4,21731.651265955075,5,50,message_conditioned_information,26.83328847669906,58.293486516807675,0.5399325576424093,5.507558682969024e-05,487420970.0597028,0.8021323203397361,21245.87994329423,61,244,485.77132266084664
5,125.73759604967736,5,50,message_conditioned_information,16.56094005350827,31.42657361009875,0.4736796404924956,1.757652611530742e-05,9665596.58714281,0.3803162256965923,-21.876432249172666,61,244,147.61402829885003
6,2414.6846707722375,5,50,message_conditioned_information,6.4136258357642655,14.880774173577894,0.5699209071172991,1.52734472783761e-05,152266480.59946728,0.21520590801794282,2302.74771679869,61,244,111.93695397354736
7,667.5901811636709,5,50,message_conditioned_information,2.9530759117106293,8.472358126958014,0.6532262811032337,5.522294587388738e-06,1846299.2150963084,0.13970819952553695,559.4350853288563,61,244,108.15509583481456
8,21789.482999034928,5,50,message_conditioned_information,1.1875744461418176,5.529226876643021,1.1540371608523627,3.1581132196454413e-06,479001147.8406085,0.15926151151680235,21681.39386411949,61,244,108.08913491543593
9,7309.071000560035,5,50,message_conditioned_information,2.1319322562360288,6.376377641533552,0.7065504705761941,1.050945202311976e-05,278279598.2171278,0.11415952372578557,7198.8412786999625,61,244,110.22972186007235
10,4586.94868426164,5,50,message_conditioned_information,1.973577511631393,4.5130813125331315,0.5723908895524413,4.067251417107364e-06,218776399.74090844,0.06567371834630863,4478.80718217593,61,244,108.14150208570902
11,25432.3553783589,5,50,message_conditioned_information,2.094180772050323,2.582205029212876,0.25960034868416265,1.5250595953061214e-06,517383834.4885665,0.018157085127571256,25324.427146504426,61,244,107.92823185447496
12,495720959044.1767,5,50,message_conditioned_information,2380.310146971309,0.6664411154810739,3571.4742036202156,1.1486769521609272e-05,2518860964425.3604,41.46213913989937,495720958936.24615,61,244,107.9305421610654
