outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,
1,964476406.9017773,2,100,message_conditioned_information,0.8,483.7298343896094,699.3488142897845,0.6630042087228118,0.001431575703154367,4874205454.119488,9.286005162914007,62323084.84790552,61,244,902153322.0538718
2,2112519381.1172597,2,100,message_conditioned_information,0.8,364.8674647900953,388.5910743663021,0.10558665844925355,4.9239966733121236e-05,2557659770.0847244,1.0443052682106126,158857103.62204385,61,244,1953662277.495216
3,806821.2460834116,2,100,message_conditioned_information,0.8,59.023114082396184,55.68618865404878,0.5365320167343797,8.539293246161676e-05,402381940.46311414,0.7273903161649206,420146.9430030659,61,244,386674.30308034574
4,9605.527900704883,2,100,message_conditioned_information,0.8,5.229657020936006,30.455804121241762,1.076842306958502,5.9113188213387836e-05,99191389.36958085,0.8404470566074473,-2368.046529683079,61,244,11973.574430387962
5,17671.445507759887,2,100,message_conditioned_information,0.8,10.282618934908276,32.94226825232946,0.7019222395424336,6.247391853950181e-05,433531510.4066871,0.5934876488047405,17325.11830973274,61,244,346.32719802714394
6,135.60617197227734,2,100,message_conditioned_information,0.8,6.5146548488444695,23.131876318903263,0.7252368508197925,9.52359617543823e-06,18667292.17284105,0.43218781485600216,-37.93003454274802,61,244,173.53620651502536
7,1273.7656531572202,2,100,message_conditioned_information,0.8,2.365531044457658,16.72965251833156,1.1316687859638859,5.281770284069838e-06,111578514.51237367,0.4823066798391289,1084.122971358792,61,244,189.64268179842824
8,3270.0649381163007,2,100,message_conditioned_information,0.8,7.388358025535995,18.90940988305647,0.6183768470199135,2.4772035301368022e-05,185105134.97741348,0.30064340459567196,3155.722246285665,61,244,114.34269183063569
9,233.72152883533371,2,100,message_conditioned_information,0.8,6.77275885923653,11.714027392987289,0.4656939096714701,2.1415239991112643e-05,33808436.92074202,0.14367109468156664,123.14870413118254,61,244,110.57282470415117
10,431.49148827572355,2,100,message_conditioned_information,0.8,2.475043269334276,5.444743112823999,1.040785548103496,2.469304213765836e-05,58495012.86024307,0.14537167825740815,320.75788884387003,61,244,110.73359943185353
11,1536.7610040242323,2,100,message_conditioned_information,0.8,3.6049176319473,5.668379072647321,0.4115341966604581,2.6782782314577774e-06,122484526.26849288,0.058568821532652054,1428.6742375627587,61,244,108.0867664614736
12,3397.813862244531,2,100,message_conditioned_information,0.8,1.9724016880625843,2.3344556384879045,0.6275915121961608,1.750988792931876e-05,188161319.96882394,0.039037159164208926,3289.825266609998,61,244,107.98859563453287
13,26759.749780365695,2,100,message_conditioned_information,0.8,5.795697544260063,1.463458159834093,3.811118250365684,4.0404783880018555e-06,532370974.380035,0.14367300956452111,26651.773855242503,61,244,107.97592512319319
14,12088.431680893844,2,100,message_conditioned_information,0.8,5.424481593595916,5.581343210195801,0.3674669846836974,2.3906441220964547e-05,357632713.25509596,0.05423746832283241,11979.195738871358,61,244,109.23594202248577
15,18213.090393502498,2,100,message_conditioned_information,0.8,6.235581773677614,2.034119524243012,4.000947921984255,2.3612612797886684e-05,440138271.7665977,0.20763086817088802,18105.090300206648,61,244,108.0000932958513
16,2353.9660674603733,2,100,message_conditioned_information,0.8,2.455109893467866,8.14500113425868,1.179270314684438,6.691828118436793e-06,156624944.4718431,0.2437124914855378,2240.6135287148704,61,244,113.35253874550274
17,4417.140520796002,2,100,message_conditioned_information,0.8,0.837998907078383,9.58720215985203,1.0491234712646904,8.821663693700557e-06,215301024.41001213,0.25295846872121436,4309.111991469919,61,244,108.02852932608319
18,2579.8446014576334,2,100,message_conditioned_information,0.8,3.0408277089387052,10.054493845316873,0.967448988547095,1.0473063360430295e-05,158886344.5398595,0.2490360733685098,2465.595480679122,61,244,114.24912077851144
19,1091.796588202086,2,100,message_conditioned_information,0.8,4.527182923030548,9.752916149348273,0.903986911092681,3.713068230047422e-05,99367968.46349348,0.2260796552831084,972.935921547557,61,244,118.86066665452898
20,33426.32958070154,2,100,message_conditioned_information,0.8,40.52232360104208,8.79201103985125,3.622725176845768,1.8668885502049674e-05,467150512.002955,0.8359865891525775,33317.96732149996,61,244,108.36225920157979
