outer,direct_objective_if_available,direct_optimum_objective,mg_objective,mg_minus_direct_optimum,mg_e_rel_to_exact,mg_linear_residual_approx,mg_next_objective_gap_to_exact,mg_num_groups,mg_coarse_dim
0,3350168.410825497,107.91906057406523,3350168.410825497,3350060.491764923,,,,,
1,902153322.0538718,107.91906057406523,7653077875.133799,7653077767.214738,0.5654814017060225,40898070593.11376,6750924553.0799265,61,244
2,4712688.29331331,107.91906057406523,68812629.49212398,68812521.5730634,0.8867023364609338,299624330.70587105,-86188402.75985183,61,244
3,109.13274693353951,107.91906057406523,2189918.5009012353,2189810.5818406614,0.9891986504211101,7543392908.156506,-12629874.432066295,61,244
4,107.91906069978756,107.91906057406523,1647081.2764519216,1646973.3573913474,0.9641971570393228,3018029188.229632,-36733205.37528547,61,244
5,107.91906057435813,107.91906057406523,1575211.160798618,1575103.241738044,1.0130801865275914,4006843078.7023325,1416056.1401362717,61,244
6,107.9190605740833,107.91906057406523,104155.90503802524,104047.98597745119,0.9802221980984979,1166638100.5405257,-5930762.559838567,61,244
7,107.91906057406523,107.91906057406523,923582.2323268533,923474.3132662793,1.0064770106939105,3099693219.5633197,-3098248.520745571,61,244
8,,107.91906057406523,52627.608864695285,52519.68980412122,0.9932242878669643,730152517.7456561,-5024249.773355401,61,244
9,,107.91906057406523,104099.18057378066,103991.2615132066,1.0069608367077107,1044332632.8311996,-2979151.5747586614,61,244
10,,107.91906057406523,71309.9036352082,71201.98457463415,0.9974004871888853,867417650.2069368,-2251066.923869065,61,244
11,,107.91906057406523,37631.96137171564,37524.04231114157,0.992424976459248,632511107.055498,-1668212.4775666152,61,244
12,,107.91906057406523,2256548.8936625626,2256440.9746019887,1.0674522988118336,4930908602.687668,565319.5920939033,61,244
13,,107.91906057406523,363525.6220008894,363417.7029403153,1.0568592734311852,1947565547.1461859,-1776930.8646131572,61,244
14,,107.91906057406523,799908.0356766642,799800.1166160902,0.9885654275303518,2609068466.6840396,-2167100.647771862,61,244
15,,107.91906057406523,83619.99470814056,83512.0756475665,0.9933234256539609,984886472.5526161,-813564.8053066155,61,244
16,,107.91906057406523,181536.87188174526,181428.9528211712,0.9958853988053852,1396007919.1884298,-2867005.182385789,61,244
17,,107.91906057406523,36062.40137754058,35954.48231696651,1.0004879630337955,368929413.6405845,-3696155.549724655,61,244
18,,107.91906057406523,128343.76985638606,128235.850795812,0.9947158177290967,1160951538.6694553,-2804526.1511366596,61,244
19,,107.91906057406523,2827.939266374152,2720.020205800087,0.9992947907501295,163362802.19868216,-2638339.5923984502,61,244
20,,107.91906057406523,191938.73176371233,191830.81270313828,1.009838053509843,1458419604.6434667,-2209229.6076660776,61,244
