outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,
1,7653077875.133799,2,50,joint_information,436.9855509955418,699.3488142897845,0.5654814017060225,0.001431575703154367,40898070593.11376,7.808969755605847,6750924553.0799265,61,244,902153322.0538718
2,68812629.49212398,2,50,joint_information,119.29372623615413,320.34478506980673,0.8867023364609338,0.0009752151287538071,299624330.70587105,7.276469600113335,-86188402.75985183,61,244,155001032.2519758
3,2189918.5009012353,2,50,joint_information,27.725171155497517,285.986090221408,0.9891986504211101,0.0012130177384142527,7543392908.156506,7.533758336392504,-12629874.432066295,61,244,14819792.93296753
4,1647081.2764519216,2,50,joint_information,38.084018802187565,285.71875533438225,0.9641971570393228,0.0009404856548929065,3018029188.229632,7.032561697545383,-36733205.37528547,61,244,38380286.65173739
5,1575211.160798618,2,50,joint_information,21.439605136184948,261.7920080945181,1.0130801865275914,0.0007560995792542339,4006843078.7023325,6.789749216724688,1416056.1401362717,61,244,159155.02066234645
6,104155.90503802524,2,50,joint_information,11.448103697033387,258.58064510432536,0.9802221980984979,0.001106963376443534,1166638100.5405257,6.563712489158572,-5930762.559838567,61,244,6034918.464876592
7,923582.2323268533,2,50,joint_information,10.508878148425348,253.79109794788246,1.0064770106939105,0.0002727819136755782,3099693219.5633197,6.694478925780995,-3098248.520745571,61,244,4021830.7530724243
8,52627.608864695285,2,50,joint_information,5.444326413367762,257.9557009528349,0.9932242878669643,0.0004392695904762878,730152517.7456561,6.659893621405102,-5024249.773355401,61,244,5076877.382220096
9,104099.18057378066,2,50,joint_information,9.18350289539843,255.31151558532483,1.0069608367077107,0.0002710305754796141,1044332632.8311996,6.61817031946344,-2979151.5747586614,61,244,3083250.755332442
10,71309.9036352082,2,50,joint_information,3.9017360662721385,253.45320648787916,0.9974004871888853,0.0005390581910903264,867417650.2069368,6.542083146198117,-2251066.923869065,61,244,2322376.827504273
11,37631.96137171564,2,50,joint_information,3.006362766040696,252.5605018482823,0.992424976459248,0.000715067135120433,632511107.055498,6.49007697038741,-1668212.4775666152,61,244,1705844.4389383309
12,2256548.8936625626,2,50,joint_information,25.756490263901124,250.60024858868312,1.0674522988118336,0.0006614660777330392,4930908602.687668,7.001685527772506,565319.5920939033,61,244,1691229.3015686593
13,363525.6220008894,2,50,joint_information,22.488787981213036,274.8320723643183,1.0568592734311852,0.0006231706924863942,1947565547.1461859,7.337056826432062,-1776930.8646131572,61,244,2140456.4866140466
14,799908.0356766642,2,50,joint_information,12.016600172850172,283.80422645807903,0.9885654275303518,0.0016758399620691578,2609068466.6840396,7.256737442492384,-2167100.647771862,61,244,2967008.683448526
15,83619.99470814056,2,50,joint_information,8.191907040973458,280.11656846686583,0.9933234256539609,0.0006253808364384432,984886472.5526161,7.1686529972935515,-813564.8053066155,61,244,897184.800014756
16,181536.87188174526,2,50,joint_information,4.239419381675614,277.28197006252896,0.9958853988053852,0.0009920409510932693,1396007919.1884298,7.14489111170146,-2867005.182385789,61,244,3048542.0542675345
17,36062.40137754058,2,50,joint_information,6.037965526940753,276.905311138342,1.0004879630337955,0.0006772484112813927,368929413.6405845,7.130671716276959,-3696155.549724655,61,244,3732217.951102196
18,128343.76985638606,2,50,joint_information,4.742679320046875,275.36852092330565,0.9947158177290967,0.0010075396627840085,1160951538.6694553,7.052732847639145,-2804526.1511366596,61,244,2932869.9209930454
19,2827.939266374152,2,50,joint_information,4.191811597662281,273.70180050939683,0.9992947907501295,0.0013853775846349554,163362802.19868216,7.040700466547066,-2638339.5923984502,61,244,2641167.5316648246
20,191938.73176371233,2,50,joint_information,6.646371566815741,273.5690033722996,1.009838053509843,0.00037515884495699316,1458419604.6434667,7.074747003354568,-2209229.6076660776,61,244,2401168.3394297897
