inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,coarse_damping_mode,outer,inner_cycles,pre_sweeps,basis_source
1,0.6818752984682191,41432138697.646614,41432142618.612366,6884077287.544553,2888435818.2979717,1986282496.2441,463.9033438582492,435.81115241351586,132.46942095957817,132.4694209595782,132.4694209595782,1.0,line_search,1,3,100,message_conditioned_information
2,0.8566519806122387,4009240840.102026,4009240840.102026,17643077.599540565,17643077.599540565,-884510244.4543312,554.078235436409,554.078235436409,190.62611916694698,190.626119166947,0.0,0.0,line_search,1,3,100,message_conditioned_information
3,0.8510053884939073,868788619.8878673,868788619.8878673,36602884.34070137,36602884.34070137,-865550437.7131704,552.5666301812636,552.5666301812636,175.3184895504888,175.31848955048878,0.0,0.0,line_search,1,3,100,message_conditioned_information
1,0.753524361400103,8634731042.280785,8634731042.280785,164447225.3767998,164447225.3767998,-8397907403.951213,299.558473719692,299.558473719692,187.33082025453274,187.33082025453274,0.0,0.0,line_search,2,3,100,message_conditioned_information
2,0.7525038793322018,6713673555.208327,6713673555.208327,28303407.667289436,28303407.667289436,-8534051221.660723,288.10636360100307,288.10636360100307,197.46564670186052,197.46564670186052,0.0,0.0,line_search,2,3,100,message_conditioned_information
3,0.7536354190708768,2762669653.7260537,2762669653.7260537,33758551.578891926,33758551.578891926,-8528596077.749121,284.5421371206492,284.5421371206492,200.1456153882768,200.14561538827675,0.0,0.0,line_search,2,3,100,message_conditioned_information
1,0.9370015379170529,1111625505.0198295,1111625525.8121324,149741.2426177338,91300.43929443942,-100380558.88680293,22.781419442997407,11.659425881364225,191.87348418877278,191.87348418877275,19.187348418877274,0.1,line_search,3,3,100,message_conditioned_information
2,0.8533246202516889,536400827.2166283,536400827.2166283,2322633.2167322086,2322633.2167322086,-98149226.10936517,48.912999581178966,48.912999581178966,149.56796680159977,149.56796680159982,0.0,0.0,line_search,3,3,100,message_conditioned_information
3,0.8527375414250592,185404172.70064694,185404172.70064694,2692390.099425522,2692390.099425522,-97779469.22667184,49.370606320552334,49.370606320552334,149.58231318168137,149.58231318168137,0.0,0.0,line_search,3,3,100,message_conditioned_information
1,0.9854431246617343,7101503691.749634,7101503691.749634,4895794.80517388,4895794.80517388,4634231.414642624,11.070144488744745,11.070144488744745,130.68277000649667,130.6827700064967,0.0,0.0,line_search,4,3,100,message_conditioned_information
