inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,coarse_damping_mode,outer,inner_cycles,pre_sweeps,basis_source
1,0.6818752984682191,41432138697.646614,41432142618.612366,6884077287.544553,2888435818.2979717,1986282496.2441,463.9033438582492,435.81115241351586,132.46942095957817,132.4694209595782,132.4694209595782,1.0,fixed,1,3,100,message_conditioned_information
2,0.6108125761251499,4009240840.102026,4009241685.8645372,17643077.599540565,981232273.1047337,79078951.05086195,480.99185034218,554.078235436409,190.62611916694698,190.626119166947,190.626119166947,1.0,fixed,1,3,100,message_conditioned_information
3,0.5440964893733123,1126318428.2285564,1126318535.1402254,5335526912.598938,647841097.9864175,-254312224.06745422,493.3655051160286,489.7613696238874,217.2883841358846,217.28838413588466,217.28838413588466,1.0,fixed,1,3,100,message_conditioned_information
1,0.5748387188578413,2153450074.333598,2153439352.6114764,918688203.0556209,207964392.0454914,-819727198.8162231,452.82193045528413,417.93012658452324,83.47437273424202,83.47437273424204,83.47437273424204,1.0,fixed,2,3,100,message_conditioned_information
2,0.40842998358247096,4637521557.538783,4637522081.586815,276141845.8350113,7753320.096458891,-1019938270.7652556,493.14167595788194,522.3606526433284,72.08157140264133,72.08157140264133,72.08157140264133,1.0,fixed,2,3,100,message_conditioned_information
3,0.38659097853294055,505089564.8017554,505089710.9560993,550343013.1059288,9107863.304499252,-1018583727.5572152,499.28640220097043,464.67770202229383,92.87433071931972,92.87433071931973,92.87433071931973,1.0,fixed,2,3,100,message_conditioned_information
1,0.6157018426082909,9468650049.116821,9468650878.638279,13274214.418149592,259669786.8320397,-30246401.683547378,277.6750905390227,245.72177970376194,60.86132747671623,60.86132747671623,60.86132747671623,1.0,fixed,3,3,100,message_conditioned_information
2,0.463763517390801,2476731057.9517827,2476731239.200874,1580821464.1267054,205313362.89019126,-84602825.62539583,300.34188117335447,335.9422255934167,77.90767130910093,77.90767130910092,77.90767130910092,1.0,fixed,3,3,100,message_conditioned_information
3,0.4298032812206317,352051176.97506595,352051297.44231784,720352634.0658019,146178161.63051,-143738026.8850771,304.36461028685864,275.171206556396,103.74059618276554,103.74059618276554,103.74059618276554,1.0,fixed,3,3,100,message_conditioned_information
1,0.407674480899234,8137257082.572315,8137258108.118044,188737993.269852,39304048.4420917,-163180202.62664276,271.81840575158355,233.1754834550839,78.64555148613479,78.64555148613479,78.64555148613479,1.0,fixed,4,3,100,message_conditioned_information
2,0.22070032037393256,1638234779.4294307,1638235101.1291473,1432375457.2004015,119089382.65243296,-83394868.4163015,313.9559970346013,357.9548736381434,80.99075806415632,80.99075806415632,80.99075806415632,1.0,fixed,4,3,100,message_conditioned_information
3,0.2565805011334836,1830066691.5941966,1830066768.1945715,708750373.3617932,113870409.8992803,-88613841.16945417,306.3376551663574,276.7437761118894,107.46058382731088,107.46058382731088,107.46058382731088,1.0,fixed,4,3,100,message_conditioned_information
1,0.7698004194983495,20136565038.991177,20136566267.54994,796067883.6661923,3610419.3464495363,-132372459.21133496,207.99331741577322,162.90603690713306,112.60038704753406,112.60038704753407,112.60038704753407,1.0,fixed,5,3,100,message_conditioned_information
2,0.6356262601710916,4921419118.263672,4921419981.793089,2376890224.654362,71197215.49153893,-64785663.06624557,240.55035555124613,337.255143170406,144.47014669055926,144.47014669055926,144.47014669055926,1.0,fixed,5,3,100,message_conditioned_information
3,0.5890393849072766,778996922.222135,778996929.2992842,3095299579.676234,60152727.23200569,-75830151.32577881,239.7117416764008,218.77718566206767,197.46881542913403,197.468815429134,197.468815429134,1.0,fixed,5,3,100,message_conditioned_information
1,0.6741164353348673,10390245771.97257,10390247288.524012,6407499.333203849,133139944.9999744,41016810.97243808,199.78708830222013,190.59561603592005,81.33309143403896,81.33309143403896,81.33309143403896,1.0,fixed,6,3,100,message_conditioned_information
2,0.49820395772104287,4638123971.625833,4638124539.064413,919403333.7349023,122024173.55141112,29901039.523874804,227.53059036342384,261.6804754218044,71.11231511621563,71.11231511621563,71.11231511621563,1.0,fixed,6,3,100,message_conditioned_information
3,0.45218553140632745,1682781928.1745882,1682782263.469977,453427444.8538412,73884276.16884488,-18238857.85869144,229.26170107535896,208.00970170309878,93.58717104956801,93.58717104956801,93.58717104956801,1.0,fixed,6,3,100,message_conditioned_information
1,1.3705988650557537,115710459497.87712,115710494053.00945,9014950809.87976,5215578578.497497,5157951819.345094,520.2214586286052,680.024830212966,275.3888508620274,275.3888508620275,275.3888508620275,1.0,fixed,7,3,100,message_conditioned_information
2,0.551381154631065,46587340078.033615,46587346886.0799,152061715.2991978,780890553.1529328,723263794.0005294,364.9528311555453,457.57067298707483,167.89630769348636,167.89630769348634,167.89630769348634,1.0,fixed,7,3,100,message_conditioned_information
3,0.33359616086402727,11877417562.68072,11877419229.997946,5228837815.79588,245960732.90244523,188333973.7500419,347.8283651742055,354.11848463395944,245.8164212255466,245.81642122554658,245.81642122554658,1.0,fixed,7,3,100,message_conditioned_information
1,1.3705988650557537,115710459497.87712,115710494053.00945,9014950809.87976,5215578578.497497,5157951819.345094,520.2214586286052,680.024830212966,275.3888508620274,275.3888508620275,275.3888508620275,1.0,fixed,8,3,100,message_conditioned_information
2,0.551381154631065,46587340078.033615,46587346886.0799,152061715.2991978,780890553.1529328,723263794.0005294,364.9528311555453,457.57067298707483,167.89630769348636,167.89630769348634,167.89630769348634,1.0,fixed,8,3,100,message_conditioned_information
3,0.33359616086402727,11877417562.68072,11877419229.997946,5228837815.79588,245960732.90244523,188333973.7500419,347.8283651742055,354.11848463395944,245.8164212255466,245.81642122554658,245.81642122554658,1.0,fixed,8,3,100,message_conditioned_information
1,1.3705988650557537,115710459497.87712,115710494053.00945,9014950809.87976,5215578578.497497,5157951819.345094,520.2214586286052,680.024830212966,275.3888508620274,275.3888508620275,275.3888508620275,1.0,fixed,9,3,100,message_conditioned_information
2,0.551381154631065,46587340078.033615,46587346886.0799,152061715.2991978,780890553.1529328,723263794.0005294,364.9528311555453,457.57067298707483,167.89630769348636,167.89630769348634,167.89630769348634,1.0,fixed,9,3,100,message_conditioned_information
3,0.33359616086402727,11877417562.68072,11877419229.997946,5228837815.79588,245960732.90244523,188333973.7500419,347.8283651742055,354.11848463395944,245.8164212255466,245.81642122554658,245.81642122554658,1.0,fixed,9,3,100,message_conditioned_information
1,1.3705988650557537,115710459497.87712,115710494053.00945,9014950809.87976,5215578578.497497,5157951819.345094,520.2214586286052,680.024830212966,275.3888508620274,275.3888508620275,275.3888508620275,1.0,fixed,10,3,100,message_conditioned_information
2,0.551381154631065,46587340078.033615,46587346886.0799,152061715.2991978,780890553.1529328,723263794.0005294,364.9528311555453,457.57067298707483,167.89630769348636,167.89630769348634,167.89630769348634,1.0,fixed,10,3,100,message_conditioned_information
