outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,coarse_damping_mode,outer_damping,outer_damping_mode,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,raw_full_step_objective,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,,,,,
1,2813513.886973264,3,100,message_conditioned_information,1.0,fixed,0.1,line_search,493.3655051160286,699.3488142897845,0.5440964893733123,0.001431575703154367,1126318535.1402254,7.638350747319521,-254312224.06745422,61,244,647841097.9864175,902153322.0538718
2,1324587.8985333168,3,100,message_conditioned_information,1.0,fixed,0.5,line_search,499.28640220097043,656.8176964287088,0.38659097853294055,0.00026761699102966006,505089710.9560993,5.181179523159535,-1018583727.5572152,61,244,9107863.304499252,1027691590.8617145
3,1141088.1574698265,3,100,message_conditioned_information,1.0,fixed,0.1,line_search,304.36461028685864,401.45473598123,0.4298032812206317,0.00045713018863579517,352051297.44231784,3.788788276184254,-143738026.8850771,61,244,146178161.63051,289916188.5155871
4,961414.3780956689,3,100,message_conditioned_information,1.0,fixed,0.1,line_search,306.3376551663574,368.7780816470926,0.2565805011334836,0.00025590110992395297,1830066768.1945715,2.134577201369923,-88613841.16945417,61,244,113870409.8992803,202484251.06873447
5,818083.7118726168,3,100,message_conditioned_information,1.0,fixed,0.1,line_search,239.7117416764008,334.69524007276954,0.5890393849072766,0.00035740880227443073,778996929.2992842,4.437089571382674,-75830151.32577881,61,244,60152727.23200569,135982878.5577845
6,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.1,line_search,229.26170107535896,311.6588633262341,0.45218553140632745,0.00023055014793004267,1682782263.469977,3.2249289131135668,-18238857.85869144,61,244,73884276.16884488,92123134.02753632
7,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
8,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
9,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
10,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
11,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
12,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
13,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
14,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
15,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
16,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
17,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
18,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
19,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
20,764236.2342085954,3,100,message_conditioned_information,1.0,fixed,0.0,line_search,347.8283651742055,287.4234521152887,0.33359616086402727,0.00043705993667448223,11877419229.997946,2.0618618000898628,188333973.7500419,61,244,245960732.90244523,57626759.15240333
