inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,coarse_damping_mode,outer,inner_cycles,pre_sweeps,basis_source
1,0.6818752984682191,41432138697.646614,41432142618.612366,6884077287.544553,2888435818.2979717,1986282496.2441,463.9033438582492,435.81115241351586,132.46942095957817,132.4694209595782,132.4694209595782,1.0,fixed,1,3,100,message_conditioned_information
2,0.6108125761251499,4009240840.102026,4009241685.8645372,17643077.599540565,981232273.1047337,79078951.05086195,480.99185034218,554.078235436409,190.62611916694698,190.626119166947,190.626119166947,1.0,fixed,1,3,100,message_conditioned_information
3,0.5440964893733123,1126318428.2285564,1126318535.1402254,5335526912.598938,647841097.9864175,-254312224.06745422,493.3655051160286,489.7613696238874,217.2883841358846,217.28838413588466,217.28838413588466,1.0,fixed,1,3,100,message_conditioned_information
1,190.26073839749935,11817216231155.084,11817217926201.174,2131409354550.0032,711285922950.9214,711274149088.8018,68553.14551463899,78354.06234553148,20033.394284499096,20033.3942844991,20033.3942844991,1.0,fixed,2,3,100,message_conditioned_information
2,143.3010304111812,5153426773914.785,5153427531619.209,386347735687.00024,258086595404.5733,258074821542.45374,51784.98825544118,58553.0979016744,7400.3181970370015,7400.3181970370015,7400.3181970370015,1.0,fixed,2,3,100,message_conditioned_information
3,125.93622085359917,1503396751932.4272,1503396980724.4172,39077476072.63621,52610998135.4815,52599224273.361916,45570.461380398694,41228.53146745404,8564.497042688632,8564.497042688632,8564.497042688632,1.0,fixed,2,3,100,message_conditioned_information
1,1.2789007267069283,404485553288.08417,404485594465.8758,88309982231.62547,100289065617.97292,83584564912.25975,4175.661193604361,4215.350120615062,1125.327560450712,1125.327560450712,1125.327560450712,1.0,fixed,3,3,100,message_conditioned_information
2,0.7088190965623201,266362485277.38138,266362520144.7855,138429123182.16306,88400946993.44318,71696446287.73001,3248.844723637078,4823.9892455502595,2087.8617612553858,2087.8617612553858,2087.8617612553858,1.0,fixed,3,3,100,message_conditioned_information
3,0.2871772625509846,101285325528.80083,101285336576.32922,21490666063.716953,29735214731.033134,13030714025.31997,2685.997522050531,2918.633256292686,2408.8169425561423,2408.8169425561427,2408.8169425561427,1.0,fixed,3,3,100,message_conditioned_information
1,0.8883715882234042,453812552089.8028,453812586888.89075,11700508977.273949,24961862722.03527,7750642358.470562,1815.5521321529466,1284.0942826456644,871.5918172160037,871.5918172160037,871.5918172160037,1.0,fixed,4,3,100,message_conditioned_information
2,0.6429934064073702,81863377453.60464,81863389341.34653,29972018647.2654,32152069937.647427,14940849574.082718,2721.4562567330822,3121.4486615768847,1007.9822371359817,1007.9822371359817,1007.9822371359817,1.0,fixed,4,3,100,message_conditioned_information
3,0.22073539242705337,15402553505.83846,15402556644.76413,38444648312.22771,23589668711.626183,6378448348.061474,2575.8953881328134,2778.7350361921226,615.6972135727518,615.6972135727518,615.6972135727518,1.0,fixed,4,3,100,message_conditioned_information
1,0.7326657855351163,45132164129.62694,45132173191.16662,1155771402.874239,1774888721.4585052,231209628.5781939,906.5461792842887,797.4022622990952,449.06653446805086,449.06653446805086,449.06653446805086,1.0,fixed,5,3,100,message_conditioned_information
2,0.3756976652084601,10508767755.504122,10508769845.763607,11564545490.369602,4907708517.580202,3364029424.699891,1488.2283246826435,1471.1065732979798,630.0970750358222,630.0970750358222,630.0970750358222,1.0,fixed,5,3,100,message_conditioned_information
3,0.10558902005716804,15009403244.0824,15009405600.217182,2494649374.826386,1052230598.5589366,-491448494.32137465,1830.9042031586873,2008.7003968418098,539.5272272857438,539.5272272857438,539.5272272857438,1.0,fixed,5,3,100,message_conditioned_information
1,0.6803914657368129,25350713609.273453,25350708560.75402,2573860335.995277,2731622854.904278,2006635461.951375,391.51396770122693,425.234898585239,102.56640439936143,102.56640439936143,102.56640439936143,1.0,fixed,6,3,100,message_conditioned_information
2,0.4226207391812566,2302791919.585855,2302791942.6510015,2737603519.755201,1925184194.8412097,1200196801.888307,464.7626265281368,397.2503308304132,122.004615429109,122.004615429109,122.004615429109,1.0,fixed,6,3,100,message_conditioned_information
3,0.263421890740363,1593896872.265862,1593897072.8042135,1309613377.9668357,1420330111.0387568,695342718.0858542,544.4529043010377,601.3804399412606,121.2978195499829,121.29781954998289,121.29781954998289,1.0,fixed,6,3,100,message_conditioned_information
1,0.3286666924702411,5739060101.17631,5739061330.036456,16434461.09855742,14664502.322871258,-9303136.55887959,134.98071408404275,115.36905640217026,51.14970389161344,51.14970389161345,51.14970389161345,1.0,fixed,7,3,100,message_conditioned_information
2,0.264576939460129,502875761.81081814,502875889.09530365,15384327.369081507,15874034.441771446,-8093604.439979402,154.9520101585751,185.9615442749801,49.989743767878466,49.989743767878466,49.989743767878466,1.0,fixed,7,3,100,message_conditioned_information
3,0.24590250778893544,1214847384.0288088,1214847582.1484804,19732092.671981722,16326438.026037369,-7641200.855713479,154.50038157954407,133.4091624287982,70.14905789665927,70.14905789665927,70.14905789665927,1.0,fixed,7,3,100,message_conditioned_information
1,0.7450847421762463,5568794736.737121,5568794945.434468,3249980.8456226764,3028744.5057380935,2809624.4503912884,67.70477142809105,39.50364620587507,44.228556971660886,44.228556971660886,44.228556971660886,1.0,fixed,8,3,100,message_conditioned_information
2,0.6621449623654819,1420302739.5437706,1420302956.213575,720622.753416606,390580.91194471705,171460.85659791192,95.58629327725329,124.8137193071969,42.834133839672646,42.83413383967265,42.83413383967265,1.0,fixed,8,3,100,message_conditioned_information
3,0.6013240296619274,1012683445.9269038,1012683606.6092604,114612.04540198382,482504.3462185221,263384.290871717,91.3593937309293,80.30379467834423,55.40446564589863,55.40446564589863,55.40446564589863,1.0,fixed,8,3,100,message_conditioned_information
1,1.001881485775834,2144342640.4384148,2144342970.3543131,433886.20052595605,421065.0568659695,399423.0652611462,12.132297108964348,8.949856234337549,12.517383919869275,12.517383919869275,12.517383919869275,1.0,fixed,9,3,100,message_conditioned_information
2,0.9219914888345683,731723659.7301754,731723768.1371255,43173.892292752316,51585.13703770116,29943.1454328779,20.71500764923408,28.428542442857005,13.286687801301168,13.286687801301172,13.286687801301172,1.0,fixed,9,3,100,message_conditioned_information
3,0.8455952326786819,132058166.63975719,132058193.42386511,829.4740854955364,1326.9890588009678,-20315.002546022293,20.35625289157811,22.62287044523716,14.938719735911933,14.938719735911933,14.938719735911933,1.0,fixed,9,3,100,message_conditioned_information
1,0.9026141633816871,1396667965.3872728,1396667858.3527298,181401.7149877021,180090.8873785126,177463.7352878899,6.768114495853774,5.012266336321614,4.548843659403219,4.548843659403219,4.548843659403219,1.0,fixed,10,3,100,message_conditioned_information
