outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,coarse_damping_mode,outer_damping,outer_damping_mode,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,raw_full_step_objective,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,,,,,
1,273836794.07027113,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,493.3655051160286,699.3488142897845,0.5440964893733123,0.001431575703154367,1126318535.1402254,7.638350747319521,-254312224.06745422,61,244,647841097.9864175,902153322.0538718
2,33187380961.863934,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,45570.461380398694,359.57428079129727,125.93622085359917,0.0003097658981236748,1503396980724.4172,22.281729705161425,52599224273.361916,61,244,52610998135.4815,11773862.119583005
3,24423569607.614967,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,2685.997522050531,3200.0306468181407,0.2871772625509846,0.0012520420844234412,101285336576.32922,23.41573468394311,13030714025.31997,61,244,29735214731.033134,16704500705.713165
4,15530547621.42056,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,2575.8953881328134,2965.238862792408,0.22073539242705337,0.0016779568924510768,15402556644.76413,9.180616077531287,6378448348.061474,61,244,23589668711.626183,17211220363.56471
5,1155894852.5918198,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,1830.9042031586873,2018.2257731685202,0.10558902005716804,0.002054590758983849,15009405600.217182,3.9894573240861018,-491448494.32137465,61,244,1052230598.5589366,1543679092.8803113
6,827158613.8107667,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,544.4529043010377,691.5763295501464,0.263421890740363,0.0003514534131203813,1593897072.8042135,3.2038645345964127,695342718.0858542,61,244,1420330111.0387568,724987392.9529027
7,50466767.43487803,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,154.50038157954407,149.09934377611503,0.24590250778893544,7.20023960142492e-05,1214847582.1484804,1.0331170890884211,-7641200.855713479,61,244,16326438.026037369,23967638.88175085
8,2773236.63263139,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,91.3593937309293,104.51756485828268,0.6013240296619274,0.00027080632681607904,1012683606.6092604,1.744180565641268,263384.290871717,61,244,482504.3462185221,219120.05534680514
9,128023.43217096587,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,20.35625289157811,70.03296924148628,0.8455952326786819,0.0001259743624528077,132058193.42386511,1.5319079140280984,-20315.002546022293,61,244,1326.9890588009678,21641.991604823263
10,2019.4239490791012,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,15.060499469048036,62.53936023040298,0.7668972938309676,4.7590884061525697e-05,123090697.35296269,1.226056969698239,-671.8921408443111,61,244,1955.2599497783776,2627.152090622689
11,1883539.036095749,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,72.11605479875382,51.15359807002255,2.3394232137144675,3.7960198627195965e-05,5418341793.546735,3.0558797922990815,3032991.9146383028,61,244,3033565.4134797207,573.4988414180519
12,88330.09315723776,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,27.25898169192199,107.95103411823905,0.8551002189611845,0.00013566525734943742,54456424.67170314,2.3113715353863884,-55707.98830505241,61,244,1523.8840297267134,57231.872334779124
13,9879.74713707235,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,13.678822545384435,93.0075741782021,0.8682628305487454,4.350921613558289e-05,163467055.30230346,2.0501300047579263,-1866.7532610082003,61,244,2539.3333615934275,4406.086622601628
14,3545.7154331591296,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,9.641267195157036,82.74319178026988,0.8846520820584234,0.00011936515730617966,326326911.1303622,1.8625842753988004,7070.4506948455855,61,244,9599.84310191892,2529.3924070733333
15,9118063.065077402,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,87.81878022657644,75.01179856986663,2.1486151166858125,7.548584034746504e-05,11399743915.21916,4.093514835838143,14697498.950675948,61,244,14698611.291168148,1112.3404921997644
16,854888.0296164951,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,29.330117060061756,141.88291891281483,0.8409811598331711,0.00044144740115709894,989528605.8353151,3.038573509652748,46399.29289056166,61,244,181133.67842279613,134734.38553223448
17,105094.77846257084,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,24.24558215207484,125.0739256243385,0.8087854842593334,0.00011893256550838779,545946249.0950985,2.573439311574524,23818.46115890838,61,244,31059.81277588477,7241.351616976388
18,55375.528455248,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,28.328620809351513,106.32857744804225,0.7359339857269274,5.541060384451149e-05,674224062.2698039,1.985513014069505,44638.10081619858,61,244,46297.799610961934,1659.698794763356
19,49911.82210704609,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,7.820358586480896,83.94781363955973,0.9085805136785606,5.7449448731324246e-05,729092192.5663257,1.937025072592454,47866.87267215902,61,244,48425.15805150447,558.2853793454523
20,2495.967734050879,3,100,message_conditioned_information,1.0,fixed,0.8,fixed,9.534083267548732,77.92354309824272,0.8807587518699443,3.77593474792427e-05,1326078.0882832888,1.7475706464132832,-396.0298259738226,61,244,153.5188601851956,549.5486861590182
