outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,coarse_damping_mode,outer_damping,outer_damping_mode,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,raw_full_step_objective,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,,,,,
1,37366004.38178808,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,547.0070961955665,699.3488142897845,0.3491090445483019,0.001431575703154367,775716284.6566789,4.867050690262266,-864787317.6720836,61,366,37366004.38178808,902153322.0538718
2,3726397.7873316356,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,81.31468384363622,199.27603327691642,0.7871281629297646,5.0580208996582356e-05,5763188593.477505,3.925552831777541,-258401673.2381048,61,366,3726397.7873316356,262128071.02543643
3,9760000.175754221,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,55.58228701223158,154.48116356475592,1.1993750225662911,8.463191429894394e-05,4955664496.9093075,4.851574981276032,9701177.628200244,61,366,9760000.175754221,58822.54755397773
4,13070465.186960325,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,108.1731596400612,197.46803895887874,0.5110915881511479,0.0003842001412547073,453351522.23238695,2.4399654693387474,-51312941.432283424,61,366,13070465.186960325,64383406.61924375
5,39812.318335256175,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,42.43420418206253,87.9951730063756,0.518780308880028,6.60534200089356e-05,167491225.2402209,1.1606322337260222,-69421.30142052793,61,366,39812.318335256175,109233.61975578411
6,141.05956675524905,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,24.2493102265095,45.17402881950903,0.46332637012984434,4.260792573839629e-05,13185055.334789293,0.5329689575169623,-42.43660244893604,61,366,141.05956675524905,183.4961692041851
7,2377.1974328920887,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,11.798748093346337,20.894220137442215,0.435635444986349,1.3059260851317482e-05,165327948.59992626,0.23157814589418907,2264.14332558058,61,366,2377.1974328920887,113.05410731150859
8,5554.415771244476,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,5.8785323908793075,9.083145053476581,0.3583846434166277,1.3924089899223422e-05,241283553.83730832,0.08343504640546866,5444.750397031418,61,366,5554.415771244476,109.66537421305708
9,48730.023715058116,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,5.060772133719144,3.253241836289682,0.6344626127924166,2.602091259372162e-06,719984794.7400529,0.05291579916196976,48621.93952601648,61,366,48730.023715058116,108.0841890416309
10,6698.266549459422,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,1.4075965853763626,2.065635001367092,0.3695225774934862,1.125031653474634e-05,265603516.60547873,0.020072853385867565,6590.123910755574,61,366,6698.266549459422,108.1426387038485
11,1566.6990604100288,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,0.701846173440726,0.7602907993634936,1.6375689599359218,3.6188750138185266e-06,125900567.35993281,0.03170142998273439,1458.7783729772996,61,366,1566.6990604100288,107.92068743272928
12,1162.408811928408,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,0.2859286811579917,1.242936660492571,0.99828005045027,1.9171135882378426e-06,106708518.94920969,0.03127887495636772,1054.4566753117354,61,366,1162.408811928408,107.95213661667282
13,315.68331838871285,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,0.3100362038096535,1.2411222778130624,0.7529548408781394,7.457708307999499e-07,47352236.96918509,0.023391807092547318,207.76240240244476,61,366,315.68331838871285,107.92091598626808
14,108569.89318615638,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,15.433567649456746,0.9336634871854385,17.468075811314783,1.0828878091388482e-06,1129120451.2793212,0.4154022340430669,108461.97400398682,61,366,108569.89318615638,107.91918216955789
15,4287.746883257168,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,3.7468567001708504,16.292984696743442,0.9164922844250741,1.354311884808768e-05,239654298.21335962,0.3813370299605604,3855.285109562416,61,366,4287.746883257168,432.46177369475146
16,2120.0576550751407,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,10.601120553866355,14.89252287018843,0.29239815446394457,2.8197147839855647e-05,175175017.31033167,0.11003964511896547,1872.6981411038173,61,366,2120.0576550751407,247.3595139713235
17,2253.332906826977,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,7.795670931400339,4.3808856079028375,0.7826848790890242,1.5515066072784238e-06,147637414.49646908,0.08787484541214248,2145.3736940582194,61,366,2253.332906826977,107.95921276875751
18,897.116257416811,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,3.241229559475487,3.4348201926132433,0.10339236596846392,5.442896034583179e-06,95288256.514394,0.00901087432496431,788.8962893590235,61,366,897.116257416811,108.2199680577875
19,67794.43494609828,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,7.676942720554759,0.3531194121500816,21.134451099353583,6.444758665755182e-07,833658479.1011353,0.1880467960822898,67686.50888919187,61,366,67794.43494609828,107.92605690640275
20,1946.7012034680488,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,2.2940869964322026,7.471330889907974,0.7528026628944953,1.9472822664276408e-05,136882800.83742437,0.14237873937778486,1813.6234322812973,61,366,1946.7012034680488,133.07777118675153
