outer,nonlinear_objective,xy_rel_to_direct
0,3350168.410825497,1.2312708232912002
1,37366004.38178808,0.3762269494643943
2,3726397.7873316356,0.2906384185297621
3,9760000.175754221,0.3614745349437717
4,13070465.186960325,0.16860718976068154
5,39812.318335256175,0.0869737947384854
6,141.05956675524905,0.04026483060528398
7,2377.1974328920887,0.017520806807394932
8,5554.415771244476,0.006282961268172011
9,48730.023715058116,0.0039675500364995935
10,6698.266549459422,0.0014585863715581224
11,1566.6990604100288,0.0023943917245777347
12,1162.408811928408,0.0023905735719326193
13,315.68331838871285,0.0017996124324733025
14,108569.89318615638,0.03145967848371986
15,4287.746883257168,0.028765473810342074
16,2120.0576550751407,0.008446006135947379
17,2253.332906826977,0.006616255295117598
18,897.116257416811,0.0006820182430143315
19,67794.43494609828,0.014383769258797089
20,1946.7012034680488,0.010818248960540747
