outer,inner_cycle,pre_objective,post_objective,post_minus_pre,post_linear_residual_norm,e_rel_to_exact,delta_e_norm,delta_e_raw_norm,e_norm
1,1,6884077287.544553,2888435818.2979717,-3995641469.246581,41432142618.612366,0.6818752984682191,132.4694209595782,132.4694209595782,463.9033438582492
1,2,17643077.599540565,981232273.1047337,963589195.5051931,4009241685.8645372,0.6108125761251499,190.626119166947,190.626119166947,480.99185034218
1,3,5335526912.598938,647841097.9864175,-4687685814.61252,1126318535.1402254,0.5440964893733123,217.28838413588466,217.28838413588466,493.3655051160286
1,4,1503629499.5545063,301302893.4757622,-1202326606.0787442,49987628.9011688,0.4934000393791544,315.1354441314656,315.1354441314656,507.3171004208686
1,5,10534557279.531227,287803223.498273,-10246754056.032953,612536663.463355,0.44712034732004896,391.48698141775463,391.48698141775463,514.4582669715098
2,1,80856119.09958929,4040487.125783105,-76815631.97380619,3539139693.044292,0.6776173629418353,37.3288178489132,37.3288178489132,119.57795301522091
2,2,17547123.35056085,10760208.869587593,-6786914.480973259,82687350.1520847,0.5448106825959285,20.67662575694486,20.67662575694486,145.60632385314813
2,3,197985236.65413362,18525565.849363893,-179459670.80476972,273005357.8331546,0.5215920063320071,27.220603908882754,27.220603908882754,149.30893938242895
2,4,106399548.29440102,29405083.552677143,-76994464.74172388,194104088.39416197,0.4513488122718844,40.206496409604696,40.206496409604696,162.74810214432807
2,5,809139936.268745,42986919.182428464,-766153017.0863165,105764017.78900085,0.45059034132466386,55.19256041566807,55.19256041566807,161.4778562356269
3,1,90850.3164209129,28867.981064839914,-61982.33535607299,899229023.5876228,0.9029854949188002,16.862441002447795,16.862441002447795,12.552264764698315
3,2,64993.14611813996,30368.177705897684,-34624.96841224228,264207863.35531774,0.7976257944749957,16.247940706354303,16.247940706354303,21.921598739543203
3,3,109550.10827108238,323398.5001553666,213848.3918842842,645978445.1155643,0.7155216993061231,28.633432795576283,28.633432795576283,30.250505726951165
3,4,278254.6486657039,53329.429080244015,-224925.21958545988,777084674.4812672,0.6313339844185386,34.712498121427465,34.712498121427465,38.542567082628864
3,5,119023.24599015365,689163.3472682785,570140.1012781248,895660962.8149282,0.5563936866910318,55.43017992271973,55.43017992271973,46.5423218141988
4,1,24568.057005546776,23695.386859096492,-872.6701464502839,511482050.58914566,0.8718886306592735,7.9785605962085,7.9785605962085,7.4808535245817165
4,2,1210.7564565790865,1741.1275188671893,530.3710622881028,141372174.92936808,0.7552807362708105,6.653178712999165,6.653178712999165,14.18227973381673
4,3,1173.9227311131913,1679.7279731406386,505.8052420274473,131292905.09446956,0.6587775399343927,13.044392954557019,13.044392954557019,19.503434099738666
4,4,3190.3495926446435,5504.3406489791905,2313.991056334547,246090678.2116663,0.57882715238918,15.659548235810668,15.659548235810668,24.168515616595695
4,5,2423.997022197603,3881.368055222334,1457.3710330247309,220670058.7970069,0.49417702697076454,25.943387018227792,25.943387018227792,28.88086115321356
5,1,17093.026309938432,16951.252123603645,-141.77418633478737,427107785.07329065,0.8965055422988989,3.7928834990475906,3.7928834990475906,2.9852598061172757
5,2,923.5654781030489,989.4077240844032,65.84224598135427,100156035.18321998,0.7837030340431327,3.077575698922952,3.077575698922952,6.169837149572675
5,3,581.4790056443453,635.5425650223631,54.06355937801777,73679688.86553344,0.6922105776848861,6.056968964802739,6.056968964802739,8.673472433731394
5,4,1319.7499321953392,1552.105130252791,232.35519805745184,127678218.18119833,0.6091611464394752,7.0601846553077126,7.0601846553077126,11.061890341235154
5,5,871.90250208104,993.2402558999738,121.33775381893383,98727986.79929952,0.5307462341771073,11.658737733891224,11.658737733891224,13.21481967790831
6,1,6865626756.877983,5374570994.121291,-1491055762.756692,258338882431.137,24.510782381732568,616.4178256607245,616.4178256607245,365.3271537228952
