inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,coarse_damping_mode,outer,inner_cycles,pre_sweeps,basis_source
1,0.6818752984682191,41432138697.646614,41432142618.612366,6884077287.544553,2888435818.2979717,1986282496.2441,463.9033438582492,435.81115241351586,132.46942095957817,132.4694209595782,132.4694209595782,1.0,fixed,1,3,100,message_conditioned_information
2,0.6108125761251499,4009240840.102026,4009241685.8645372,17643077.599540565,981232273.1047337,79078951.05086195,480.99185034218,554.078235436409,190.62611916694698,190.626119166947,190.626119166947,1.0,fixed,1,3,100,message_conditioned_information
3,0.5440964893733123,1126318428.2285564,1126318535.1402254,5335526912.598938,647841097.9864175,-254312224.06745422,493.3655051160286,489.7613696238874,217.2883841358846,217.28838413588466,217.28838413588466,1.0,fixed,1,3,100,message_conditioned_information
1,0.803565921954252,4635934424.719653,4635933746.956409,372098.25097551174,463857.4385792915,-761450668.7370734,134.10387865025942,124.05617362021914,33.76977735522568,33.76977735522568,33.76977735522568,1.0,fixed,2,3,100,message_conditioned_information
2,0.7005222142918768,45647184.73280937,45647125.665857874,7837765.172677234,4340867.082753426,-757573659.0928993,155.86999884182177,158.44936063806284,9.377013174329596,9.377013174329596,9.377013174329596,1.0,fixed,2,3,100,message_conditioned_information
3,0.6485408585774562,260172689.36123517,260172749.26229197,866893.3074235505,12284832.280059624,-749629693.8955932,159.99676706200353,152.92966715930348,20.635792114606886,20.635792114606886,20.635792114606886,1.0,fixed,2,3,100,message_conditioned_information
1,0.9406347153444965,971235667.4337052,971235515.1021546,82644.03986743711,25189.14128030979,-5546034.7691392135,11.256761950256426,5.932340745623351,7.863641832103929,7.86364183210393,7.86364183210393,1.0,fixed,3,3,100,message_conditioned_information
2,0.8642267578556193,133842802.03587916,133842827.42636165,85165.6082385403,74795.23654659846,-5496428.673872925,24.68588532174455,21.391471105788813,5.86088654397146,5.86088654397146,5.86088654397146,1.0,fixed,3,3,100,message_conditioned_information
3,0.7858203242941972,163134333.83466107,163134357.5104879,58326.97220139338,197004.43235184439,-5374219.478067679,38.58072926775912,31.130009787987557,11.142583732850417,11.142583732850417,11.142583732850417,1.0,fixed,3,3,100,message_conditioned_information
1,0.9628900986394113,667359900.3281292,667359950.7501069,41388.41431983854,40729.03597573137,33026.91975343508,5.441698352118304,1.1512330654081402,5.385120807416323,5.385120807416323,5.385120807416323,1.0,fixed,4,3,100,message_conditioned_information
2,0.8707657972556913,150547268.4208476,150547295.93003142,1912.0441833664208,1832.1751073403248,-5869.941114955966,18.170235049740338,12.917686077879075,5.446595035000028,5.446595035000027,5.446595035000027,1.0,fixed,4,3,100,message_conditioned_information
3,0.7853949996150427,160729305.32350996,160729334.29585052,2357.8942849933787,2314.0867532301313,-5388.029469066159,30.112067085736367,25.804897445775023,4.427647388949349,4.4276473889493495,4.4276473889493495,1.0,fixed,4,3,100,message_conditioned_information
1,0.9296043533957984,842084111.5317714,842084068.079026,65989.81938060261,65764.20189664916,59712.030924243336,7.867992698098128,2.5878526671369304,6.851953874029248,6.851953874029248,6.851953874029248,1.0,fixed,5,3,100,message_conditioned_information
2,0.8285086230093293,149687944.7555899,149687977.27466634,2210.3271695665,2291.8939423397787,-3760.277030066046,18.880748482584195,17.33746867197438,3.1293097388684528,3.129309738868453,3.129309738868453,1.0,fixed,5,3,100,message_conditioned_information
3,0.7378241121248241,11577299.302185375,11577299.001951838,199.99297829884995,177.48700096648895,-5874.683971439335,28.869860455166187,21.743725823817464,8.473557661816605,8.473557661816605,8.473557661816605,1.0,fixed,5,3,100,message_conditioned_information
1,1.0470505511944124,1561279127.6386068,1561279343.232479,167657.1917685524,178419.74555348416,176443.0442827234,6.005458764770571,8.173755553405663,4.733008847451495,4.733008847451495,4.733008847451495,1.0,fixed,6,3,100,message_conditioned_information
2,0.9351181464388377,65207703.03012167,65207692.27441925,380.10914598285024,659.5771985219743,-1317.124072238776,5.514750855671732,7.952936427637759,11.716162182627425,11.716162182627427,11.716162182627427,1.0,fixed,6,3,100,message_conditioned_information
3,0.8312964157273365,226968785.45600632,226968835.19059387,4295.393548929174,4615.7227920368005,2639.0215212760504,13.697456799074613,21.44271147561549,11.153614080245436,11.153614080245438,11.153614080245438,1.0,fixed,6,3,100,message_conditioned_information
1,0.9197738275505343,167966931.22872743,167966566.31786114,2258.2340933074206,3232.7149634964003,1105.6683307135177,11.89787123235095,16.23510532951382,22.23282342066348,22.23282342066348,22.23282342066348,1.0,fixed,7,3,100,message_conditioned_information
2,0.8898439267209769,17302148.979082845,17301895.54652336,367.78114751360295,177.21599085914474,-1949.8306419237379,8.440249627243722,39.627620055334525,35.190897651387125,35.19089765138713,35.19089765138713,1.0,fixed,7,3,100,message_conditioned_information
3,0.6683469891889073,616602675.5580218,616602714.5983784,44128.60063965128,52660.77927466069,50533.7326418778,22.400037684437557,48.708675800743656,52.73246126017134,52.73246126017135,52.73246126017135,1.0,fixed,7,3,100,message_conditioned_information
1,1.5024628151557684,9223369664.418137,9223370469.025421,7065365.308981467,7152808.267393349,7149645.4800747195,25.446795505067016,35.12492402049924,22.69888965251259,22.69888965251259,22.69888965251259,1.0,fixed,8,3,100,message_conditioned_information
2,1.2959883282517748,998334255.5011806,998334382.9652355,89906.58228254446,83855.56307699179,80692.77575836242,13.767907941109565,40.52472869390559,28.81291006430699,28.812910064306998,28.812910064306998,1.0,fixed,8,3,100,message_conditioned_information
3,1.1223888427157593,478844045.0749089,478844151.8042307,18804.45209691183,23665.642306161586,20502.85498753221,5.918430222966499,33.227326011525165,35.409662032174005,35.409662032174005,35.409662032174005,1.0,fixed,8,3,100,message_conditioned_information
1,2.586058967211673,34295725689.84038,34295696740.578194,126325725.08616365,114622943.40647794,114622251.78238523,119.25063389662087,323.9334675181338,227.04364338230545,227.04364338230545,227.04364338230545,1.0,fixed,9,3,100,message_conditioned_information
2,0.9358243093379207,14286654109.800457,14286656086.539444,8858697.12164787,18043205.396254506,18042513.7721618,57.59326184053576,255.35696101220213,214.9238915748317,214.92389157483174,214.92389157483174,1.0,fixed,9,3,100,message_conditioned_information
3,0.7932578183276155,4287696317.5117865,4287696933.0578876,8382247.104131923,1702037.2063375807,1701345.582244875,38.120772468010195,285.039110842449,283.2705490592754,283.2705490592754,283.2705490592754,1.0,fixed,9,3,100,message_conditioned_information
1,1.7522710924748837,14389732110.26856,14389722655.960577,37413996.892355986,19505016.906317454,19491369.26935995,57.030643870268975,59.33538092304997,89.4446932312205,89.44469323122051,89.44469323122051,1.0,fixed,10,3,100,message_conditioned_information
