outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,coarse_damping_mode,outer_damping,outer_damping_mode,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,raw_full_step_objective,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,,,,,
1,647841097.9864175,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,493.3655051160286,699.3488142897845,0.5440964893733123,0.001431575703154367,1126318535.1402254,7.638350747319521,-254312224.06745422,61,244,647841097.9864175,902153322.0538718
2,12284832.280059624,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,159.99676706200353,315.5092142950087,0.6485408585774562,0.00010465037207548366,260172749.26229197,4.861259105204944,-749629693.8955932,61,244,12284832.280059624,761914526.1756527
3,197004.43235184439,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,38.58072926775912,179.25220233753436,0.7858203242941972,7.739958277769009e-05,163134357.5104879,3.5830040473771225,-5374219.478067679,61,244,197004.43235184439,5571223.910419524
4,2314.0867532301313,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,30.112067085736367,140.24394697422977,0.7853949996150427,0.00012841348571223884,160729334.29585052,2.8080780057574644,-5388.029469066159,61,244,2314.0867532301313,7702.116222296291
5,177.48700096648895,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,28.869860455166187,110.08079164830322,0.7378241121248241,0.00012842746647747535,11577299.001951838,2.0703162783558406,-5874.683971439335,61,244,177.48700096648895,6052.170972405825
6,4615.7227920368005,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,13.697456799074613,81.13208730006727,0.8312964157273365,0.0001395055144696847,226968835.19059387,1.720728026270338,2639.0215212760504,61,244,4615.7227920368005,1976.7012707607503
7,52660.77927466069,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,22.400037684437557,67.38464877359235,0.6683469891889073,9.619087245500913e-05,616602714.5983784,1.1455084083793217,50533.7326418778,61,244,52660.77927466069,2127.0466327828826
8,23665.642306161586,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,5.918430222966499,44.98734434496761,1.1223888427157593,2.990408677886633e-05,478844151.8042307,1.286397721134892,20502.85498753221,61,244,23665.642306161586,3162.7873186293755
9,1702037.2063375807,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,38.120772468010195,50.49677681604066,0.7932578183276155,3.3496917175253835e-05,4287696933.0578876,1.0539045364769057,1701345.582244875,61,244,1702037.2063375807,691.6240927057088
