outer_sample,base_objective,exact_after_objective,exact_delta,exact_ratio
0,3350168.410825497,902153322.0538718,898803153.6430463,269.2859616068008
5,2193590.08573899,312076759.7024527,309883169.6167137,142.26758305087725
10,1682802.3510438048,64151392.65926897,62468590.30822516,38.12176315268236
20,421954.1147320926,1218340.8930227375,796386.7782906449,2.887377680381876
30,63882.74371253417,17206.1277712051,-46676.615941329066,0.26933921073632844
40,8412.424586102372,338.39568438159193,-8074.02890172078,0.040225701986159115
50,1140.3709193239981,111.02064628027992,-1029.3502730437183,0.09735485568686018
75,113.29530393519154,107.9191257670484,-5.3761781681431415,0.9525472108604035
100,107.94678687930988,107.91906058064689,-0.027726298662997806,0.9997431484580083
150,107.91906131061933,107.91906057417596,-7.364433685097538e-07,0.9999999931759658
200,107.91906057416891,107.9190605740936,-7.530331913585542e-11,0.9999999999993022
300,107.91906057412336,107.91906057409645,-2.6915358830592595e-11,0.9999999999997506
