config,outer,nonlinear_objective,e_rel_to_exact,linear_residual_approx,next_objective_gap_to_exact,raw_full_step_objective
"c=2,k=100",0,3350168.410825497,,,,
"c=2,k=100",1,981232273.1047337,0.6108125761251499,4009241685.8645372,79078951.05086195,
"c=2,k=100",2,129530001.52188867,0.5789764155739757,1121185571.227092,-1263465449.0727654,
"c=2,k=100",3,517315.81603946764,0.9763413584205914,2368186138.4149146,-5439401.111579636,
"c=2,k=100",5,2030.403433760469,0.8504073062891111,137831182.92837065,-20284.393593086348,
"c=2,k=100",10,1478.4652961387787,0.8176142506446747,125199836.03961386,930.6808368777239,
"c=2,k=100",15,861.2004195658067,0.8007969933817779,91980642.53236048,733.6974029839159,
"c=2,k=100",20,256.25215621593634,0.970506781100709,40054191.777572066,145.16064961006057,
"c=3,k=100",0,3350168.410825497,,,,
"c=3,k=100",1,647841097.9864175,0.5440964893733123,1126318535.1402254,-254312224.06745422,
"c=3,k=100",2,12284832.280059624,0.6485408585774562,260172749.26229197,-749629693.8955932,
"c=3,k=100",3,197004.43235184439,0.7858203242941972,163134357.5104879,-5374219.478067679,
"c=3,k=100",5,177.48700096648895,0.7378241121248241,11577299.001951838,-5874.683971439335,
"c=3,k=100",10,10767.869762732706,1.1246366263323553,549290175.4552964,-2879.767194770766,
"c=3,k=100",15,1042243355.4937445,0.0268859767435764,4507771287.844783,81273038.82369888,
"c=3,k=100",20,587.6207939734431,0.5797173644586013,72034684.89329013,479.6782856998743,
"c=5,k=100",0,3350168.410825497,,,,
"c=5,k=100",1,287803223.498273,0.44712034732004896,612536663.463355,-614350098.5555987,
"c=5,k=100",2,42986919.182428464,0.45059034132466386,105764017.78900085,-348108711.39804554,
"c=5,k=100",3,689163.3472682785,0.5563936866910318,895660962.8149282,-845869.5130393491,
"c=5,k=100",5,993.2402558999738,0.5307462341771073,98727986.79929952,876.0346321762037,
"c=5,k=100",10,994.7160699360128,0.49921273134009436,114078377.89938292,872.0646720721786,
"c=5,k=100",15,20293.357431235145,37.1696664198666,558926478.1696222,20185.437883356393,
"c=5,k=100",20,3411.8632445712124,0.6965815856892206,190407771.40616998,3301.435042663047,
