actual_outer,start_objective,c,k,ck_cost,beta,post_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
1,3350168.410825497,2,100,200,1.0,981447090.0653876,978096921.6545621,981446982.146327,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.7,250832973.98238966,247482805.57156417,250832866.06332907,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.5,70025441.16774371,66675272.756918214,70025333.24868314,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.3,11685570.513222348,8335402.102396851,11685462.594161773,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.2,4400798.824767427,1050630.4139419296,4400690.905706853,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.1,2914639.230668818,-435529.1801566789,2914531.311608244,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.05,3046375.3626177837,-303793.0482077133,3046267.44355721,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.02,3219466.159909762,-130702.25091573503,3219358.240849188,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.01,3283893.1476315926,-66275.26319390442,3283785.2285710187,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.005,3316840.211605555,-33328.19921994209,3316732.292544981,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
