actual_outer,start_objective,selected_objective,gap_to_direct_optimum,accepted,status,selected_c,selected_k,selected_beta,selected_ck_cost,improvement
0,3350168.410825497,3350168.410825497,3350060.491764923,True,initial,,,,,
1,3350168.410825497,2914639.230668818,2914531.311608244,True,accepted,2,100,0.1,200,435529.1801566789
2,2914639.230668818,2153368.7429367234,2153260.8238761495,True,accepted,2,100,0.2,200,761270.4877320947
3,2153368.7429367234,960463.4784003712,960355.5593397971,True,accepted,2,100,0.3,200,1192905.2645363524
4,960463.4784003712,618701.3098693792,618593.3908088051,True,accepted,2,100,0.3,200,341762.168530992
5,618701.3098693792,546950.5390216641,546842.61996109,True,accepted,2,100,0.1,200,71750.77084771509
6,546950.5390216641,504395.0929788237,504287.17391824967,True,accepted,2,100,0.1,200,42555.44604284037
7,504395.0929788237,439232.2839376608,439124.3648770868,True,accepted,2,100,0.1,200,65162.809041162895
8,439232.2839376608,356397.2418535364,356289.32279296237,True,accepted,2,100,0.1,200,82835.0420841244
9,356397.2418535364,173695.06897408966,173587.14991351563,True,accepted,2,100,0.3,200,182702.17287944673
10,173695.06897408966,173695.06897408966,173587.14991351563,False,no_improving_candidate,2,100,0.0,200,
