actual_outer,start_objective,c,k,ck_cost,beta,post_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
1,3350168.410825497,1,100,100,1.0,2888435816.5117106,2885085648.100885,2888435708.59265,False,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
1,3350168.410825497,1,100,100,0.7,873578585.9879043,870228417.5770788,873578478.0688437,False,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
1,3350168.410825497,1,100,100,0.5,291523743.137092,288173574.7262665,291523635.2180314,False,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
1,3350168.410825497,1,100,100,0.3,61045619.17399096,57695450.76316546,61045511.254930384,False,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
1,3350168.410825497,1,100,100,0.2,20454330.066055417,17104161.65522992,20454222.146994844,False,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
1,3350168.410825497,1,100,100,0.1,5620071.885439826,2269903.474614329,5619963.966379252,False,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
1,3350168.410825497,1,100,100,0.05,3575418.4205956496,225250.00977015262,3575310.5015350757,False,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
1,3350168.410825497,1,100,100,0.02,3290767.1345014395,-59401.276324057486,3290659.2154408656,True,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
1,3350168.410825497,1,100,100,0.01,3300612.312623272,-49556.09820222482,3300504.3935626983,True,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
1,3350168.410825497,1,100,100,0.005,3320869.019008106,-29299.39181739092,3320761.099947532,True,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
