actual_outer,start_objective,selected_objective,gap_to_direct_optimum,accepted,status,selected_c,selected_k,selected_beta,selected_ck_cost,improvement
0,3350168.410825497,3350168.410825497,3350060.491764923,True,initial,,,,,
1,3350168.410825497,3290767.1345014395,3290659.2154408656,True,accepted,1,100,0.02,100,59401.276324057486
2,3290767.1345014395,2991037.6370614897,2990929.718000916,True,accepted,1,100,0.05,100,299729.4974399498
3,2991037.6370614897,2312617.0760501986,2312509.1569896247,True,accepted,2,100,0.2,200,678420.5610112911
4,2312617.0760501986,2020767.7540517761,2020659.834991202,True,accepted,1,100,0.05,100,291849.3219984225
5,2020767.7540517761,2020746.3350874705,2020638.4160268963,True,accepted,2,100,0.001,200,21.418964305659756
6,2020746.3350874705,1304303.9905618948,1304196.0715013207,True,accepted,1,100,0.2,100,716442.3445255756
7,1304303.9905618948,1192540.651578343,1192432.7325177689,True,accepted,1,100,0.05,100,111763.33898355183
8,1192540.651578343,626003.8684780139,625895.9494174399,True,accepted,2,200,0.5,400,566536.7831003291
9,626003.8684780139,518226.06648733345,518118.1474267594,True,accepted,1,100,0.1,100,107777.80199068045
10,518226.06648733345,260929.2592002711,260821.34013969707,True,accepted,1,100,0.3,100,257296.80728706234
11,260929.2592002711,236963.26543190575,236855.34637133172,True,accepted,1,100,0.002,100,23965.993768365355
12,236963.26543190575,208304.9634443052,208197.04438373118,True,accepted,1,100,0.1,100,28658.301987600542
13,208304.9634443052,184417.7407343243,184309.82167375027,True,accepted,1,100,0.1,100,23887.22270998091
14,184417.7407343243,142492.81317371668,142384.89411314265,True,accepted,1,100,0.2,100,41924.92756060761
15,142492.81317371668,90831.14379756656,90723.22473699253,True,accepted,1,100,0.3,100,51661.66937615012
16,90831.14379756656,38019.45588799673,37911.53682742269,True,accepted,1,100,0.2,100,52811.68790956983
17,38019.45588799673,32780.7611477836,32672.842087209567,True,accepted,1,100,0.1,100,5238.694740213126
18,32780.7611477836,29233.17567150435,29125.25661093031,True,accepted,1,100,0.02,100,3547.585476279255
19,29233.17567150435,26963.288928437247,26855.36986786321,True,accepted,1,100,0.1,100,2269.8867430671016
20,26963.288928437247,19553.46402247642,19445.544961902382,True,accepted,1,100,0.2,100,7409.824905960828
