actual_outer,start_objective,c,k,ck_cost,beta,post_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
1,3350168.410825497,1,50,50,1.0,10568862961.424967,10565512793.014141,10568862853.505907,False,10568862961.424967,163820490227.54263,0.6299466632777062,902153322.0538718,699.3488142897845,106337.30726883619,106337.28926315639
1,3350168.410825497,1,50,50,0.5,1596947512.465361,1593597344.0545356,1596947404.5463006,False,10568862961.424967,163820490227.54263,0.6299466632777062,902153322.0538718,699.3488142897845,106337.30726883619,106337.28926315639
1,3350168.410825497,1,50,50,0.1,38006992.459134705,34656824.04830921,38006884.54007413,False,10568862961.424967,163820490227.54263,0.6299466632777062,902153322.0538718,699.3488142897845,106337.30726883619,106337.28926315639
1,3350168.410825497,2,100,200,1.0,981447090.0653876,978096921.6545621,981446982.146327,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.5,70025441.16774371,66675272.756918214,70025333.24868314,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.1,2914639.230668818,-435529.1801566789,2914531.311608244,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
2,2914639.230668818,1,50,50,1.0,2737049174.8372307,2734134535.6065617,2737049066.91817,False,2737049174.8372307,268109179301.07236,0.6105865607420294,1036563307.3755732,660.4367091754297,188.94468490367765,188.944620843167
2,2914639.230668818,1,50,50,0.5,1118730241.0597398,1115815601.829071,1118730133.1406794,False,2737049174.8372307,268109179301.07236,0.6105865607420294,1036563307.3755732,660.4367091754297,188.94468490367765,188.944620843167
2,2914639.230668818,1,50,50,0.1,59231202.18889103,56316562.95822221,59231094.26983046,False,2737049174.8372307,268109179301.07236,0.6105865607420294,1036563307.3755732,660.4367091754297,188.94468490367765,188.944620843167
2,2914639.230668818,2,100,200,1.0,80454957.41825357,77540318.18758476,80454849.499193,False,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.5,6534278.287358754,3619639.056689936,6534170.36829818,False,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.1,2394531.020929354,-520108.20973946434,2394423.10186878,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
