phase,c,k,beta,objective,xrel,path,step,gap_to_direct_optimum
objective_low,5,200,0.005,107.9669442815623,0.004409800949501622,baseline_v4,1,0.04788370752628168
objective_low,5,200,0.005,107.96656574970899,0.00440778107208327,baseline_v4,2,0.04750517567296697
objective_low,2,300,0.002,107.96622311209819,0.0044602175327170404,baseline_v4,3,0.047162538062167414
objective_low,4,200,0.02,107.96481322700886,0.00445507993705322,baseline_v4,4,0.04575265297283693
objective_low,5,200,0.002,107.96330196583183,0.004453403200471928,baseline_v4,5,0.04424139179580777
forced_kick,4,200,1.0,196.65870495390516,0.001388076797068192,kick_then_v4,1,88.73964437986913
objective_low,4,200,0.2,109.43780604710317,0.00201550238789482,kick_then_v4,2,1.518745473067142
objective_low,5,200,0.05,108.31959382055132,0.001962536301141508,kick_then_v4,3,0.40053324651529465
objective_low,5,200,0.01,108.31707159463096,0.001966435193344224,kick_then_v4,4,0.39801102059493587
objective_low,5,200,0.05,108.29613373378542,0.001452090019610292,kick_then_v4,5,0.3770731597494006
objective_low,5,200,0.01,108.28042900232506,0.0014825166795175955,kick_then_v4,6,0.36136842828904037
