outer,r4_objective,r4_gap_to_direct_optimum,r4_xy_rel_to_direct,r6_objective,r6_gap_to_direct_optimum,r6_xy_rel_to_direct
0,107.91906057412336,8.733991307963151e-11,0.0,107.91906057412336,8.733991307963151e-11,0.0
1,37439.101098271014,37331.18203769698,0.01533468268710434,77756.96004023709,77649.04097966306,0.010774053234286938
2,26657.645761370797,26549.72670079676,0.08437020055555511,1611.936320434922,1504.017259860886,0.007228513109524909
3,230.4995484755664,122.58048790153038,0.057296887030354175,2709.2145333620188,2601.295472787983,0.004673476735461104
4,222705.13917364125,222597.22011306722,0.014366022029410282,12995.60188020817,12887.682819634134,0.06046634786429108
5,6521.148358893313,6413.229298319277,0.01612153109646588,141.4577757101743,33.53871513613828,0.033238626834981536
6,131.06149653174742,23.1424359577114,0.01782456030526169,2834.7213390401066,2726.8022784660707,0.018761903942130616
7,1199.769137501485,1091.850076927449,0.014580523723366545,1652.1979033880675,1544.2788428140316,0.012478323685200568
8,119.82631496023045,11.907254386194424,0.0011892524089533278,897.5430285322549,789.6239679582188,0.009870217265724334
9,452.4983720909728,344.57931151693674,0.013631975267347768,124.81819889338682,16.899138319350797,0.0018733066233025046
10,192143.13549731136,192035.21643673733,0.04689801810416248,306.1484679352656,198.2294073612296,0.0031070317910750728
