inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,coarse_damping_mode,outer,inner_cycles,pre_sweeps,basis_source
1,587620.1091700529,3230324514.077066,3230323865.073768,930817.3453805603,981738.8872380877,981630.9681775136,10.707088258914533,14.729520413022001,15.775576733210873,15.775576733210874,15.775576733210874,1.0,fixed,1,3,100,message_conditioned_information
2,528253.0001599594,278231572.82281303,278231617.2785315,5573.130315455718,7217.101698971663,7109.182638397566,9.625349195153387,29.61492112018901,21.689147867903003,21.689147867903007,21.689147867903007,1.0,fixed,1,3,100,message_conditioned_information
3,436703.4899010588,637671703.2956817,637671804.9760728,42602.96608850814,37439.101098271014,37331.18203769692,7.9572159291823645,25.94905838111839,29.547055465717385,29.54705546571739,29.54705546571739,1.0,fixed,1,3,100,message_conditioned_information
1,9.68900910497569,12668843451.253424,12668848614.386227,13623281.121918272,13936127.50580898,13936018.44102205,84.14680459768087,98.09039765466456,30.571710850641672,30.571710850641672,30.571710850641672,1.0,fixed,2,3,100,message_conditioned_information
2,6.156662655307348,2144313043.4092398,2144313415.1116526,367802.6986097566,443757.3457078606,443648.2809209314,56.82673874116659,79.74544615624765,29.227653782950913,29.227653782950906,29.227653782950906,1.0,fixed,2,3,100,message_conditioned_information
3,5.48980043048725,633431046.5203212,633431121.8251733,37392.76216042604,26657.645761370797,26548.58097444156,51.59595717770063,43.674658353315415,40.02220503355574,40.02220503355575,40.02220503355575,1.0,fixed,2,3,100,message_conditioned_information
1,0.8859853789784208,1943028288.4698517,1943028245.6795118,350389.2469841712,355578.130136514,354753.29096955305,6.313182110079829,4.531195052371519,5.944282780079637,5.944282780079638,5.944282780079638,1.0,fixed,3,3,100,message_conditioned_information
2,0.7991575794045854,281195199.00959605,281195237.5182402,7110.578584630131,7590.935674914813,6766.096507953831,9.934120365313932,13.521082005682203,6.717832546881494,6.717832546881494,6.717832546881494,1.0,fixed,3,3,100,message_conditioned_information
3,0.6769103717156243,7744708.12351087,7744701.037423396,133.30411044852326,230.4995484755664,-594.3396184854158,14.717777165648886,12.310834880148777,10.498291795287454,10.498291795287455,10.498291795287455,1.0,fixed,3,3,100,message_conditioned_information
1,0.5605248328608938,20790548210.921524,20790544377.60966,35594064.2705519,39016811.77117498,39016681.24932418,40.01007099590935,45.805059787443305,47.99024476894041,47.99024476894041,47.99024476894041,1.0,fixed,4,3,100,message_conditioned_information
2,0.35427516485273225,153764524.50771666,153764602.14413965,1982.764496650833,3763.8358263488008,3633.3139755491957,38.63826691658615,96.28605609076143,64.26351053713928,64.26351053713927,64.26351053713927,1.0,fixed,4,3,100,message_conditioned_information
3,0.2495516548963717,1608264619.384354,1608264920.5545328,347734.35239086015,222705.13917364125,222574.61732284163,35.77543410340527,72.89258067309804,89.18587574606588,89.18587574606589,89.18587574606589,1.0,fixed,4,3,100,message_conditioned_information
1,1.4296349779318194,209609356.06727386,209609380.74053574,4245.214179476893,3721.266124215721,3603.335381537768,6.379514746003037,2.3877592600755912,6.184085716414975,6.184085716414975,6.184085716414975,1.0,fixed,5,3,100,message_conditioned_information
2,1.3350153239148406,325547216.06688726,325547237.81002825,7170.223489177601,8971.788957801518,8853.858215123566,6.850375833450313,15.160176101207243,8.829333095382493,8.829333095382493,8.829333095382493,1.0,fixed,5,3,100,message_conditioned_information
3,1.1207879871663722,255225933.61228654,255225972.3649345,4854.391482774914,6521.148358893313,6403.217616215361,4.87653863507386,7.704245101663576,11.236066403170648,11.23606640317065,11.23606640317065,1.0,fixed,5,3,100,message_conditioned_information
1,1.2886351963488316,179728600.65036196,179728416.40204877,3086.012465627306,3000.8027854560964,2892.58667481814,2.6389005822716785,2.962830608487591,3.8515542340518585,3.851554234051858,3.851554234051858,1.0,fixed,6,3,100,message_conditioned_information
2,1.120868390629706,89684953.0680874,89684968.21935488,759.9664503351744,847.5674100688049,739.3512994308487,1.2384734370607344,7.572784153274339,6.807646682596984,6.807646682596985,6.807646682596985,1.0,fixed,6,3,100,message_conditioned_information
3,1.1053638130880081,16302858.72587641,16302866.72502271,119.10463053161443,131.06149653174742,22.845385893791246,1.0921332518208127,9.388703042286048,9.664052522065633,9.664052522065631,9.664052522065631,1.0,fixed,6,3,100,message_conditioned_information
1,1.1493055481668588,53070120.89685077,53070151.54068387,824.5893052747674,800.6978158370848,685.2586471173396,2.882826301002843,3.222621139870757,1.9074911708709485,1.9074911708709488,1.9074911708709488,1.0,fixed,7,3,100,message_conditioned_information
2,0.9855944088508601,71026687.06551725,71026683.2527238,559.3791930282248,560.3588470659256,444.9196783461804,1.1289154641803267,3.932535029730782,3.2810933019774864,3.2810933019774855,3.2810933019774855,1.0,fixed,7,3,100,message_conditioned_information
3,0.8180001166382116,111323626.70025767,111323648.15736711,1220.5789236660023,1199.769137501485,1084.3299687817396,1.7166071815031234,4.264813732237919,3.109314433874784,3.109314433874784,3.109314433874784,1.0,fixed,7,3,100,message_conditioned_information
1,0.5443211777676171,514954063.0496325,514953635.25410235,26737.653278760616,26466.148884311213,26357.322853784506,8.345206620885053,9.481642814909854,2.859790835750135,2.8597908357501356,2.8597908357501356,1.0,fixed,8,3,100,message_conditioned_information
2,0.15230960065989113,83141427.24542372,83141445.17245297,984.5592217921458,984.501456374878,875.6754258481719,7.324273345750871,8.07512325306461,1.171822322857443,1.1718223228574431,1.1718223228574431,1.0,fixed,8,3,100,message_conditioned_information
3,0.08125262410761025,16110034.07041237,16110031.927200694,120.50329233842162,119.82631496023045,11.000284433524413,7.0118377637336,6.401584631884906,1.180701884792841,1.180701884792841,1.180701884792841,1.0,fixed,8,3,100,message_conditioned_information
1,13.699447980268403,1465490730.734985,1465490607.2376177,203235.86070557882,203736.36930692155,203628.42576822115,7.982393207174945,6.646737562671189,4.875266258450848,4.87526625845085,4.87526625845085,1.0,fixed,9,3,100,message_conditioned_information
2,12.190592032902241,330789280.5159876,330789337.71831924,9825.505585034043,10125.471365802307,10017.527827101898,6.994698394256146,13.125567208967702,7.340725565267527,7.340725565267528,7.340725565267528,1.0,fixed,9,3,100,message_conditioned_information
3,11.426413495122413,60193777.96557706,60193792.85867515,500.69348408375106,452.4983720909728,344.55483339056343,6.526795062522699,8.433471587642392,10.394519688799857,10.394519688799857,10.394519688799857,1.0,fixed,9,3,100,message_conditioned_information
