outer,nonlinear_objective,gap_to_direct_optimum,xy_rel_to_direct
0,107.91906057412336,8.733991307963151e-11,0.0
1,37439.101098271014,37331.18203769698,0.01533468268710434
2,26657.645761370797,26549.72670079676,0.08437020055555511
3,230.4995484755664,122.58048790153038,0.057296887030354175
4,222705.13917364125,222597.22011306722,0.014366022029410282
5,6521.148358893313,6413.229298319277,0.01612153109646588
6,131.06149653174742,23.1424359577114,0.01782456030526169
7,1199.769137501485,1091.850076927449,0.014580523723366545
8,119.82631496023045,11.907254386194424,0.0011892524089533278
9,452.4983720909728,344.57931151693674,0.013631975267347768
10,192143.13549731136,192035.21643673733,0.04689801810416248
