outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,coarse_damping_mode,outer_damping,outer_damping_mode,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,raw_full_step_objective,exact_next_objective
0,107.91906057412336,,,,,,,,,,,,,,,,,,
1,77756.96004023709,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,5.5892164998038005,1.8221129764256012e-05,306744.51999724156,3.0832274320268677e-10,916237829.7266077,0.1404998174863957,77649.04097966298,61,366,77756.96004023709,107.91906057409645
2,1611.936320434922,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,2.016663245831837,5.599817519367364,0.671379822760327,2.0402580296449313e-05,126701330.40888847,0.0950626827966787,1503.487573173273,61,366,1611.936320434922,108.44874726164899
3,2709.2145333620188,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,1.4111748188852558,3.7497664907451043,0.6461733383547968,2.6218343619923055e-06,167563163.4229302,0.06189489369300285,2601.2607541411016,61,366,2709.2145333620188,107.95377922091713
4,12995.60188020817,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,29.06620637315445,2.4205949010515435,12.96318177687407,1.109833684865693e-06,679081347.2414092,0.7952558743231973,12887.661510600516,61,366,12995.60188020817,107.94036960765472
5,141.4577757101743,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,14.676955578140225,31.19234058822223,0.5450595018009596,7.723215985308337e-06,134926689.6371123,0.43535275423851727,-10618.22099370106,61,366,141.4577757101743,10759.678769411234
6,2834.7213390401066,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,7.5170699510752925,17.218590900247413,0.5639600017836767,1.0504104990808067e-05,179449059.08474937,0.246797118162289,2654.950488626231,61,366,2834.7213390401066,179.77085041387545
7,1652.1979033880675,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,3.2635616295193786,9.725173689568093,0.6648473324510729,5.855675827166091e-06,129519497.54924825,0.16446987265728494,1541.2926398920615,61,366,1652.1979033880675,110.90526349600597
8,897.5430285322549,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,1.6276653085756088,6.470255843682545,0.790359449356836,1.2410217053041222e-06,92116591.1449431,0.1282643867413249,788.8787995502162,61,366,897.5430285322549,108.66422898203876
9,124.81819889338682,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,4.203513268311556,5.12031527885081,0.19027340418526673,9.086809418575235e-06,12977134.584372029,0.024089378794510497,16.82973833166254,61,366,124.81819889338682,107.98846056172428
10,306.1484679352656,3,100,message_conditioned_information,1.0,fixed,1.0,fixed,2.5562236486732046,0.9704733867699112,1.6607339893738862,7.252575098351592e-07,46279685.2039132,0.04195981919472225,198.22832130615916,61,366,306.1484679352656,107.92014662910645
