outer,start_objective,c,k,beta,post_objective,delta,improves
20,109.57278813537108,2,100,1.0,445.02810903111896,335.4553208957479,False
20,109.57278813537108,2,100,0.7,262.5994497581663,153.02666162279525,False
20,109.57278813537108,2,100,0.5,180.37550046918776,70.80271233381667,False
20,109.57278813537108,2,100,0.3,129.16656773413948,19.593779598768393,False
20,109.57278813537108,2,100,0.2,115.05919756327295,5.486409427901862,False
20,109.57278813537108,2,100,0.1,108.54561575983429,-1.027172375536793,True
20,109.57278813537108,2,100,0.05,108.11991691725973,-1.4528712181113548,True
20,109.57278813537108,2,100,0.02,108.76663432628126,-0.806153809089821,True
20,109.57278813537108,2,200,1.0,147.35916881462165,37.78638067925057,False
20,109.57278813537108,2,200,0.7,123.88331403247433,14.310525897103247,False
20,109.57278813537108,2,200,0.5,114.13245636266204,4.559668227290956,False
20,109.57278813537108,2,200,0.3,108.96788419720183,-0.604903938169258,True
20,109.57278813537108,2,200,0.2,108.07001588283026,-1.5027722525408223,True
20,109.57278813537108,2,200,0.1,108.2763179471808,-1.296470188190284,True
20,109.57278813537108,2,200,0.05,108.78915470297022,-0.7836334324008618,True
20,109.57278813537108,2,200,0.02,109.22695063677571,-0.3458374985953725,True
20,109.57278813537108,2,300,1.0,109.64756343883562,0.0747753034645342,False
20,109.57278813537108,2,300,0.7,108.1879846851382,-1.38480345023288,True
20,109.57278813537108,2,300,0.5,107.9379156604909,-1.6348724748801828,True
20,109.57278813537108,2,300,0.3,108.22255998054446,-1.350228154826624,True
20,109.57278813537108,2,300,0.2,108.55399418838174,-1.0187939469893479,True
20,109.57278813537108,2,300,0.1,109.00553729374498,-0.5672508416261053,True
20,109.57278813537108,2,300,0.05,109.27497203270924,-0.2978161026618409,True
20,109.57278813537108,2,300,0.02,109.45029063667292,-0.1224974986981664,True
20,109.57278813537108,3,200,1.0,121.09495808400055,11.522169948629468,False
20,109.57278813537108,3,200,0.7,112.8085273682268,3.235739232855721,False
20,109.57278813537108,3,200,0.5,109.55038332752127,-0.022404807849810027,True
20,109.57278813537108,3,200,0.3,108.1428722577301,-1.4299158776409797,True
20,109.57278813537108,3,200,0.2,108.14326708488964,-1.4295210504814406,True
20,109.57278813537108,3,200,0.1,108.61853967891703,-0.954248456454053,True
20,109.57278813537108,3,200,0.05,109.0355353260424,-0.5372528093286775,True
20,109.57278813537108,3,200,0.02,109.34342326451281,-0.2293648708582765,True
20,109.57278813537108,4,200,1.0,110.37861581526677,0.8058276798956854,False
20,109.57278813537108,4,200,0.7,108.38764631349866,-1.1851418218724206,True
20,109.57278813537108,4,200,0.5,107.96246056504823,-1.610327570322852,True
20,109.57278813537108,4,200,0.3,108.18040503728409,-1.3923830980869951,True
20,109.57278813537108,4,200,0.2,108.51029589748755,-1.0624922378835322,True
20,109.57278813537108,4,200,0.1,108.97697933626326,-0.5958087991078287,True
20,109.57278813537108,4,200,0.05,109.25921609015647,-0.3135720452146131,True
20,109.57278813537108,4,200,0.02,109.4436590605971,-0.12912907477398505,True
20,109.57278813537108,5,200,1.0,109.31906317339153,-0.2537249619795574,True
20,109.57278813537108,5,200,0.7,108.41565823309101,-1.1571299022800758,True
20,109.57278813537108,5,200,0.5,108.2116703996407,-1.3611177357303887,True
20,109.57278813537108,5,200,0.3,108.40088554881434,-1.1719025865567403,True
20,109.57278813537108,5,200,0.2,108.6641765315795,-0.9086116037915843,True
20,109.57278813537108,5,200,0.1,109.05174946713848,-0.521038668232606,True
20,109.57278813537108,5,200,0.05,109.29500178621562,-0.27778634915546263,True
20,109.57278813537108,5,200,0.02,109.45745388107375,-0.11533425429733768,True
20,109.57278813537108,5,300,1.0,108.85499446303625,-0.7177936723348353,True
20,109.57278813537108,5,300,0.7,108.21215035559581,-1.3606377797752742,True
20,109.57278813537108,5,300,0.5,108.12346656672102,-1.4493215686500633,True
20,109.57278813537108,5,300,0.3,108.38170796784203,-1.1910801675290514,True
20,109.57278813537108,5,300,0.2,108.66245705808883,-0.910331077282251,True
20,109.57278813537108,5,300,0.1,109.05634963664804,-0.5164384987230477,True
20,109.57278813537108,5,300,0.05,109.29865177499609,-0.274136360374996,True
20,109.57278813537108,5,300,0.02,109.45923579502636,-0.11355234034472517,True
21,107.9379156604909,2,100,1.0,109.38358392295304,1.445668262462135,False
21,107.9379156604909,2,100,0.7,108.63291481859783,0.6949991581069241,False
21,107.9379156604909,2,100,0.5,108.27792036162005,0.34000470112914627,False
21,107.9379156604909,2,100,0.3,108.04441525179165,0.10649959130074649,False
21,107.9379156604909,2,100,0.2,107.97532061740247,0.03740495691157264,False
21,107.9379156604909,2,100,0.1,107.93940783443408,0.001492173943177022,False
21,107.9379156604909,2,100,0.05,107.9342760837199,-0.003639576771007569,True
21,107.9379156604909,2,100,0.02,107.93539611314274,-0.0025195473481574027,True
21,107.9379156604909,2,200,1.0,108.5482058983105,0.6102902378195978,False
21,107.9379156604909,2,200,0.7,108.2101630439036,0.2722473834127044,False
21,107.9379156604909,2,200,0.5,108.061878651732,0.12396299124110044,False
21,107.9379156604909,2,200,0.3,107.97151382737461,0.033598166883706426,False
21,107.9379156604909,2,200,0.2,107.94709075762641,0.009175097135511123,False
21,107.9379156604909,2,200,0.1,107.93601175188354,-0.0019039086073604494,True
21,107.9379156604909,2,200,0.05,107.93536308658761,-0.0025525739032872252,True
21,107.9379156604909,2,200,0.02,107.93651329945249,-0.0014023610384157337,True
21,107.9379156604909,2,300,1.0,110.05465233164077,2.116736671149866,False
21,107.9379156604909,2,300,0.7,108.955604074288,1.017688413797103,False
21,107.9379156604909,2,300,0.5,108.44647998514053,0.5085643246496261,False
21,107.9379156604909,2,300,0.3,108.11328073301561,0.17536507252471267,False
21,107.9379156604909,2,300,0.2,108.01187566146933,0.07396000097843114,False
21,107.9379156604909,2,300,0.1,107.95352264297509,0.01560698248418646,False
