outer,direct_objective,c2_k50_objective,c5_k50_objective,c10_k50_objective,c10_k100_objective
0,3350168.410825497,3350168.410825497,3350168.410825497,3350168.410825497,3350168.410825497
1,902153322.0538718,7653077875.133799,6756598516.095588,6668936365.000956,5820270306.534176
2,4712688.29331331,68812629.49212398,202772423.47204402,1953082.8177251378,1564465.7578326713
3,109.13274693353951,2189918.5009012353,126392.37010133988,137170.26912179682,606.3297064627371
5,107.91906057435813,1575211.160798618,34869.09163754419,63375.88976158145,25249.960541869295
10,,71309.9036352082,294089.46059574175,27402.408891795978,239.4696032467385
12,,2256548.8936625626,116997.17473485615,9165.269876508757,123.94652763461531
15,,83619.99470814056,9750950.378651291,4080.6178972056823,321.8794373459045
18,,128343.76985638606,142103.20631693208,5470.62639660928,121.44413341097332
20,,191938.73176371233,132081.41280023978,3174.9650943433307,208.3530638513555
