outer_sample,k,cycle,cycle_start_linear_residual,pre_linear_residual,post_linear_residual,pre_residual_ratio_vs_cycle_start,post_residual_ratio_vs_cycle_start,outer_start_objective,cycle_start_objective,pre_objective,post_objective,post_objective_delta_vs_outer_start,post_objective_gap_to_direct_optimum,delta_z_norm,delta_e_norm,e_post_norm,e_rel_to_exact
12,100,1,570869038.7878886,820838021566.396,820838096996.4001,1437.8744787232813,1437.8746108551697,30281.256154506722,30281.256154506722,6709065427006.32,6707296099389.21,6707296069107.954,6707296099281.291,7722.766558899763,7722.7665588997625,13287.496270711437,826.8604570285908
12,100,2,820838096996.4001,896155950389.6993,896156088975.5342,1.091757258427577,1.091757427262132,30281.256154506722,6707296099389.21,509749638443.0243,55023154100.80555,55023123819.54939,55023153992.88649,5210.795178425329,5210.795178425329,4692.443233644421,292.40996471015603
12,100,3,896156088975.5342,480258200070.7281,480258268468.3009,0.5359090966170287,0.5359091729403095,30281.256154506722,55023154100.80555,54975608988.21326,6239598374.85646,6239568093.600306,6239598266.937399,5747.116753728985,5747.116753728985,3328.928173017235,207.97317784545785
12,100,4,480258268468.3009,31166530096.885815,31166536337.315514,0.06489535348612731,0.06489536648003102,30281.256154506722,6239598374.85646,258854457415.9559,3849131735.8825665,3849101454.626412,3849131627.9635057,7830.800098627714,7830.800098627715,2667.3555518728886,166.8502220435431
12,100,5,31166536337.315514,209338895462.27066,209338934549.80435,6.716784091648657,6.7167853457993685,30281.256154506722,3849131735.8825665,119234349246.75703,11600703455.814775,11600673174.55862,11600703347.895716,11172.019904975377,11172.019904975377,2443.281446950339,153.01049783128894
12,100,6,209338934549.80435,237104362171.19464,237104404330.9163,1.1326338441585244,1.13263404555308,30281.256154506722,11600703455.814775,12844625656976.422,11364483484.731245,11364453203.47509,11364483376.812185,15886.805961516957,15886.805961516959,2307.7553775533,144.46134170980653
12,100,7,237104404330.9163,267346643560.63614,267346704132.19485,1.1275481968167578,1.127548452280417,30281.256154506722,11364483484.731245,733791571035.5366,2666970713.11445,2666940431.8582954,2666970605.1953893,23287.804298291925,23287.80429829192,1918.3035217878573,120.2649156281278
12,100,8,267346704132.19485,449491966839.13,449492050680.70636,1.681307305800448,1.6813076194066194,30281.256154506722,2666970713.11445,5521889007122.811,82067214769.52818,82067184488.27203,82067214661.60912,34047.25914626516,34047.25914626517,2539.1319375039334,158.72812428271965
12,100,9,449492050680.70636,479039129334.529,479039245782.6802,1.0657343741876566,1.0657346332537534,30281.256154506722,82067214769.52818,1722359523627.7917,1015235513568.4275,1015235483287.1714,1015235513460.5084,50430.55375263499,50430.553752635,2011.9035419563006,125.57961555988402
12,100,10,479039245782.6802,783801362429.3557,783801527833.2634,1.6361944649205906,1.6361948102031727,30281.256154506722,1015235513568.4275,6034665689336.319,374078098294.01294,374078068012.7568,374078098186.0939,74743.75245424717,74743.75245424717,3903.508665609435,243.48706593283055
12,100,11,783801527833.2634,966502621290.3463,966502859533.4264,1.2330961180467979,1.2330964220052256,30281.256154506722,374078098294.01294,7465987984541.73,1938599439731.6504,1938599409450.3943,1938599439623.7314,111409.88551910025,111409.88551910028,4104.53186918652,255.15700265122314
12,100,12,966502859533.4264,1700669731666.7446,1700670082432.2405,1.7596116916692135,1.7596120545915706,30281.256154506722,1938599439731.6504,17264349827258.627,1894994095821.615,1894994065540.359,1894994095713.696,166167.9038653049,166167.9038653049,7499.240065418001,467.14679567787874
12,100,13,1700670082432.2405,1794427891297.607,1794428398823.7947,1.055129921925408,1.0551302203525943,30281.256154506722,1894994095821.615,22598020930995.992,4527486876917.088,4527486846635.832,4527486876809.169,248423.5451217947,248423.5451217947,9777.931153360212,607.9109549634929
12,100,14,1794428398823.7947,3511439260615.4106,3511439997428.1064,1.9568567143258968,1.9568571249372626,30281.256154506722,4527486876917.088,57152345610541.93,6704000851126.4,6704000820845.145,6704000851018.481,371726.3735238275,371726.3735238275,15912.883570131426,990.6247044725307
12,100,15,3511439997428.1064,4177576670830.056,4177577770945.5757,1.1897047006042678,1.1897050138989618,30281.256154506722,6704000851126.4,98263891660443.03,14138736376604.328,14138736346323.072,14138736376496.408,556823.1605433507,556823.1605433507,22689.964415382157,1411.175293903017
12,100,16,4177577770945.5757,7784751528741.458,7784753172553.553,1.8634605878275283,1.863460981312027,30281.256154506722,14138736376604.328,226074836203849.16,30311412358022.46,30311412327741.203,30311412357914.543,834466.5579496344,834466.5579496344,35095.3757278395,2184.1198951809256
