outer_sample,k,max_cycles,outer_start_objective,direct_optimum_objective,exact_after_objective,exact_gap_to_direct_optimum,exact_step_norm,first_cycle_below_outer_start,best_cycle,best_cycle_objective,best_gap_to_direct_optimum,best_pre_residual_ratio,best_post_residual_ratio
1,50,5,647841097.9864175,107.91906057403602,761914526.1756527,761914418.2565922,315.5092142950087,1,2,26441976.32641377,26441868.407353196,0.010189444318707148,0.010189426199960596
1,100,5,647841097.9864175,107.91906057403602,761914526.1756527,761914418.2565922,315.5092142950087,1,1,463857.4385792915,463749.5195187175,0.055577904308676894,0.05557789618331159
1,150,5,647841097.9864175,107.91906057403602,761914526.1756527,761914418.2565922,315.5092142950087,1,2,392040.2141360576,391932.29507548356,0.19326661132909226,0.19326663139194658
1,200,5,647841097.9864175,107.91906057403602,761914526.1756527,761914418.2565922,315.5092142950087,1,2,1121139.4022322749,1121031.4831717007,0.4461794025942578,0.4461794702924577
2,50,5,12284832.280059624,107.91906057403602,5571223.910419524,5571115.99135895,179.25220233753436,2,4,197233.32304497258,197125.40398439855,1.5545552999633752,1.5545556118403532
2,100,5,12284832.280059624,107.91906057403602,5571223.910419524,5571115.99135895,179.25220233753436,1,1,25189.14128030979,25081.22221973575,0.08593558787395479,0.0859355743955563
2,150,5,12284832.280059624,107.91906057403602,5571223.910419524,5571115.99135895,179.25220233753436,1,1,356.22561157958,248.30655100554398,0.03710202564628897,0.03710202901381405
2,200,5,12284832.280059624,107.91906057403602,5571223.910419524,5571115.99135895,179.25220233753436,1,1,1061.0911114321534,953.1720508581174,0.028665617861371923,0.028665621356709838
3,50,5,197004.43235184439,107.91906057403602,7702.116222296291,7594.197161722255,140.24394697422977,2,4,500.9265726084083,393.0075120343723,0.1980622995792824,0.19806227955786485
3,100,5,197004.43235184439,107.91906057403602,7702.116222296291,7594.197161722255,140.24394697422977,1,4,860.4377002980647,752.5186397240286,0.6255035784397718,0.6255036888015377
3,150,5,197004.43235184439,107.91906057403602,7702.116222296291,7594.197161722255,140.24394697422977,1,4,986.5699394920974,878.6508789180614,0.7876171830365469,0.7876173329394854
3,200,5,197004.43235184439,107.91906057403602,7702.116222296291,7594.197161722255,140.24394697422977,1,4,861.677596906524,753.7585363324879,0.7970497301696359,0.7970498880179665
4,50,5,2314.0867532301313,107.91906057403602,6052.170972405825,5944.251911831789,110.08079164830322,3,3,502.51685022466864,394.59778965063265,0.11563636587553587,0.11563637204174972
4,100,5,2314.0867532301313,107.91906057403602,6052.170972405825,5944.251911831789,110.08079164830322,2,3,177.48700096648895,69.56794039245293,0.07734288025645433,0.0773428782507252
4,150,5,2314.0867532301313,107.91906057403602,6052.170972405825,5944.251911831789,110.08079164830322,1,3,414.4599033321641,306.54084275812806,0.318675178497327,0.3186752661188352
4,200,5,2314.0867532301313,107.91906057403602,6052.170972405825,5944.251911831789,110.08079164830322,1,1,354.81486332721175,246.89580275317573,0.3997001145269738,0.3997001740758438
5,50,5,177.48700096648895,107.91906057403602,1976.7012707607503,1868.7822101867143,81.13208730006727,None,3,2684.6168836080583,2576.6978230340223,0.07091852165801604,0.07091854456005964
5,100,5,177.48700096648895,107.91906057403602,1976.7012707607503,1868.7822101867143,81.13208730006727,None,2,659.5771985219743,551.6581379479383,0.041765558042365036,0.041765551153333635
5,150,5,177.48700096648895,107.91906057403602,1976.7012707607503,1868.7822101867143,81.13208730006727,2,4,113.45303393408282,5.533973360046801,0.1538880660366233,0.15388811563393678
5,200,5,177.48700096648895,107.91906057403602,1976.7012707607503,1868.7822101867143,81.13208730006727,4,4,110.72761881168199,2.8085582376459683,0.20369790107088825,0.20369781697167236
6,50,5,4615.7227920368005,107.91906057403602,2127.0466327828826,2019.1275722088467,67.38464877359235,None,4,10439.493848287148,10331.57478771311,0.10852422960413054,0.1085241420378299
6,100,5,4615.7227920368005,107.91906057403602,2127.0466327828826,2019.1275722088467,67.38464877359235,1,2,177.21599085914474,69.29693028510871,0.10300948193666193,0.10300797310925036
6,150,5,4615.7227920368005,107.91906057403602,2127.0466327828826,2019.1275722088467,67.38464877359235,2,2,261.476987602684,153.55792702864798,0.016222734997089497,0.016222449297309406
6,200,5,4615.7227920368005,107.91906057403602,2127.0466327828826,2019.1275722088467,67.38464877359235,2,2,525.6015162499918,417.6824556759558,0.05461135809573886,0.05461129681179153
9,50,5,1702037.2063375807,107.91906057403602,13647.636957503471,13539.717896929435,39.59919529475043,3,3,1651955.0069465346,1651847.0878859605,0.2147762817353622,0.21477636683627618
9,100,5,1702037.2063375807,107.91906057403602,13647.636957503471,13539.717896929435,39.59919529475043,2,4,6150.802810039328,6042.883749465292,0.36594796065699114,0.3659481665359515
9,150,5,1702037.2063375807,107.91906057403602,13647.636957503471,13539.717896929435,39.59919529475043,1,5,29586.065545136564,29478.146484562527,0.9483230903183335,0.9483228804174223
9,200,5,1702037.2063375807,107.91906057403602,13647.636957503471,13539.717896929435,39.59919529475043,1,2,21412.116689933697,21304.19762935966,3.11314780577245,3.113147796723834
12,50,5,30281.256154506722,107.91906057403602,130.37728824984515,22.458227675809127,16.07270065397081,None,4,7918500109.3955965,7918500001.476536,0.0792999319788118,0.07929993249565481
12,100,5,30281.256154506722,107.91906057403602,130.37728824984515,22.458227675809127,16.07270065397081,None,4,3781128758.2868023,3781128650.3677416,0.06949884481275098,0.0694988579017134
12,150,5,30281.256154506722,107.91906057403602,130.37728824984515,22.458227675809127,16.07270065397081,None,3,383111761.4079823,383111653.4889217,0.35384147498987645,0.3538415263413438
12,200,5,30281.256154506722,107.91906057403602,130.37728824984515,22.458227675809127,16.07270065397081,None,5,274073061.981516,274072954.0624554,0.479538304939004,0.4795388281827628
13,50,5,6250466919.573179,107.91906057403602,4806981022.186954,4806980914.267893,3019.5762879007348,2,3,416393472.6209627,416393364.7019021,0.16612528553657396,0.16612504302812833
13,100,5,6250466919.573179,107.91906057403602,4806981022.186954,4806980914.267893,3019.5762879007348,1,3,439594404.10838485,439594296.18932426,0.6407909644548014,0.6407911967862717
13,150,5,6250466919.573179,107.91906057403602,4806981022.186954,4806980914.267893,3019.5762879007348,1,3,540167690.2390505,540167582.3199899,0.6198090388864371,0.6198092368578887
13,200,5,6250466919.573179,107.91906057403602,4806981022.186954,4806980914.267893,3019.5762879007348,1,3,605638405.4143076,605638297.495247,0.7735498003695479,0.7735500211841404
