outer_sample,outer_start_objective,k_values_scanned,any_success,min_k_with_success,min_c_with_success,best_k,best_cycle,best_cycle_objective,best_drop_vs_outer_start
1,647841097.9864175,50 100 150 200,True,50,1,150,2,392040.2141360576,-647449057.7722815
2,12284832.280059624,50 100 150 200,True,50,1,150,1,356.22561157958,-12284476.054448046
3,197004.43235184439,50 100 150 200,True,50,1,50,4,500.9265726084083,-196503.50577923597
4,2314.0867532301313,50 100 150 200,True,50,1,100,3,177.48700096648895,-2136.5997522636426
5,177.48700096648895,50 100 150 200,True,150,2,200,4,110.72761881168199,-66.75938215480696
6,4615.7227920368005,50 100 150 200,True,100,1,100,2,177.21599085914474,-4438.506801177656
9,1702037.2063375807,50 100 150 200,True,50,1,100,4,6150.802810039328,-1695886.4035275413
12,30281.256154506722,50 100 150 200,False,,,200,5,274073061.981516,274042780.7253615
13,6250466919.573179,50 100 150 200,True,50,1,50,3,416393472.6209627,-5834073446.952216
19,109.57278813537108,50 100 150 200 300,True,200,4,300,4,108.28141697999986,-1.2913711553712233
20,587.6207939734431,50 100 150 200 300,True,200,3,200,3,109.7119713386323,-477.90882263481086
