sweep,message_lam_delta_max_abs,belief_lam_delta_max_abs,message_lam_norm,belief_lam_norm
1,100000000.02795559,100000000.02795559,173205080.7730279,173205080.7730279
2,2496.730751497038,2496.7307514971394,173205080.7914852,173205080.7914852
3,1248.5107133761244,1248.5107133762767,173205080.79610053,173205080.79610053
4,831.3603285811546,831.3603285812583,173205080.79819256,173205080.79819253
5,646.4968249959018,646.4968249960027,173205080.79944503,173205080.79944503
6,497.57118237725035,497.5711823773513,173205080.80020058,173205080.80020055
7,297.8770906730411,297.87709067311613,173205080.80045852,173205080.80045852
8,226.6303212745994,226.63032127472218,173205080.80060703,173205080.80060703
9,183.27443686404774,183.2744368642435,173205080.8007041,173205080.8007041
10,153.15244445587632,153.1524444564966,173205080.8007722,173205080.8007728
11,132.074731680112,132.07473173789936,173205080.80082914,173205080.80084273
12,115.03536934018325,115.0353716968167,173205080.8010311,173205080.8013553
13,6480.745016582686,7432.98492388642,173205081.74456632,173205081.70759225
14,75794.25355209154,75784.5958053513,173205105.44642836,173205105.51879042
15,75913.19308314774,75613.8709959597,173205086.3023784,173205086.4125753
16,40057.03532397406,40056.16637330124,173205081.14847854,173205081.2836236
17,5158.746132533337,5178.009229614316,173205081.12138507,173205081.3583819
18,28217.81863349325,27793.803956178283,173205085.97782034,173205086.3936937
19,4202826.314394913,4212836.913892653,173257748.7006518,173258069.81520307
20,4204446.7253468465,4219913.386576096,173205217.4217844,173205214.11269727
21,274476.2871007179,274476.2871015708,173205310.7463176,173205313.7055847
22,274195.1819426417,274195.1819390609,173205151.16896924,173205157.626319
23,578337.2901072255,576343.6263184246,173206096.28923067,173206094.99296254
24,578311.9889567094,576015.9527087486,173205086.37173665,173205093.3706538
25,16913.30199413901,16921.081615521696,173205085.0271407,173205091.7897843
26,11404.89402288099,11372.415350786556,173205084.7265855,173205091.70174614
27,15427.857702414769,15416.283034343893,173205085.40954706,173205092.68746006
28,15433.366310093441,15451.220412462024,173205084.68638706,173205091.91188398
29,1362.1357444226057,1363.1669644483459,173205084.7225834,173205076.2684232
30,1185.0589742021994,1184.9927545704275,173205084.7364317,173205093.70437017
31,2711.6305098273715,2711.535273751476,173205084.77459735,173205094.26256353
32,8822.599863420812,8823.119469388477,173205085.18643916,173205096.40807334
33,8926.67142519628,8926.517673921768,173205084.78069195,173205101.4809346
34,2549.5975587865905,2546.5931947186477,173205084.80781928,173205114.3340723
35,80333.16274806415,80331.06159448624,173205103.19551525,173205144.78339785
36,80424.35646788453,80423.94062417181,173205084.8785129,173205132.196149
37,3245.244301025279,3245.755240747817,173205084.82966563,173205133.64333165
38,8528.225855225963,8528.109594892685,173205085.0186843,173205134.2182206
39,8532.81894825929,8532.873200580787,173205084.81661353,173205134.14501494
40,789.718954224728,789.7012562542579,173205084.81560147,173205134.1917433
41,1454.2448255934291,1454.2502179700168,173205084.82422906,173205134.23028424
42,1453.1479841695227,1453.1467828178693,173205084.81799704,173205134.2507697
43,164.04065102200343,164.0835758454306,173205084.81963158,173205134.26807627
44,141.39791358878733,145.13324126783144,173205084.82065883,173205134.27629
45,136.53776811416856,136.5132859703563,173205084.82128778,173205134.28223985
46,135.68787608511343,135.67273298507988,173205084.82170513,173205134.28584605
47,139.85674348176553,139.50341383844264,173205084.82205012,173205134.2884467
48,144.46454719646044,144.48213737198606,173205084.8223533,173205134.2901168
49,145.05230775347604,145.04386172967943,173205084.82249802,173205134.29160985
50,141.94212616406685,141.94838707341694,173205084.8226253,173205134.29284215
51,140.30110373330365,140.30236472858212,173205084.82275614,173205134.293368
52,145.6594212055279,145.66037814187825,173205084.82276428,173205134.29381424
53,157.48569291777994,157.4832824862665,173205084.82261217,173205134.293043
54,90.15144143859175,90.15157840744587,173205084.8227401,173205134.2967863
55,41.163813701721665,41.163876672390415,173205084.82332596,173205134.29776052
56,22.991922990144303,22.995809199644157,173205084.8235536,173205134.29898107
57,21.2466621220442,21.249994903987727,173205084.82370853,173205134.29957303
58,18.10957785796404,18.11449219907456,173205084.82389832,173205134.3004151
59,13.131930994625577,13.17803884502166,173205084.8241312,173205134.30123964
60,9.892796411347263,9.949500634196852,173205084.82435647,173205134.30212286
61,8.207425182176166,8.311925607894409,173205084.82452708,173205134.30260965
62,6.442865126554125,6.447080235965132,173205084.82463387,173205134.302952
63,4.3556875183599,4.379913982667631,173205084.8247327,173205134.3033819
64,3.132376671259408,3.203528912562888,173205084.82480276,173205134.30353248
65,1.860843260940328,1.9702488981208717,173205084.82484362,173205134.30365255
66,1.533131618007701,1.5692911895093857,173205084.82487372,173205134.3037414
67,0.8600314683039869,0.8652138766765347,173205084.82489833,173205134.3038177
68,0.530495845318228,0.5339653891664966,173205084.82491928,173205134.3038787
