factor_id,factor_type,target_idx,target_var_id,other_idx,other_var_id
0,odometry,0,0,1,1
0,odometry,1,1,0,0
1,odometry,0,1,1,2
1,odometry,1,2,0,1
2,odometry,0,2,1,3
2,odometry,1,3,0,2
3,odometry,0,3,1,4
3,odometry,1,4,0,3
4,odometry,0,4,1,5
4,odometry,1,5,0,4
5,odometry,0,5,1,6
5,odometry,1,6,0,5
6,odometry,0,6,1,7
6,odometry,1,7,0,6
7,odometry,0,7,1,8
7,odometry,1,8,0,7
8,odometry,0,8,1,9
8,odometry,1,9,0,8
9,odometry,0,9,1,10
9,odometry,1,10,0,9
10,odometry,0,10,1,11
10,odometry,1,11,0,10
11,odometry,0,11,1,12
11,odometry,1,12,0,11
12,odometry,0,12,1,13
12,odometry,1,13,0,12
13,odometry,0,13,1,14
13,odometry,1,14,0,13
14,odometry,0,14,1,15
14,odometry,1,15,0,14
15,odometry,0,15,1,16
15,odometry,1,16,0,15
16,odometry,0,16,1,17
16,odometry,1,17,0,16
17,odometry,0,17,1,18
17,odometry,1,18,0,17
18,odometry,0,18,1,19
18,odometry,1,19,0,18
19,odometry,0,19,1,20
19,odometry,1,20,0,19
20,odometry,0,20,1,21
20,odometry,1,21,0,20
21,odometry,0,21,1,22
21,odometry,1,22,0,21
22,odometry,0,22,1,23
22,odometry,1,23,0,22
23,odometry,0,23,1,24
23,odometry,1,24,0,23
24,odometry,0,24,1,25
24,odometry,1,25,0,24
25,odometry,0,25,1,26
25,odometry,1,26,0,25
26,odometry,0,26,1,27
26,odometry,1,27,0,26
27,odometry,0,27,1,28
27,odometry,1,28,0,27
28,odometry,0,28,1,29
28,odometry,1,29,0,28
29,odometry,0,29,1,30
29,odometry,1,30,0,29
30,odometry,0,30,1,31
30,odometry,1,31,0,30
31,odometry,0,31,1,32
31,odometry,1,32,0,31
32,odometry,0,32,1,33
32,odometry,1,33,0,32
33,odometry,0,33,1,34
33,odometry,1,34,0,33
34,odometry,0,34,1,35
34,odometry,1,35,0,34
35,odometry,0,35,1,36
35,odometry,1,36,0,35
36,odometry,0,36,1,37
36,odometry,1,37,0,36
37,odometry,0,37,1,38
37,odometry,1,38,0,37
38,odometry,0,38,1,39
38,odometry,1,39,0,38
39,odometry,0,39,1,40
39,odometry,1,40,0,39
40,odometry,0,40,1,41
40,odometry,1,41,0,40
41,odometry,0,41,1,42
41,odometry,1,42,0,41
42,odometry,0,42,1,43
42,odometry,1,43,0,42
43,odometry,0,43,1,44
43,odometry,1,44,0,43
44,odometry,0,44,1,45
44,odometry,1,45,0,44
45,odometry,0,45,1,46
45,odometry,1,46,0,45
46,odometry,0,46,1,47
46,odometry,1,47,0,46
47,odometry,0,47,1,48
47,odometry,1,48,0,47
48,odometry,0,48,1,49
48,odometry,1,49,0,48
49,odometry,0,49,1,50
49,odometry,1,50,0,49
50,odometry,0,50,1,51
50,odometry,1,51,0,50
51,odometry,0,51,1,52
51,odometry,1,52,0,51
52,odometry,0,52,1,53
52,odometry,1,53,0,52
53,odometry,0,53,1,54
53,odometry,1,54,0,53
54,odometry,0,54,1,55
54,odometry,1,55,0,54
55,odometry,0,55,1,56
55,odometry,1,56,0,55
56,odometry,0,56,1,57
56,odometry,1,57,0,56
57,odometry,0,57,1,58
57,odometry,1,58,0,57
58,odometry,0,58,1,59
58,odometry,1,59,0,58
59,odometry,0,59,1,60
59,odometry,1,60,0,59
60,odometry,0,60,1,61
60,odometry,1,61,0,60
61,odometry,0,61,1,62
61,odometry,1,62,0,61
62,odometry,0,62,1,63
62,odometry,1,63,0,62
63,odometry,0,63,1,64
63,odometry,1,64,0,63
64,odometry,0,64,1,65
64,odometry,1,65,0,64
65,odometry,0,65,1,66
65,odometry,1,66,0,65
66,odometry,0,66,1,67
66,odometry,1,67,0,66
67,odometry,0,67,1,68
67,odometry,1,68,0,67
68,odometry,0,68,1,69
68,odometry,1,69,0,68
69,odometry,0,69,1,70
69,odometry,1,70,0,69
70,odometry,0,70,1,71
70,odometry,1,71,0,70
71,odometry,0,71,1,72
71,odometry,1,72,0,71
72,odometry,0,72,1,73
72,odometry,1,73,0,72
73,odometry,0,73,1,74
73,odometry,1,74,0,73
74,odometry,0,74,1,75
74,odometry,1,75,0,74
75,odometry,0,75,1,76
75,odometry,1,76,0,75
76,odometry,0,76,1,77
76,odometry,1,77,0,76
77,odometry,0,77,1,78
77,odometry,1,78,0,77
78,odometry,0,78,1,79
78,odometry,1,79,0,78
79,odometry,0,79,1,80
79,odometry,1,80,0,79
80,odometry,0,80,1,81
80,odometry,1,81,0,80
81,odometry,0,81,1,82
81,odometry,1,82,0,81
82,odometry,0,82,1,83
82,odometry,1,83,0,82
83,odometry,0,83,1,84
83,odometry,1,84,0,83
84,odometry,0,84,1,85
84,odometry,1,85,0,84
85,odometry,0,85,1,86
85,odometry,1,86,0,85
86,odometry,0,86,1,87
86,odometry,1,87,0,86
87,odometry,0,87,1,88
87,odometry,1,88,0,87
88,odometry,0,88,1,89
88,odometry,1,89,0,88
89,odometry,0,89,1,90
89,odometry,1,90,0,89
90,odometry,0,90,1,91
90,odometry,1,91,0,90
91,odometry,0,91,1,92
91,odometry,1,92,0,91
92,odometry,0,92,1,93
92,odometry,1,93,0,92
93,odometry,0,93,1,94
93,odometry,1,94,0,93
94,odometry,0,94,1,95
94,odometry,1,95,0,94
95,odometry,0,95,1,96
95,odometry,1,96,0,95
96,odometry,0,96,1,97
96,odometry,1,97,0,96
97,odometry,0,97,1,98
97,odometry,1,98,0,97
98,odometry,0,98,1,99
98,odometry,1,99,0,98
99,odometry,0,99,1,100
99,odometry,1,100,0,99
100,odometry,0,100,1,101
100,odometry,1,101,0,100
101,odometry,0,101,1,102
101,odometry,1,102,0,101
102,odometry,0,102,1,103
102,odometry,1,103,0,102
103,odometry,0,103,1,104
103,odometry,1,104,0,103
104,odometry,0,104,1,105
104,odometry,1,105,0,104
105,odometry,0,105,1,106
105,odometry,1,106,0,105
106,odometry,0,106,1,107
106,odometry,1,107,0,106
107,odometry,0,107,1,108
107,odometry,1,108,0,107
108,odometry,0,108,1,109
108,odometry,1,109,0,108
109,odometry,0,109,1,110
109,odometry,1,110,0,109
110,odometry,0,110,1,111
110,odometry,1,111,0,110
111,odometry,0,111,1,112
111,odometry,1,112,0,111
112,odometry,0,112,1,113
112,odometry,1,113,0,112
113,odometry,0,113,1,114
