outer,start_objective,c,k,beta,post_objective,delta,improves
20,109.57278813537108,2,300,0.5,107.9379156604909,-1.6348724748801828,True
20,109.57278813537108,4,300,0.5,107.95060731608496,-1.622180819286129,True
20,109.57278813537108,4,200,0.5,107.96246056504823,-1.610327570322852,True
20,109.57278813537108,4,200,0.3,108.18040503728409,-1.3923830980869951,True
20,109.57278813537108,2,300,0.7,108.1879846851382,-1.38480345023288,True
20,109.57278813537108,5,200,0.5,108.2116703996407,-1.3611177357303887,True
20,109.57278813537108,4,300,0.3,108.21657953864006,-1.3562085967310225,True
20,109.57278813537108,2,300,0.3,108.22255998054446,-1.350228154826624,True
20,109.57278813537108,4,300,0.7,108.27575735761238,-1.2970307777587067,True
20,109.57278813537108,4,200,0.7,108.38764631349866,-1.1851418218724206,True
20,109.57278813537108,5,200,0.3,108.40088554881434,-1.1719025865567403,True
20,109.57278813537108,5,200,0.7,108.41565823309101,-1.1571299022800758,True
20,109.57278813537108,4,200,0.2,108.51029589748755,-1.0624922378835322,True
20,109.57278813537108,2,300,0.8,108.52516174496516,-1.0476263904059238,True
20,109.57278813537108,4,300,0.2,108.54940624881073,-1.0233818865603581,True
20,109.57278813537108,2,300,0.2,108.55399418838174,-1.0187939469893479,True
20,109.57278813537108,5,200,0.8,108.64481313849919,-0.927974996871896,True
20,109.57278813537108,5,200,0.2,108.6641765315795,-0.9086116037915843,True
20,109.57278813537108,4,300,0.8,108.68256540415194,-0.89022273121914,True
20,109.57278813537108,4,200,0.8,108.86226128154391,-0.7105268538271758,True
20,109.57278813537108,5,200,0.9,108.94842314568709,-0.6243649896839969,True
20,109.57278813537108,4,200,0.1,108.97697933626326,-0.5958087991078287,True
20,109.57278813537108,4,300,0.1,109.00420757383412,-0.5685805615369617,True
20,109.57278813537108,2,300,0.1,109.00553729374498,-0.5672508416261053,True
20,109.57278813537108,2,300,0.9,109.0100843105522,-0.5627038248188825,True
20,109.57278813537108,5,200,0.1,109.05174946713848,-0.521038668232606,True
20,109.57278813537108,5,200,0.95,109.12581865992347,-0.44696947544761656,True
20,109.57278813537108,4,200,0.05,109.25921609015647,-0.3135720452146131,True
20,109.57278813537108,4,300,0.9,109.2646190003416,-0.3081691350294875,True
20,109.57278813537108,4,300,0.05,109.27478003712051,-0.29800809825057684,True
20,109.57278813537108,2,300,0.05,109.27497203270924,-0.2978161026618409,True
20,109.57278813537108,5,200,0.05,109.29500178621562,-0.27778634915546263,True
20,109.57278813537108,2,300,0.95,109.3094513255584,-0.26333680981268515,True
20,109.57278813537108,5,200,1.0,109.31906317339153,-0.2537249619795574,True
20,109.57278813537108,4,200,0.9,109.52299303184714,-0.049795103523948114,True
20,109.57278813537108,4,300,0.95,109.62434326778309,0.05155513241200538,False
20,109.57278813537108,2,300,1.0,109.64756343883562,0.0747753034645342,False
20,109.57278813537108,3,300,0.05,109.64835827020126,0.07557013483017272,False
20,109.57278813537108,3,300,0.1,109.7282665013874,0.15547836601631104,False
20,109.57278813537108,3,300,0.2,109.90146728469198,0.32867914932089093,False
20,109.57278813537108,4,200,0.95,109.9258884757916,0.35310034042051086,False
20,109.57278813537108,4,300,1.0,110.03147978734317,0.4586916519720887,False
20,109.57278813537108,3,300,0.3,110.09314149063383,0.520353355262742,False
20,109.57278813537108,4,200,1.0,110.37861581526677,0.8058276798956854,False
20,109.57278813537108,3,300,0.5,110.53500178574392,0.9622136503728314,False
20,109.57278813537108,3,300,0.7,111.06020579871307,1.4874176633419864,False
20,109.57278813537108,3,300,0.8,111.35612533933525,1.783337203964166,False
20,109.57278813537108,3,300,0.9,111.67539221541662,2.1026040800455377,False
20,109.57278813537108,3,300,0.95,111.84405322740346,2.2712650920323796,False
20,109.57278813537108,3,300,1.0,112.01888005178795,2.4460919164168615,False
