c,k,beta,post_objective,delta,improves
2,100,0.05,107.9342760837199,-0.003639576771007569,True
2,200,0.05,107.93536308658761,-0.0025525739032872252,True
2,100,0.02,107.93539611314274,-0.0025195473481574027,True
2,200,0.1,107.93601175188354,-0.0019039086073604494,True
2,200,0.02,107.93651329945249,-0.0014023610384157337,True
2,300,0.02,107.93763200324813,-0.0002836572427753481,True
5,300,0.02,107.93928171813234,0.0013660576414338266,False
2,100,0.1,107.93940783443408,0.001492173943177022,False
2,150,0.02,107.94034544850858,0.002429788017678902,False
2,300,0.05,107.9403949538893,0.0024792933983945886,False
5,300,0.05,107.94592162380708,0.008005963316179532,False
3,300,0.02,107.94628121523823,0.008365554747328474,False
2,200,0.2,107.94709075762641,0.009175097135511123,False
4,300,0.02,107.95235927069315,0.014443610202249602,False
2,300,0.1,107.95352264297509,0.01560698248418646,False
3,200,0.02,107.95461756185077,0.016701901359866156,False
2,150,0.05,107.96019028215554,0.022274621664635674,False
5,200,0.02,107.96031512553583,0.02239946504492707,False
5,300,0.1,107.9688178731693,0.030902212678398655,False
2,200,0.3,107.97151382737461,0.033598166883706426,False
3,150,0.02,107.97353999872196,0.03562433823105948,False
2,100,0.2,107.97532061740247,0.03740495691157264,False
4,200,0.02,107.9809194595108,0.0430037990198997,False
4,150,0.02,107.98489791658605,0.0469822560951485,False
3,300,0.05,107.98972304706005,0.05180738656915196,False
2,300,0.2,108.01187566146933,0.07396000097843114,False
4,300,0.05,108.03530922917018,0.09739356867927995,False
2,150,0.1,108.0367382066675,0.09882254617659214,False
3,200,0.05,108.04018062016293,0.10226495967202709,False
2,100,0.3,108.04441525179165,0.10649959130074649,False
5,300,0.2,108.05623820110746,0.11832254061656045,False
2,200,0.5,108.061878651732,0.12396299124110044,False
5,200,0.05,108.07312002893663,0.13520436844572714,False
5,150,0.02,108.09884805026338,0.16093238977248348,False
2,300,0.3,108.11328073301561,0.17536507252471267,False
3,300,0.1,108.1439717469089,0.20605608641800188,False
3,150,0.05,108.15558588627654,0.2176702257856391,False
5,300,0.3,108.1942303190322,0.2563146585412994,False
