actual_outer,start_objective,c,k,ck_cost,beta,post_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
10,173695.06897408966,1,100,100,0.001,114173.46871743389,-59521.60025665577,114065.54965685986,True,4686721195520.869,631217311762.0146,44.793825005147745,1214874.1307053445,187.94243565966985,750.604388334418,750.6046169067513
10,173695.06897408966,3,300,900,0.02,120704.15456002008,-52990.914414069586,120596.23549944605,True,187066855507.539,17914091998.62432,9.009975257179866,1214874.1307053445,187.94243565966985,0.43385801291181186,0.4338582352423767
10,173695.06897408966,1,100,100,0.002,129279.8809388582,-44415.18803523146,129171.96187828417,True,4686721195520.869,631217311762.0146,44.793825005147745,1214874.1307053445,187.94243565966985,750.604388334418,750.6046169067513
10,173695.06897408966,10,300,3000,0.001,151495.4313621333,-22199.637611956365,151387.51230155927,True,443911898636.0867,245855567645.80133,34.468202879209144,1214874.1307053445,187.94243565966985,1.2114147686971959,1.211415269640716
10,173695.06897408966,10,300,3000,0.002,154613.73288473906,-19081.336089350603,154505.81382416503,True,443911898636.0867,245855567645.80133,34.468202879209144,1214874.1307053445,187.94243565966985,1.2114147686971959,1.211415269640716
10,173695.06897408966,8,300,2400,0.002,160378.18393363498,-13316.885040454683,160270.26487306095,True,6564479971.460327,96834536418.09192,18.053210079104343,1214874.1307053445,187.94243565966985,1.2098937306759372,1.2098943476177708
10,173695.06897408966,8,300,2400,0.001,162947.2738831221,-10747.795090967556,162839.35482254808,True,6564479971.460327,96834536418.09192,18.053210079104343,1214874.1307053445,187.94243565966985,1.2098937306759372,1.2098943476177708
10,173695.06897408966,3,300,900,0.01,168585.83306906707,-5109.235905022593,168477.91400849304,True,187066855507.539,17914091998.62432,9.009975257179866,1214874.1307053445,187.94243565966985,0.43385801291181186,0.4338582352423767
10,173695.06897408966,3,300,900,0.001,175858.12515780627,2163.0561837166024,175750.20609723224,False,187066855507.539,17914091998.62432,9.009975257179866,1214874.1307053445,187.94243565966985,0.43385801291181186,0.4338582352423767
10,173695.06897408966,3,300,900,0.002,177453.87477306047,3758.805798970803,177345.95571248644,False,187066855507.539,17914091998.62432,9.009975257179866,1214874.1307053445,187.94243565966985,0.43385801291181186,0.4338582352423767
10,173695.06897408966,3,300,900,0.005,178635.78391712788,4940.714943038212,178527.86485655385,False,187066855507.539,17914091998.62432,9.009975257179866,1214874.1307053445,187.94243565966985,0.43385801291181186,0.4338582352423767
10,173695.06897408966,2,300,600,0.001,180209.75965749388,6514.6906834042165,180101.84059691985,False,27371871970.09017,41290196989.38419,10.248094278121137,1214874.1307053445,187.94243565966985,0.16995502029524814,0.16995501942328275
10,173695.06897408966,5,300,1500,0.001,181565.58487896738,7870.515904877713,181457.66581839335,False,364190712839.8668,53219361827.894714,8.265697269117199,1214874.1307053445,187.94243565966985,3.2851532777059402,3.2851543602179873
10,173695.06897408966,3,200,600,0.001,183626.15329299637,9931.084318906709,183518.23423242234,False,175477363573.82455,65797605085.895515,10.95432707728203,1214874.1307053445,187.94243565966985,0.39338990446324307,0.39339001071493734
10,173695.06897408966,5,200,1000,0.001,184913.5281454706,11218.459171380935,184805.60908489657,False,795521241200.5466,73878714368.14958,9.030150572926726,1214874.1307053445,187.94243565966985,1.6689980790584367,1.6689987192499574
10,173695.06897408966,2,300,600,0.002,187668.70464792606,13973.635673836397,187560.78558735203,False,27371871970.09017,41290196989.38419,10.248094278121137,1214874.1307053445,187.94243565966985,0.16995502029524814,0.16995501942328275
10,173695.06897408966,5,300,1500,0.002,189252.77333016015,15557.704356070491,189144.85426958613,False,364190712839.8668,53219361827.894714,8.265697269117199,1214874.1307053445,187.94243565966985,3.2851532777059402,3.2851543602179873
10,173695.06897408966,3,200,600,0.002,193562.2168189115,19867.147844821826,193454.29775833746,False,175477363573.82455,65797605085.895515,10.95432707728203,1214874.1307053445,187.94243565966985,0.39338990446324307,0.39339001071493734
10,173695.06897408966,5,200,1000,0.002,196123.06084581706,22427.991871727398,196015.14178524303,False,795521241200.5466,73878714368.14958,9.030150572926726,1214874.1307053445,187.94243565966985,1.6689980790584367,1.6689987192499574
10,173695.06897408966,2,200,400,0.001,202321.50252388857,28626.43354979891,202213.58346331454,False,4898226578.087667,167257945788.49768,13.368296348041714,1214874.1307053445,187.94243565966985,0.33416323615931115,0.3341632549829735
10,173695.06897408966,8,300,2400,0.005,204462.67183861716,30767.602864527493,204354.75277804313,False,6564479971.460327,96834536418.09192,18.053210079104343,1214874.1307053445,187.94243565966985,1.2098937306759372,1.2098943476177708
10,173695.06897408966,5,300,1500,0.005,210270.66268481003,36575.593710720364,210162.743624236,False,364190712839.8668,53219361827.894714,8.265697269117199,1214874.1307053445,187.94243565966985,3.2851532777059402,3.2851543602179873
10,173695.06897408966,2,300,600,0.005,216663.67082741632,42968.60185332666,216555.7517668423,False,27371871970.09017,41290196989.38419,10.248094278121137,1214874.1307053445,187.94243565966985,0.16995502029524814,0.16995501942328275
10,173695.06897408966,3,200,600,0.005,222106.06048534697,48410.99151125731,221998.14142477294,False,175477363573.82455,65797605085.895515,10.95432707728203,1214874.1307053445,187.94243565966985,0.39338990446324307,0.39339001071493734
10,173695.06897408966,3,200,600,0.05,223146.4788409922,49451.40986690254,223038.55978041817,False,175477363573.82455,65797605085.895515,10.95432707728203,1214874.1307053445,187.94243565966985,0.39338990446324307,0.39339001071493734
