actual_outer,start_objective,selected_objective,gap_to_direct,selected_c,selected_k,selected_beta,regime,accepted
1,3350168.410825497,2914639.230668818,2914531.311608244,2,100,0.1,large,True
2,2914639.230668818,2153368.7429367234,2153260.8238761495,2,100,0.2,large,True
3,2153368.7429367234,960463.4784003712,960355.5593397971,2,100,0.3,large,True
4,960463.4784003712,641478.3585488893,641370.4394883153,1,100,0.7,mid,True
5,641478.3585488893,191318.41148944857,191210.49242887454,1,100,0.5,mid,True
6,191318.41148944857,135942.67703569724,135834.7579751232,1,100,0.1,mid,True
7,135942.67703569724,45427.35079678283,45319.43173620879,1,100,1.0,mid,True
8,45427.35079678283,16529.260904754137,16421.3418441801,1,100,0.3,mid,True
9,16529.260904754137,14653.187951984966,14545.26889141093,1,100,0.3,mid,True
10,14653.187951984966,7684.47678428368,7576.557723709644,1,100,0.05,mid,True
11,7684.47678428368,655.145216428347,547.226155854311,1,100,1.0,mid,True
12,655.145216428347,579.8162514908582,471.8971909168222,3,50,0.05,low,True
13,579.8162514908582,555.2967824257535,447.3777218517174,3,50,0.02,low,True
14,555.2967824257535,542.4824999870311,434.5634394129951,2,100,0.02,low,True
15,542.4824999870311,277.2841260294419,169.36506545540587,3,50,0.5,low,True
16,277.2841260294419,269.4045163358555,161.48545576181945,2,100,0.1,low,True
17,269.4045163358555,124.63466485902428,16.71560428498826,2,300,1.0,low,True
18,124.63466485902428,123.5694503377584,15.650389763722373,3,50,0.05,low,True
19,123.5694503377584,122.11347143123686,14.194410857200836,3,50,0.005,low,True
20,122.11347143123686,122.10661723572673,14.187556661690707,2,300,0.002,low,True
