cycle,k_used,cycle_start_residual,pre_coarse_residual,post_coarse_residual,pre_residual_ratio,post_residual_ratio,post_cycle_objective,objective_ratio_to_start,objective_delta_to_start,delta_e_norm,e_post_norm,e_rel_to_exact,num_groups,coarse_dim,outer_sample,ratio_target
1,117,100784314.56315675,7596753.015593426,7596052.0439709965,0.07537634252434094,0.07536938735849526,670.1982838270729,0.5877020121000285,-470.1726354969252,1.9517761972585723,9.639621849523783,2.9145818786394626,61,244,50,0.5
1,300,7276196.130319717,79921585.6376153,79921600.93397085,10.983979019557232,10.983981121803417,736.5391470412083,6.501056279106958,623.2438431060167,2.6274045329934954,1.6234917321707323,6.674681580525491,61,244,75,0.5
2,47,79921600.93397085,12834218.362623867,12834098.376327842,0.1605851010570617,0.16058359975710498,283.1947354034274,2.4996158319626702,169.89943146823583,3.601944747386136,1.6292882095968542,6.479579124876317,61,244,75,0.5
3,47,12834098.376327842,5118304.055825483,5118049.630886299,0.39880511320265866,0.3987852890645132,370.4147438689528,3.2694624666953684,257.11943993376127,5.100577736159648,1.4758104362989857,5.996408130177324,61,244,75,0.5
4,236,5118049.630886299,780170.2913071868,780175.338977316,0.15243507733864703,0.15243606358741232,108.20852180234995,0.9551015624111712,-5.086782132841591,7.301775539396145,1.4186660134414144,5.564622383565083,61,244,75,0.5
1,300,522540.51391722925,208475768.94369495,208475794.38347775,398.9657517287122,398.9658004135167,4136.944105033943,38.323920744943166,4028.997318154633,4.377644347542091,1.1179401783632024,59.639565483434296,61,244,100,0.5
2,19,208475794.38347775,21533958.696213897,21520166.88988699,0.1032923690728506,0.10322621364042885,73674.40207662994,682.5066702448656,73566.45528975062,6.849948801419315,0.9163522862029895,49.02694912202377,61,244,100,0.5
3,114,21520166.88988699,2471892.752761286,2471902.863470061,0.11486401408545335,0.11486448391028449,109.84432550149809,1.0175784632136364,1.8975386221882076,10.141950225310197,0.5594962316692862,29.489055441639703,61,244,100,0.5
4,176,2471902.863470061,1227935.2939189782,1227943.9497603397,0.4967570983736799,0.49676060006522665,109.31723780449957,1.012695615727052,1.3704509251896866,14.921637471541478,0.4702002665586566,25.89641813808631,61,244,100,0.5
5,158,1227943.9497603397,57709.03722191181,57408.720423983235,0.046996475069709,0.04675190625369164,110.8817686453918,1.027189153572152,2.9349817660819184,21.85689840918303,0.9520179109081857,50.11472267883979,61,244,100,0.5
6,300,57408.720423983235,21703173.089074455,21703178.581571918,378.0466265192644,378.0467221928384,159.69905123689395,1.4794238518228966,51.75226435758407,31.153939574846273,1.0831912628551643,58.59654775561162,61,244,100,0.5
7,178,21703178.581571918,738256.5631020569,738128.9165104402,0.034016057156204184,0.03401017568630166,122.61090716117158,1.1358458246492964,14.664120281861699,45.16486288709516,2.043253408667097,108.35872989770299,61,244,100,0.5
8,300,738128.9165104402,46469389.66330051,46469353.448009156,62.955655338620296,62.955606274980404,279.8582520043979,2.5925575007368584,171.91146512508803,64.25709583413287,2.270119312258897,121.90915369969584,61,244,100,0.5
9,185,46469353.448009156,8890147.165161252,8890210.944538943,0.19131204773717644,0.19131342024126696,174.38946784188244,1.6155132809729569,66.44268096257255,92.86950459614184,4.171632542298035,221.96601274647824,61,244,100,0.5
10,192,8890210.944538943,3646248.5669418755,3646189.4272999624,0.4101419628497886,0.4101353106294665,273.1541984096146,2.530452330322858,165.2074115303047,134.64438326729467,4.497163096138845,240.7989660359422,61,244,100,0.5
1,300,13.880050685144765,83610462.34063603,83610472.2887104,6023786.529116986,6023787.245834424,756.7045240474157,7.011778271803615,648.7854634732468,0.7806253341021627,0.8254833690526706,92735.65955742144,61,244,200,0.5
2,22,83610472.2887104,22039112.489834305,22039140.496202756,0.26359272811822354,0.26359306308067126,2765.901266835596,25.62940459377601,2657.982206261427,1.2826364366639664,0.7248376061073467,81429.1847758585,61,244,200,0.5
3,56,22039140.496202756,6797641.773524507,6797635.846856811,0.30843497615960613,0.30843470724405125,115.04608630074009,1.0660404722636834,7.127025726571176,2.0046746372513278,0.4594556797504297,51616.17916196068,61,244,200,0.5
4,270,6797635.846856811,3136285.4357244684,3136286.7050402295,0.46137885382234317,0.46137904055134565,108.93485564988157,1.0094125641041374,1.01579507571266,2.8985009319240462,0.5167753738840093,58055.37346595031,61,244,200,0.5
5,164,3136286.7050402295,395851.29955445917,395847.0084713007,0.12621655377306507,0.12621518556806277,108.02013492405014,1.0009365755163497,0.10107434988123032,4.260594462825167,0.2487064875535187,27940.621674031518,61,244,200,0.5
6,300,395847.0084713007,6227028.808962789,6227030.591979693,15.730897734987568,15.73090223929571,111.88596635338634,1.0367581570680104,3.966905779217427,6.065170852035281,0.4453862723400321,50035.33356250602,61,244,200,0.5
7,245,6227030.591979693,2195829.6582729314,2195832.14610086,0.3526286928959562,0.3526290924167056,108.59318471573492,1.0062465716248772,0.6741241415660113,8.718767851949323,0.2864303853382007,32178.1017662112,61,244,200,0.5
8,300,2195832.14610086,15849344.194817515,15849350.098808447,7.217921562429624,7.217924251155601,133.17253213783195,1.2340038120171295,25.25347156366304,12.377626860249038,0.5541568018668942,62254.274766664814,61,244,200,0.5
9,300,15849350.098808447,25980685.77011562,25980691.97259381,1.6392271991057128,1.639227590445304,168.6285626020405,1.5625466132198964,60.70950202787158,17.557055716442576,0.623124807367683,70002.1446269734,61,244,200,0.5
10,300,25980691.97259381,82869288.3134961,82869297.70342304,3.189649005535042,3.189649366954474,770.12380769126,7.136124087755392,662.2047471170911,24.853874941356803,0.969144949361635,108873.82548868218,61,244,200,0.5
