cycle,k_used,cycle_start_residual,pre_coarse_residual,post_coarse_residual,pre_residual_ratio,post_residual_ratio,post_cycle_objective,objective_ratio_to_start,objective_delta_to_start,delta_e_norm,e_post_norm,e_rel_to_exact,num_groups,coarse_dim,outer_sample,ratio_target
1,69,788542105.9955592,527054802.8285476,527006657.72494966,0.6683914515422411,0.6683303956985115,952780660.9659885,14914.523165338738,952716778.222276,57.85937635539915,127.63895147353422,3.668863487198605,61,244,30,0.8
2,300,527006657.72494966,1252470431.755232,1252470548.447001,2.376574210963592,2.3765744323873013,18608.11271161112,0.29128543375259097,-45274.63100092305,23.65613107043418,52.74285621589482,1.3338748401299352,61,244,30,0.8
1,23,285530671.9100688,161737860.9045205,161497020.3491631,0.5664465390795624,0.5656030550722356,631783035.2585592,75101.18263672611,631774622.8339732,120.85655469414677,125.0084705980102,12.51261806813344,61,244,40,0.8
2,300,161497020.3491631,7104643920.703319,7104644935.681839,43.99241487764165,43.99242116245433,4682628.0676431805,556.6323976774842,4674215.643057078,49.71971336757796,129.93868561658846,12.988888811680619,61,244,40,0.8
3,21,7104644935.681839,3808353312.446866,3808357789.0607443,0.536037106276779,0.5360377363735565,70748507.70059714,8410.002012674944,70740095.27601103,70.20582787627242,122.91982884091223,12.271768934162269,61,244,40,0.8
4,27,3808357789.0607443,206814472.34424287,206442390.02055454,0.05430542081374386,0.05420771929925981,9226193.19972921,1096.7341347667132,9217780.775143107,81.08450426430443,103.84201214444207,10.435249516760829,61,244,40,0.8
5,300,206442390.02055454,856292760.0887433,856292846.5751873,4.147853355134505,4.147853774071934,18781.44260836448,2.2325837713174983,10369.018022262107,109.55880534054197,100.80406493343162,10.089171581139336,61,244,40,0.8
6,300,856292846.5751873,1533544728.157213,1533544869.8436136,1.790911525526284,1.7909116909911729,862220.1784267105,102.49365918252977,853807.7538406082,131.3388192032774,77.33654976152039,7.850312941482353,61,244,40,0.8
7,260,1533544869.8436136,1218304844.77559,1218304997.5738738,0.7944370384805428,0.7944371381178517,12555.039761744483,1.4924400965787985,4142.615175642111,175.99254023789487,81.70761326670123,8.191671019394988,61,244,40,0.8
8,300,1218304997.5738738,2117578910.4102175,2117579109.0964177,1.7381352901179534,1.7381354532020747,1172522.0828144227,139.37980314872257,1164109.6582283203,224.8465511770209,57.768274299531,5.969599920697723,61,244,40,0.8
9,290,2117579109.0964177,1676280621.675957,1676280846.8160465,0.7916023606746078,0.7916024669941727,172771.98654104368,20.537715942971925,164359.5619549413,304.28028683557324,68.63901681406679,6.837417167666991,61,244,40,0.8
10,300,1676280846.8160465,1977983758.1049078,1977984050.8324015,1.1799835104373593,1.1799836850665057,1174840.7658380792,139.65542915878953,1166428.3412519768,405.3526949014329,43.728074709383655,4.689785724469,61,244,40,0.8
1,113,100784314.56315675,69486175.14586373,69485744.52177835,0.6894542612811048,0.6894499885518884,1962.5694101639958,1.7209921586981451,822.1984908399977,1.8860761441081704,9.543567085037584,2.8936788907467026,61,244,50,0.8
2,13,69485744.52177835,8013968.554815366,7888533.946978009,0.11533255648291448,0.11352737171155403,191648.57907510689,168.05810796079794,190508.2081557829,3.4015476945064087,7.035831639858309,2.073403559846035,61,244,50,0.8
3,93,7888533.946978009,2839493.74329044,2839471.9445623583,0.3599520218047882,0.35994925846140546,206.21282814519196,0.1808296096040691,-934.1580911788062,4.347444910006454,6.175637653158235,1.7250806836282484,61,244,50,0.8
1,300,7276196.130319717,79921585.6376153,79921600.93397085,10.983979019557232,10.983981121803417,736.5391470412083,6.501056279106958,623.2438431060167,2.6274045329934954,1.6234917321707323,6.674681580525491,61,244,75,0.8
2,47,79921600.93397085,12834218.362623867,12834098.376327842,0.1605851010570617,0.16058359975710498,283.1947354034274,2.4996158319626702,169.89943146823583,3.601944747386136,1.6292882095968542,6.479579124876317,61,244,75,0.8
3,47,12834098.376327842,5118304.055825483,5118049.630886299,0.39880511320265866,0.3987852890645132,370.4147438689528,3.2694624666953684,257.11943993376127,5.100577736159648,1.4758104362989857,5.996408130177324,61,244,75,0.8
4,223,5118049.630886299,3876901.9113981747,3876907.828729705,0.7574959586171124,0.7574971147863481,109.36969618773854,0.9653506578728226,-3.9256077474530002,7.316692968527703,1.4100160918264653,5.531622469700435,61,244,75,0.8
1,300,522540.51391722925,208475768.94369495,208475794.38347775,398.9657517287122,398.9658004135167,4136.944105033943,38.323920744943166,4028.997318154633,4.377644347542091,1.1179401783632024,59.639565483434296,61,244,100,0.8
