cycle,k_used,cycle_start_residual,pre_coarse_residual,post_coarse_residual,pre_residual_ratio,post_residual_ratio,post_cycle_objective,objective_ratio_to_start,objective_delta_to_start,delta_e_norm,e_post_norm,e_rel_to_exact,num_groups,coarse_dim,outer_sample,ratio_target
1,300,1540574.2553971887,3570919863.983429,3570920260.988589,2317.9147979873123,2317.915055686776,2109409834.5009322,629.6429241242722,2106059666.0901067,200.04281382743653,472.14171888559264,0.7408579608774063,61,244,0,1.0
2,78,3570920260.988589,3186264468.118782,3186264283.5195894,0.8922810466892596,0.892280994994128,1491571931.9940348,445.2229706346328,1488221763.5832093,288.84244806349824,475.08235215600826,0.6873934180938562,61,244,0,1.0
3,84,3186264283.5195894,1876751135.6723828,1876751016.8341415,0.5890130160826769,0.5890129787856322,899565055.1116635,268.51338344808954,896214886.700838,327.49287849081605,486.39960285755063,0.5971946306555154,61,244,0,1.0
4,84,1876751016.8341415,1789908589.2953107,1789908312.5408127,0.953727251638673,0.9537271041739878,566479446.7158958,169.0898418376265,563129278.3050703,456.3163808888819,493.7673751447622,0.5564905671036207,61,244,0,1.0
5,92,1789908312.5408127,1671259044.9600499,1671258872.480323,0.9337120975697701,0.9337120012074449,446006977.34376,133.1297184650672,442656808.9329345,566.0157090146804,504.16163574887565,0.49040679618442307,61,244,0,1.0
6,92,1671258872.480323,1077034442.0202243,1077034045.2891629,0.6444450107372011,0.6444447733526355,104810948.50149794,31.285277528980114,101460780.09067245,775.6457619674127,522.5791340989185,0.44524519007463575,61,244,0,1.0
7,96,1077034045.2891629,594742638.8902404,594742171.5513064,0.5522041215796141,0.5522036876667437,284474440.3681138,84.91347463276271,281124271.9572883,1008.5808305085675,521.1622750069836,0.41145375514215915,61,244,0,1.0
8,98,594742171.5513064,59578521.6956523,59575940.56697868,0.1001753777443587,0.10017103783238157,44000256.90240785,13.133744787345178,40650088.49158235,1371.5077802885985,560.1459541658012,0.34761534965871116,61,244,0,1.0
9,300,59575940.56697868,4617727234.197745,4617727050.668666,77.50993421591443,77.50993113532388,213545396.9714625,63.74169020322292,210195228.560637,1743.9575029397847,540.8012310451373,0.2938190424007161,61,244,0,1.0
10,84,4617727050.668666,922196291.1405456,922188199.9106169,0.19970783916451013,0.1997060869539875,1132419090.2778115,338.01855650557525,1129068921.866986,2362.2392748602306,630.7038549165045,0.19701184876814534,61,244,0,1.0
1,102,3701928853.296478,1030456415.5904069,1030434341.9012129,0.2783566233783263,0.2783506606248351,95925913.60790022,57.00367220689911,94243111.25685641,91.96420697703682,258.31906354397364,0.49911686900365715,61,244,10,1.0
2,300,1030434341.9012129,4092454207.917054,4092454721.019094,3.971581731608665,3.971582229556005,32433733.19781332,19.273643858231715,30750930.846769515,111.99244168700609,231.90160760625722,0.15836238949864545,61,244,10,1.0
3,25,4092454721.019094,3566544509.725918,3566564665.488853,0.8714927232811961,0.8714976483846631,194615512.99237603,115.64965598702686,192932710.64133224,184.95690464486856,240.16545835718256,0.06305820444585829,61,244,10,1.0
4,20,3566564665.488853,1185012806.4597557,1178950412.8470554,0.332256083263061,0.3305562981248966,325294122.62775993,193.30500841408215,323611320.2767161,297.5681600132417,236.8539012284612,0.2160793800808209,61,244,10,1.0
5,56,1178950412.8470554,137991605.78319752,137985827.29477483,0.11704614908269183,0.11704124769891883,159154367.2547014,94.57698175664035,157471564.90365762,462.66761319457413,256.5707455572654,0.08249479229663897,61,244,10,1.0
6,105,137985827.29477483,37982262.48475266,37979995.07217785,0.2752620557444087,0.2752456235309034,3809040.3924827236,2.2635102631750312,2126238.0414389186,686.3444272882729,221.59605521154919,0.14071992385263088,61,244,10,1.0
7,174,37979995.07217785,29440322.574467916,29439770.38798637,0.775153406905899,0.7751388680287744,301776621.6150844,179.3298074654454,300093819.2640406,998.2831736302041,264.29496277513914,0.1139876227836242,61,244,10,1.0
8,176,29439770.38798637,3526157.0252222857,3516489.337348812,0.11977528964224604,0.11944690094403056,12916272.071057776,7.675454020518869,11233469.72001397,1441.0235550434659,201.4109956367339,0.22611858537663998,61,244,10,1.0
9,300,3516489.337348812,975749410.0632391,975748951.4291472,277.47827917456056,277.47814875070657,760386365.6695062,451.85720426279147,758703563.3184624,2025.2341219649043,289.70482496767113,0.26442648351294723,61,244,10,1.0
10,115,975748951.4291472,508130251.0931852,508125494.4043935,0.5207592079386235,0.520754333028141,160545513.61694458,95.40366610336727,158862711.2659008,2959.042345594865,192.0302556094672,0.619505321374749,61,244,10,1.0
1,113,100784314.56315675,69486175.14586373,69485744.52177835,0.6894542612811048,0.6894499885518884,1962.5694101639958,1.7209921586981451,822.1984908399977,1.8860761441081704,9.543567085037584,2.8936788907467026,61,244,50,1.0
2,13,69485744.52177835,8013968.554815366,7888533.946978009,0.11533255648291448,0.11352737171155403,191648.57907510689,168.05810796079794,190508.2081557829,3.4015476945064087,7.035831639858309,2.073403559846035,61,244,50,1.0
3,91,7888533.946978009,6701458.799435705,6701450.235799474,0.8495189149820346,0.8495178294018382,229.78907487432414,0.2015038010707438,-910.581844449674,4.3463549644848065,6.176505615616384,1.7249686200642733,61,244,50,1.0
1,300,522540.51391722925,208475768.94369495,208475794.38347775,398.9657517287122,398.9658004135167,4136.944105033943,38.323920744943166,4028.997318154633,4.377644347542091,1.1179401783632024,59.639565483434296,61,244,100,1.0
2,19,208475794.38347775,21533958.696213897,21520166.88988699,0.1032923690728506,0.10322621364042885,73674.40207662994,682.5066702448656,73566.45528975062,6.849948801419315,0.9163522862029895,49.02694912202377,61,244,100,1.0
3,42,21520166.88988699,17754849.170145057,17754488.387609456,0.8250330613601619,0.8250162965024613,2691.163348678696,24.93046274445905,2583.216561799386,10.532456417194881,0.8652526466157302,46.06022464990826,61,244,100,1.0
4,176,17754488.387609456,13909034.666115046,13909049.840270659,0.7834094884886639,0.7834103431545535,127.78916473037306,1.1838162897173399,19.842377851063176,15.729552249075978,0.46533949296955923,25.651029903446343,61,244,100,1.0
5,156,13909049.840270659,5491349.799742308,5491362.9947803905,0.39480409250122084,0.3948050411668906,112.52329163303573,1.0423959330891674,4.5765047537258425,23.05850726478933,1.0809336657951765,57.02087967600391,61,244,100,1.0
6,189,5491362.9947803905,5409537.608386685,5409560.460838038,0.9850992574208841,0.9851034189471526,118.19615979956144,1.0949483835189175,10.24937292025156,33.59618002467689,1.1008639702034477,59.543655065245964,61,244,100,1.0
7,186,5409560.460838038,1679177.0743539694,1679174.1950076788,0.31040915181745377,0.310408619547538,121.55589518553539,1.126072379731332,13.609108306225508,48.83821559651971,1.9830108195661678,105.1005351146608,61,244,100,1.0
