cycle,sweep,cycle_start_residual,current_residual,residual_ratio,outer_sample,ratio_target
1,1,7276196.130319717,17004332686.542883,2336.981079397555,75,1.0
1,2,7276196.130319717,17868861118.26879,2455.797067345356,75,1.0
1,3,7276196.130319717,18607264083.078773,2557.2790713464683,75,1.0
1,4,7276196.130319717,11544795290.315517,1586.6525700439354,75,1.0
1,5,7276196.130319717,242332464891.36755,33304.82858778017,75,1.0
1,6,7276196.130319717,17915717344475.824,2462236.7269377885,75,1.0
1,7,7276196.130319717,2709721411939.6997,372409.0669640366,75,1.0
1,8,7276196.130319717,41439236090.20399,5695.178544944354,75,1.0
1,9,7276196.130319717,71128555466.81407,9775.513770227173,75,1.0
1,10,7276196.130319717,40899913113.281,5621.056989221626,75,1.0
1,11,7276196.130319717,27857453882.46756,3828.573801960379,75,1.0
1,12,7276196.130319717,58939221724.3639,8100.279413685087,75,1.0
1,13,7276196.130319717,49547187391.59984,6809.490357899785,75,1.0
1,14,7276196.130319717,43045496492.34023,5915.934056940931,75,1.0
1,15,7276196.130319717,34542019233.4103,4747.2633522720225,75,1.0
1,16,7276196.130319717,49837434508.29863,6849.380310218324,75,1.0
1,17,7276196.130319717,82598421283.12592,11351.868449359203,75,1.0
1,18,7276196.130319717,90370138944.52565,12419.970177543135,75,1.0
1,19,7276196.130319717,128667264586.5733,17683.314506933122,75,1.0
1,20,7276196.130319717,15448499260.685242,2123.155971059075,75,1.0
1,21,7276196.130319717,34208986849.07933,4701.493230306339,75,1.0
1,22,7276196.130319717,32806373345.794186,4508.725817476373,75,1.0
1,23,7276196.130319717,5154999993.086422,708.474579403608,75,1.0
1,24,7276196.130319717,61100694463.15948,8397.340226791646,75,1.0
1,25,7276196.130319717,33983952683.34632,4670.565783917793,75,1.0
1,26,7276196.130319717,78406302272.84406,10775.726886487715,75,1.0
1,27,7276196.130319717,75402477577.01683,10362.897896995477,75,1.0
1,28,7276196.130319717,22589990766.71984,3104.6429153535246,75,1.0
1,29,7276196.130319717,25970200065.422764,3569.2001150444016,75,1.0
1,30,7276196.130319717,20385399979.180077,2801.6561970113275,75,1.0
1,31,7276196.130319717,193131794993.68054,26542.961670440058,75,1.0
1,32,7276196.130319717,352052721745.42883,48384.17154238524,75,1.0
1,33,7276196.130319717,213125628158.20486,29290.803098354645,75,1.0
1,34,7276196.130319717,64843550716.8128,8911.737610619295,75,1.0
1,35,7276196.130319717,229952316981.8976,31603.369791489316,75,1.0
1,36,7276196.130319717,87723299825.15927,12056.203303759034,75,1.0
1,37,7276196.130319717,122650958191.35037,16856.466757440343,75,1.0
1,38,7276196.130319717,154319603936.62665,21208.829609963497,75,1.0
1,39,7276196.130319717,30257532518.88678,4158.427284938683,75,1.0
1,40,7276196.130319717,182803963464.11072,25123.56184330593,75,1.0
1,41,7276196.130319717,118181569678.94164,16242.218813547666,75,1.0
1,42,7276196.130319717,21378818569.864113,2938.1861328310188,75,1.0
1,43,7276196.130319717,22404306158.625675,3079.1234537050923,75,1.0
1,44,7276196.130319717,54552055808.442474,7497.331686968346,75,1.0
1,45,7276196.130319717,56752347925.31822,7799.727619879937,75,1.0
1,46,7276196.130319717,39714845203.0857,5458.187834931357,75,1.0
1,47,7276196.130319717,31139579029.746902,4279.650860425421,75,1.0
1,48,7276196.130319717,40257673261.8924,5532.79110964859,75,1.0
1,49,7276196.130319717,27321901730.648533,3754.9704875049874,75,1.0
1,50,7276196.130319717,14454906866.167273,1986.602148605376,75,1.0
1,51,7276196.130319717,1221268119.7103832,167.8443101088756,75,1.0
1,52,7276196.130319717,1043381779.1676086,143.39659905810734,75,1.0
1,53,7276196.130319717,380858843.84870225,52.34312503777537,75,1.0
1,54,7276196.130319717,9892392362.390175,1359.5554854780285,75,1.0
1,55,7276196.130319717,18286660836.595707,2513.2171410822302,75,1.0
1,56,7276196.130319717,24009730600.89469,3299.7640760186187,75,1.0
1,57,7276196.130319717,12946300354.712252,1779.267645186935,75,1.0
1,58,7276196.130319717,32240665298.714207,4430.9780441965,75,1.0
1,59,7276196.130319717,38745576244.05441,5324.976890411546,75,1.0
1,60,7276196.130319717,35746133476.54038,4912.750128818984,75,1.0
1,61,7276196.130319717,18254064987.087086,2508.737348492144,75,1.0
1,62,7276196.130319717,9862967002.244825,1355.5114273440352,75,1.0
1,63,7276196.130319717,12396337133.92516,1703.6837534202728,75,1.0
1,64,7276196.130319717,6794629516.618876,933.8161581854336,75,1.0
1,65,7276196.130319717,6181859248.47939,849.600414524252,75,1.0
1,66,7276196.130319717,13538093466.942017,1860.6004050013355,75,1.0
1,67,7276196.130319717,5363723956.1497345,737.160442088585,75,1.0
1,68,7276196.130319717,7872956915.154359,1082.0154891575771,75,1.0
1,69,7276196.130319717,6630199317.045486,911.217784443388,75,1.0
1,70,7276196.130319717,7102885732.408838,976.181181099737,75,1.0
1,71,7276196.130319717,4909399414.155695,674.7205993662482,75,1.0
1,72,7276196.130319717,3681006786.3409057,505.89713641750905,75,1.0
1,73,7276196.130319717,6443649289.526436,885.5793843538548,75,1.0
1,74,7276196.130319717,10056890333.987078,1382.1631734307273,75,1.0
1,75,7276196.130319717,4944902710.192056,679.5999752654792,75,1.0
1,76,7276196.130319717,5630823147.922936,773.869072118527,75,1.0
1,77,7276196.130319717,4714341525.531322,647.9129260805361,75,1.0
1,78,7276196.130319717,5488123237.543357,754.2571886805652,75,1.0
1,79,7276196.130319717,3418676451.556364,469.8439116162399,75,1.0
1,80,7276196.130319717,3257145606.4807477,447.6440090596662,75,1.0
1,81,7276196.130319717,2826612265.7522116,388.4738969547279,75,1.0
1,82,7276196.130319717,4309810460.902267,592.3164224426828,75,1.0
1,83,7276196.130319717,3043100438.622725,418.22682953009,75,1.0
1,84,7276196.130319717,3912171025.425591,537.6670660544288,75,1.0
1,85,7276196.130319717,1587197285.7322383,218.13558311305397,75,1.0
1,86,7276196.130319717,2101967296.2484086,288.8827154465458,75,1.0
1,87,7276196.130319717,1235537882.1341372,169.80546703320482,75,1.0
1,88,7276196.130319717,2348414597.3250837,322.75306427479353,75,1.0
1,89,7276196.130319717,1056327740.8094711,145.17582015248067,75,1.0
