base_label,c,k,cycle,cycle_start_linear_residual,pre_linear_residual,post_linear_residual,pre_residual_ratio_vs_cycle_start,post_residual_ratio_vs_cycle_start,cycle_start_objective,pre_objective,post_objective,delta_z_norm,delta_e_norm,e_post_norm,e_rel_to_exact
fixed_path_completed_outer19,1,20,1,3951577.9128119433,130805295289.71628,130787093123.51984,33102.041304972074,33097.43500171852,109.57278813537108,13658873828.83469,36915134507.469955,745.3442208587242,745.3442208587243,743.683077571462,229.152800567776
fixed_path_completed_outer19,1,50,1,3951577.9128119433,26875779324.49626,26875778396.374516,6801.277848364997,6801.277613491292,109.57278813537108,72258799.56958628,72058390.84775712,3.7566407553623793,3.7566407553623793,3.171336431694074,1.1655299419401182
fixed_path_completed_outer19,1,100,1,3951577.9128119433,744554252.6977886,744554228.2003053,188.41947928794949,188.41947308853148,109.57278813537108,51446.72809024311,51554.31291426347,2.8170302664416993,2.8170302664416993,1.4051637117131575,0.7970837883277946
fixed_path_completed_outer19,1,200,1,3951577.9128119433,204457601.68065655,204457628.48620704,51.74074918724416,51.74075597074966,109.57278813537108,4010.9642348331113,3990.868006916707,2.6743037895828663,2.6743037895828663,1.264797496435104,0.7515444131695126
fixed_path_completed_outer19,1,300,1,3951577.9128119433,118251017.86239398,118251033.77478981,29.925012354937103,29.925016381783134,109.57278813537108,1410.0284097023668,1404.3953860991433,2.648434720363375,2.6484347203633747,1.1691593099970645,0.727765000825321
fixed_path_completed_outer19,2,20,1,3951577.9128119433,130805295289.71628,130787093123.51984,33102.041304972074,33097.43500171852,109.57278813537108,13658873828.83469,36915134507.469955,745.3442208587242,745.3442208587243,743.683077571462,229.152800567776
fixed_path_completed_outer19,2,20,2,130787093123.51984,1670246855850.7783,1670248296215.0386,12.770731545148264,12.770742558194168,36915134507.469955,4196501177190.0303,3168665827058.7734,805.0964853500956,805.0964853500957,877.1326577574704,270.38194500821425
fixed_path_completed_outer19,2,50,1,3951577.9128119433,26875779324.49626,26875778396.374516,6801.277848364997,6801.277613491292,109.57278813537108,72258799.56958628,72058390.84775712,3.7566407553623793,3.7566407553623793,3.171336431694074,1.1655299419401182
fixed_path_completed_outer19,2,50,2,26875778396.374516,586103740.242634,586103929.2269136,0.02180787963044442,0.02180788666221395,72058390.84775712,32773.57973839525,32349.578528656097,5.005587448448688,5.005587448448689,2.4796219823288257,0.6205512307521693
fixed_path_completed_outer19,2,100,1,3951577.9128119433,744554252.6977886,744554228.2003053,188.41947928794949,188.41947308853148,109.57278813537108,51446.72809024311,51554.31291426347,2.8170302664416993,2.8170302664416993,1.4051637117131575,0.7970837883277946
fixed_path_completed_outer19,2,100,2,744554228.2003053,59380382.32182708,59380387.86054465,0.07975293144914106,0.07975293888811241,51554.31291426347,473.608141441189,445.02810903111896,3.690532547713412,3.690532547713412,1.1360260940945097,0.7186695642624904
fixed_path_completed_outer19,2,200,1,3951577.9128119433,204457601.68065655,204457628.48620704,51.74074918724416,51.74075597074966,109.57278813537108,4010.9642348331113,3990.868006916707,2.6743037895828663,2.6743037895828663,1.264797496435104,0.7515444131695126
fixed_path_completed_outer19,2,200,2,204457628.48620704,20056291.94267358,20056293.17972275,0.09809510210584586,0.09809510815623967,3990.868006916707,152.31511954561378,147.35916881462165,3.516457176640641,3.516457176640642,1.0510249532728726,0.6962028105372802
fixed_path_completed_outer19,2,300,1,3951577.9128119433,118251017.86239398,118251033.77478981,29.925012354937103,29.925016381783134,109.57278813537108,1410.0284097023668,1404.3953860991433,2.648434720363375,2.6484347203633747,1.1691593099970645,0.727765000825321
