base_label,start_objective,start_x_rel_to_direct,exact_after_objective,exact_after_x_rel_to_direct,c,k,ck_cost,beta,post_objective,objective_improvement,x_rel_to_direct,x_rel_improvement,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,1.0,1427296706206.2122,-1427293356037.8013,2.040491665301742,-0.8092208420105418,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,0.8,914458673746.4846,-914455323578.0739,1.83425589278734,-0.6029850694961398,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,0.5,357314287931.5113,-357310937763.10046,1.536037313964665,-0.30476649067346484,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,0.3,128600380307.64821,-128597030139.23738,1.3564875572310489,-0.12521673393984867,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,0.2,63330779377.887405,-63327429209.47658,1.2876381927655576,-0.05636736947435739,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,0.1,15824292846.666126,-15820942678.2553,1.242782014611592,-0.0115111913203918,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,0.05,3966306472.590151,-3962956304.179325,1.232489443419574,-0.0012186201283737041,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,0.02,634781410.2211642,-631431241.8103387,1.2305607716177756,0.0007100516734246387,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,0.01,160985165.4713179,-157634997.0604924,1.2307119661950912,0.0005588570961090333,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,0.005,42720819.20943059,-39370650.79860509,1.2309407242311246,0.00033009906007563927,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,0.002,9640190.011371253,-6290021.6005457565,1.231126695826177,0.000144127465023125,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,20,20,0.001,4919541.140808436,-1569372.729982939,1.231196752399508,7.407089169220171e-05,3825246113765.885,1.7612275182050188,1427296706206.2122,2483000.6339411917,2483000.154237723
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,50,50,1.0,10568862961.424967,-10565512793.014141,0.6329322936439205,0.5983385296472797,163820490227.54263,0.6299466632777062,10568862961.424967,106337.30726883619,106337.28926315639
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,50,50,0.8,5666997582.9460945,-5663647414.535269,0.6931335313127232,0.538137291978477,163820490227.54263,0.6299466632777062,10568862961.424967,106337.30726883619,106337.28926315639
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,50,50,0.5,1596947512.465361,-1593597344.0545356,0.864179053129636,0.36709177016156413,163820490227.54263,0.6299466632777062,10568862961.424967,106337.30726883619,106337.28926315639
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,50,50,0.3,440392619.43079305,-437042451.01996756,1.0058885792533718,0.22538224403782836,163820490227.54263,0.6299466632777062,10568862961.424967,106337.30726883619,106337.28926315639
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,1,50,50,0.2,169302106.61375925,-165951938.20293376,1.0802969756478302,0.15097384764336996,163820490227.54263,0.6299466632777062,10568862961.424967,106337.30726883619,106337.28926315639
