method,outer,xy_rel_to_direct
regime,0,1.2312708232912002
regime,1,1.1531655859242333
regime,2,0.9972054833795201
regime,3,0.7742384572705955
regime,4,0.5262437489398188
regime,5,0.4456401840329689
regime,6,0.4369054329355493
regime,7,0.3968885680198501
regime,8,0.39216408561091803
regime,9,0.38731991283835276
regime,10,0.38653404383426676
regime,11,0.3740245700817241
regime,12,0.37092398131034954
regime,13,0.3693127181966204
regime,14,0.3682908869495056
regime,15,0.3335823599951961
regime,16,0.3294824611770339
regime,17,0.2955861343378666
regime,18,0.2939286542516569
regime,19,0.29356151131287744
regime,20,0.293452940817913
fixed_c3_k100,0,1.2312708232912002
fixed_c3_k100,1,0.5789266398385688
fixed_c3_k100,2,0.342306544698695
fixed_c3_k100,3,0.2688289634500549
fixed_c3_k100,4,0.21132103538590571
fixed_c3_k100,5,0.15595220458618597
fixed_c3_k100,6,0.1296074675406142
fixed_c3_k100,7,0.08659358083732047
fixed_c3_k100,8,0.09718061764568432
fixed_c3_k100,9,0.07711042901050752
fixed_c3_k100,10,0.08686341687390887
fixed_c3_k100,11,0.039074685300236556
fixed_c3_k100,12,0.03103590461487547
fixed_c3_k100,13,1.2047056008747499
fixed_c3_k100,14,1.425849301441323
fixed_c3_k100,15,0.9839576722227135
fixed_c3_k100,16,0.07841507625842145
fixed_c3_k100,17,0.01703394695238073
fixed_c3_k100,18,0.011955154640880808
fixed_c3_k100,19,0.00625139975406041
fixed_c3_k100,20,0.0036237093205622275
