cycle,k_used,relative_state_error,algebraic_residual,fixed_residual_norm,e_rel_to_exact
0,0,0.03499792225302882,207.4875331380065,207.4875331380065,1.0
1,50,0.008125026578715269,7.072913388163958,7.072913388164023,0.23215739837105576
2,50,0.001401370684816666,1.2546014906360676,1.2546014906361702,0.04004153945538279
3,50,0.0005061081337540132,0.5444119897376695,0.5444119897377101,0.014461090865026362
4,50,0.0005011786009031257,0.47064944160599453,0.4706494416060431,0.014320238705394958
5,50,0.00041747252102937996,0.38470504735348854,0.38470504735341104,0.01192849444204533
6,50,0.0003466568768377534,0.3174676906985356,0.3174676906986183,0.009905070200558572
7,50,0.00028624477148257705,0.26173216098318813,0.2617321609832466,0.008178907578062836
8,50,0.00023612100974659657,0.21579320365552743,0.2157932036555154,0.006746715076150711
9,50,0.00019468869427578868,0.17791377249830534,0.1779137724982478,0.005562864358553296
10,50,0.0001605285775574539,0.1466831546253244,0.14668315462536452,0.004586803077867443
11,50,0.00013234152027667546,0.1209345636733326,0.12093456367327333,0.00378141077543815
12,50,0.00010912011064411176,0.09970582679635485,0.09970582679640388,0.003117902537378896
13,50,8.995594680251969e-05,0.08220355250902271,0.08220355250905119,0.0025703224951740843
14,50,7.41745619927744e-05,0.06777361378117748,0.06777361378116191,0.0021193990148337854
15,50,6.114463985201875e-05,0.05587669036697487,0.05587669036717476,0.0017470934262520843
16,50,5.0420751000453626e-05,0.0460681458434293,0.04606814584337618,0.0014406784090607832
17,50,4.156054878419522e-05,0.037981381487315946,0.03798138148728104,0.0011875147482301193
18,50,3.427443370837811e-05,0.03131416407255366,0.03131416407249937,0.0009793276701403441
19,50,2.824854210852031e-05,0.025817300987189238,0.025817300987331107,0.0008071491202517217
20,50,2.329920538745719e-05,0.021285355805887946,0.02128535580587698,0.0006657311017038779
21,50,1.9199896156158697e-05,0.017548941102966696,0.01754894110286307,0.0005486010302546477
22,50,1.5838951247344864e-05,0.014468416707856762,0.014468416708073308,0.0004525683291769863
23,50,1.3049208958995086e-05,0.011928641634654872,0.011928641634534614,0.00037285667741197024
24,50,1.076795080835841e-05,0.009834699777280303,0.009834699777258385,0.0003076740008120282
25,50,8.868368085599144e-06,0.008108323390805696,0.008108323390689572,0.0002533969893995063
26,50,7.321011757319535e-06,0.006684996914447523,0.006684996914116467,0.0002091841811550183
27,50,6.026502501102038e-06,0.005511516660640539,0.005511516660700914,0.00017219600941022976
28,50,4.978005708446097e-06,0.004544031405296062,0.004544031405364156,0.0001422371769305372
29,50,4.094786824506748e-06,0.003746374397236939,0.003746374397065192,0.00011700085631848628
30,50,3.385383050982175e-06,0.0030887406974281295,0.003088740697430037,9.673097099018176e-05
31,50,2.7817334123592504e-06,0.0025465441690495187,0.0025465441690938543,7.948281731220049e-05
32,50,2.302823821294968e-06,0.0020995276364645806,0.002099527636390922,6.579887102292526e-05
33,50,1.8892081182506443e-06,0.0017309767187931211,0.0017309767185896335,5.3980580700271494e-05
34,50,1.5669744428664224e-06,0.0014271241951723333,0.0014271241952434936,4.477335490093355e-05
35,50,1.2825327024623132e-06,0.0011766063996589188,0.0011766063996531554,3.664596833181135e-05
36,50,1.0667983634017638e-06,0.0009700675658490397,0.0009700675656594782,3.0481761358849133e-05
37,50,8.701624700711343e-07,0.0007997810982187029,0.0007997810981971385,2.4863262214258653e-05
38,50,7.26821096733537e-07,0.000659389853938356,0.0006593898539952855,2.0767548483557278e-05
39,50,5.898725888925326e-07,0.0005436394850972544,0.0005436394852557998,1.6854504450934754e-05
40,50,4.957414155883569e-07,0.0004482111201144229,0.0004482111199265167,1.4164879905323747e-05
41,50,3.9936867620982925e-07,0.00036953088499087753,0.0003695308851095713,1.1411212364996612e-05
42,50,3.3869014555504557e-07,0.00030466539448745607,0.0003046653943202766,9.677434350610025e-06
43,50,2.6990485841349925e-07,0.00025118305348088144,0.00025118305343074766,7.712026519992614e-06
44,50,2.3196840932805224e-07,0.00020709224013426247,0.00020709224012319935,6.628060838218849e-06
45,50,1.8194636517133069e-07,0.00017073780779082746,0.00017073780774932252,5.198777481313998e-06
46,50,1.5947125594611244e-07,0.00014076828478579883,0.00014076828484135744,4.556590591988705e-06
47,50,1.222222943137968e-07,0.00011605630364085691,0.00011605630400287669,3.492274098666334e-06
48,50,1.1025683155696804e-07,9.568552694081958e-05,9.568552698594376e-05,3.150380652268762e-06
49,50,8.172411221369659e-08,7.88873366353244e-05,7.888733674512765e-05,2.335114406364437e-06
50,50,7.689393914537064e-08,6.504117089206657e-05,6.504117080079704e-05,2.1970984950944237e-06
51,50,5.434841303339967e-08,5.362226745199467e-05,5.36222675588301e-05,1.5529050096269918e-06
52,50,5.43379930758773e-08,4.421111387434883e-05,4.421111376678856e-05,1.5526045420323606e-06
53,50,3.597988871882856e-08,3.644870520542201e-05,3.6448705299441233e-05,1.0280586682516005e-06
54,50,3.9164798217118594e-08,3.0052189259560673e-05,3.0052189327624013e-05,1.1190588367801362e-06
55,50,2.3875492429500717e-08,2.4775232883885945e-05,2.477523284718342e-05,6.821979137592092e-07
56,50,2.9045740808136917e-08,2.0427876144529024e-05,2.0427876122453394e-05,8.29925613032343e-07
57,50,1.6245116361807554e-08,1.684037294088065e-05,1.684037296204901e-05,4.641737136366794e-07
58,50,2.2386312686906394e-08,1.3885906731363033e-05,1.3885906505558227e-05,6.396448023119063e-07
59,50,1.1912613336657365e-08,1.1446789372195559e-05,1.1446789277074604e-05,3.403798671458438e-07
60,50,1.807915046125346e-08,9.43912512426561e-06,9.439125091075653e-06,5.165755913498955e-07
61,50,9.938192667533108e-09,7.780612898154836e-06,7.780612997295868e-06,2.839637948584844e-07
62,50,1.534353204821197e-08,6.416531501451505e-06,6.416531484198574e-06,4.3841032686428826e-07
63,50,9.371356145235665e-09,5.288633713950185e-06,5.288633716438819e-06,2.677670137988089e-07
64,50,1.3629684284461037e-08,4.362029281185422e-06,4.362029400830525e-06,3.894402770162181e-07
65,50,9.427342722785142e-09,3.5948225129867385e-06,3.594822448218917e-06,2.6936646335749117e-07
66,50,1.2561375638860566e-08,2.9656031297501585e-06,2.9656030489103496e-06,3.5891532622770863e-07
67,50,9.67026595660885e-09,2.4435904232159103e-06,2.4435903279915274e-06,2.7630741294283116e-07
68,50,1.1892697089769981e-08,2.016537700072667e-06,2.016537627016074e-06,3.39809075497728e-07
69,50,9.923733820385252e-09,1.6612212238737404e-06,1.661221308074536e-06,2.8354972083799183e-07
70,50,1.1469682173567871e-08,1.3716229326388078e-06,1.3716229659645383e-06,3.277222129102651e-07
71,50,1.0133806094471895e-08,1.1296591626534131e-06,1.129659128695115e-06,2.895521112907348e-07
72,50,1.1198456327915968e-08,9.335436527697084e-07,9.335436056683529e-07,3.199724433723788e-07
73,50,1.0292966272638772e-08,7.686927306749435e-07,7.686928945824806e-07,2.940997985341041e-07
74,50,1.102222123068053e-08,6.361931651195243e-07,6.361933937369499e-07,3.1493685780216976e-07
75,50,1.040835673946667e-08,5.238521112538783e-07,5.238522589089913e-07,2.97396855517032e-07
76,50,1.0906375978839439e-08,4.346980625362175e-07,4.346980574265037e-07,3.1162679932491906e-07
77,50,1.0490005924805372e-08,3.5818486550101566e-07,3.581851878839598e-07,2.9972982270502135e-07
78,50,1.082951731817095e-08,2.986370517775386e-07,2.986369903029656e-07,3.094307093690777e-07
79,50,1.0546954838188182e-08,2.4667080970865947e-07,2.46671008737961e-07,3.0135702776095916e-07
80,50,1.0778164600503995e-08,2.07433193015257e-07,2.0743299367693836e-07,3.079634030838985e-07
81,50,1.0586323318332966e-08,1.724130727198904e-07,1.7241349032924068e-07,3.024819061330381e-07
82,50,1.0743676311988843e-08,1.471938208239847e-07,1.4719367106825462e-07,3.069779662468379e-07
83,50,1.0613384015295528e-08,1.240074654644005e-07,1.2400755499759436e-07,3.032551134414594e-07
84,50,1.0720428416441406e-08,1.0849279929377792e-07,1.0849297535114408e-07,3.063137020306883e-07
85,50,1.0631915833552046e-08,9.364189077689258e-08,9.364196810594512e-08,3.037846245712003e-07
86,50,1.0704716570218174e-08,8.474542751185317e-08,8.474538523246632e-08,3.0586476615155594e-07
87,50,1.064457602390798e-08,7.569077463837621e-08,7.569107491750948e-08,3.041463651986647e-07
88,50,1.0694079173143401e-08,7.106292350512254e-08,7.10631288291346e-08,3.055608227549967e-07
89,50,1.0653210689601791e-08,6.583431815417385e-08,6.58345372660008e-08,3.043930841886182e-07
90,50,1.068686792753805e-08,6.369575409819688e-08,6.369581235204747e-08,3.05354775334084e-07
91,50,1.0659093601375055e-08,6.079539813127013e-08,6.079566144222891e-08,3.0456117709671047e-07
92,50,1.0681974963887569e-08,5.994243500026426e-08,5.994262066271743e-08,3.052149681017971e-07
93,50,1.0663098280163136e-08,5.8357940490930323e-08,5.835827183365793e-08,3.046756031854022e-07
94,50,1.0678653691673272e-08,5.809517813734198e-08,5.80955152415096e-08,3.051200692588096e-07
95,50,1.066582345325632e-08,5.722258818615054e-08,5.72230856761741e-08,3.047534697682669e-07
96,50,1.0676397601722007e-08,5.720006048517582e-08,5.7200485613922666e-08,3.050556057112748e-07
97,50,1.066767713483823e-08,5.6708457793896205e-08,5.670880666687084e-08,3.048064351210261e-07
98,50,1.0674865078273042e-08,5.676718045394501e-08,5.676746485069527e-08,3.0501181678867494e-07
99,50,1.0668937518723709e-08,5.6481518523684473e-08,5.6481779659157236e-08,3.0484244811997513e-07
100,50,1.0673823848669034e-08,5.65561003597671e-08,5.65561982929904e-08,3.0498206573705355e-07
