cycle,relative_state_error,algebraic_residual,fixed_residual_norm,e_rel_to_exact
0,0.03499792225302882,207.4875331380065,207.4875331380065,1.0
1,0.027606302378008443,15.675275905199339,15.675275905199333,0.7887983228946548
2,0.016891259939603567,6.233547798913705,6.233547798913864,0.48263607814884985
3,0.009600485733333533,3.624050427694929,3.624050427694942,0.2743158769216711
4,0.005480764901841148,2.4426500038760333,2.4426500038758783,0.15660257949455644
5,0.00332770924190397,1.1815452456384379,1.1815452456384568,0.0950830514387429
6,0.0018953268376476807,0.8736821344861759,0.8736821344860786,0.05415541025180396
7,0.001168567672703479,0.4286240329529519,0.42862403295285906,0.03338962993805419
8,0.000655984820630053,0.35121331238543924,0.35121331238549847,0.018743536139397235
9,0.00041397939178732077,0.1751971414517891,0.17519714145178888,0.011828684820761591
10,0.00022758181444558758,0.15150195504934463,0.15150195504932423,0.006502723582366261
11,0.00014871783977488841,0.08019969731150474,0.08019969731155382,0.0042493333925956115
12,7.963552358600968e-05,0.06973871410300853,0.06973871410283501,0.002275435751140484
13,5.472305919123121e-05,0.03998939604574212,0.03998939604583001,0.0015636087972518394
14,2.855668594666752e-05,0.033735815308045904,0.03373581530803107,0.0008159537491400174
15,2.0947580722907334e-05,0.020787352547454195,0.020787352547577492,0.000598537836203681
16,1.0816374740456876e-05,0.01687425289924868,0.016874252899155458,0.00030905762341903266
17,8.491698921540832e-06,0.010971279345217655,0.010971279345400903,0.0002426343713080936
18,4.487413555857142e-06,0.008613170958478711,0.008613170958400727,0.00012821942605461634
19,3.6876247913376416e-06,0.005810952844949571,0.005810952845076019,0.0001053669619374854
20,2.063072757837112e-06,0.00444889208005397,0.004448892079973907,5.894843432900275e-05
21,1.7102915122035425e-06,0.003076209189153035,0.0030762091892271213,4.8868371665396485e-05
22,1.0235871354867658e-06,0.002313858879912459,0.0023138588798220397,2.924708230544958e-05
23,8.346096113148675e-07,0.0016259931483821588,0.0016259931484880227,2.3847403660274925e-05
24,5.282314580810807e-07,0.0012083563560515082,0.0012083563561463941,1.5093222990855872e-05
25,4.214315300136226e-07,0.0008581445991371979,0.0008581445991841232,1.2041614942632938e-05
26,2.7664664590167365e-07,0.0006326045814123835,0.0006326045811497296,7.904658914790029e-06
27,2.1766247672595145e-07,0.000452337098169208,0.00045233709820427477,6.219296437125439e-06
28,1.452822775822402e-07,0.0003317063030025075,0.00033170630292601427,4.151168475366309e-06
29,1.1449747682083446e-07,0.00023820112426515123,0.00023820112416168333,3.2715500135914814e-06
30,7.618765239329597e-08,0.00017411666447335206,0.0001741166644426075,2.176919053281661e-06
31,6.164497597447127e-08,0.00012533829988666654,0.000125338300016639,1.7613887910658406e-06
32,4.011299296340036e-08,9.147246186600529e-05,9.147246189403231e-05,1.146153056839298e-06
33,3.4672204459880855e-08,6.590229708143811e-05,6.590229727146655e-05,9.906921581864906e-07
34,2.194636309002791e-08,4.809508910078223e-05,4.8095089230436705e-05,6.270751643565238e-07
35,2.132312206569308e-08,3.4620125816269475e-05,3.462012578459117e-05,6.092667546418222e-07
36,1.382238958422571e-08,2.5315332429556648e-05,2.531533216173018e-05,3.9494714178024443e-07
37,1.5173306871124213e-08,1.8162308872592084e-05,1.8162308882177234e-05,4.335468929035781e-07
38,1.1082607393034055e-08,1.3348313428291327e-05,1.3348313371474903e-05,3.166624808885678e-07
39,1.2590212709587423e-08,9.506077807475566e-06,9.506077760617537e-06,3.5973953183299164e-07
40,1.0515388362692267e-08,7.060258080320395e-06,7.060258103675427e-06,3.004550798621881e-07
41,1.1557923104200409e-08,4.95414896285256e-06,4.9541490290007145e-06,3.3024365096286516e-07
42,1.0522805601618389e-08,3.7558780207880564e-06,3.7558780639070898e-06,3.0066698162945984e-07
43,1.1136433958666548e-08,2.5610397734528385e-06,2.561039873854637e-06,3.182003291146277e-07
44,1.0613853502165815e-08,2.0195566809513955e-06,2.019556506006365e-06,3.032685075028885e-07
45,1.095332970083972e-08,1.3035373449689865e-06,1.3035373337612735e-06,3.129684430389991e-07
46,1.0685534791365261e-08,1.1076593717698135e-06,1.1076593574533274e-06,3.0531667253177155e-07
47,1.0868460724122772e-08,6.439660854904831e-07,6.43966102073722e-07,3.1054346004061796e-07
48,1.0729748998593684e-08,6.295718428232792e-07,6.295716772208329e-07,3.0658001543621205e-07
49,1.0827123010117561e-08,3.008916066109498e-07,3.008916820777531e-07,3.0936230708915934e-07
50,1.0754802275235897e-08,3.800959817283694e-07,3.8009600572296907e-07,3.0729586868229324e-07
51,1.0806325363901809e-08,1.3104482174908437e-07,1.3104495923726902e-07,3.08768050640895e-07
52,1.0768478199035507e-08,2.5119869734588475e-07,2.5119877510926474e-07,3.076866342963981e-07
53,1.0795657284515087e-08,7.367110136420845e-08,7.367126238758193e-08,3.084632289445623e-07
54,1.0775810497229953e-08,1.8555021032360945e-07,1.8555022930205685e-07,3.078961418993926e-07
55,1.0790124902191183e-08,8.164319033814495e-08,8.164324931925743e-08,3.0830515074990645e-07
56,1.0779705601918227e-08,1.5249254474347592e-07,1.524925065053923e-07,3.080074375536249e-07
57,1.078723814980409e-08,9.677349212758963e-08,9.677349467155645e-08,3.0822266693920927e-07
58,1.0781764863727686e-08,1.3585470244429152e-07,1.3585477097859864e-07,3.0806627738498693e-07
59,1.0785726526221649e-08,1.0653783549988778e-07,1.0653806341775122e-07,3.081794750236263e-07
60,1.0782850552499292e-08,1.2740565557304232e-07,1.2740574788896622e-07,3.0809729899044013e-07
61,1.078493388510343e-08,1.1202881622578935e-07,1.12028753286887e-07,3.081568266404819e-07
62,1.078342219388955e-08,1.2306591340867519e-07,1.2306575610740533e-07,3.0811363279785577e-07
63,1.0784517797144637e-08,1.1499806289221041e-07,1.1499812651917142e-07,3.0814493761009885e-07
64,1.0783723083442946e-08,1.2081568284007526e-07,1.2081570687857707e-07,3.081222301917897e-07
65,1.0784299096824432e-08,1.1658022857191585e-07,1.165801744765328e-07,3.0813868875056284e-07
66,1.0783881479561855e-08,1.196421236038245e-07,1.196421180837965e-07,3.081267559598785e-07
67,1.0784184371900221e-08,1.1741737921232802e-07,1.1741729573579532e-07,3.0813541057950413e-07
68,1.078396490950362e-08,1.1902800160425964e-07,1.190278730272977e-07,3.0812913993275935e-07
69,1.078412384009451e-08,1.1785877072879454e-07,1.1785883450014642e-07,3.08133681012876e-07
70,1.0784008518455778e-08,1.1870568118827507e-07,1.1870579258230454e-07,3.081303859240028e-07
71,1.078409222843345e-08,1.1809103284343748e-07,1.1809123159491432e-07,3.081327777620512e-07
72,1.0784031414617778e-08,1.18536656209513e-07,1.1853672509747007e-07,3.081310401695258e-07
73,1.0784075476708816e-08,1.1821346281595448e-07,1.1821358594623294e-07,3.081322990396524e-07
74,1.0784043608325465e-08,1.1844781838482837e-07,1.1844784073254986e-07,3.0813138854828734e-07
