cycle,k_used,relative_state_error,algebraic_residual,fixed_residual_norm,e_rel_to_exact
0,0,0.03499792225302882,207.4875331380065,207.4875331380065,1.0
1,50,0.023909158794366763,7.499216468889535,7.499216468889354,0.6831593779047156
2,50,0.012945970664659608,3.8600085937937685,3.8600085937937294,0.36990683535471236
3,50,0.006728725412340048,2.0754065564967363,2.0754065564966617,0.19226071089671476
4,50,0.003603982689192652,1.0954798937489811,1.0954798937490005,0.10297704712485732
5,50,0.0018953235247548318,0.5847187002040164,0.5847187002040181,0.054155315592087874
6,50,0.0010142991582459055,0.309378419935653,0.30937841993566084,0.028981696422925255
7,50,0.0005326448929966104,0.1655047230725967,0.16550472307246555,0.015219328995249313
8,50,0.0002861150989239335,0.08766878113518452,0.08766878113527862,0.008175202424267891
9,50,0.00014968167395044887,0.04717455408010507,0.0471745540799785,0.004276873146632475
10,50,8.090564304901636e-05,0.02506151994922291,0.02506151994903397,0.002311727033038568
11,50,4.210631343477703e-05,0.013626525966751518,0.01362652596660545,0.001203108946053268
12,50,2.2977970132629128e-05,0.007291701272111606,0.007291701271964806,0.0006565524059052114
13,50,1.1882246382138752e-05,0.004034348818071434,0.004034348817961514,0.0003395129064323588
14,50,6.580463162372566e-06,0.002191373331133388,0.0021913733311685175,0.00018802439300706056
15,50,3.3807697912068942e-06,0.0012449432392216341,0.0012449432392643445,9.659915489446322e-05
16,50,1.915323747702984e-06,0.0006935702659713768,0.0006935702660281497,5.472678241085703e-05
17,50,9.810918645940908e-07,0.00040755152743029467,0.000407551527271559,2.8032858074644554e-05
18,50,5.753697861381658e-07,0.00023480815213236582,0.00023480815208634897,1.6440110762654797e-05
19,50,2.9746532679065085e-07,0.00014271393720179413,0.0001427139372341934,8.49951177888519e-06
20,50,1.834148116798344e-07,8.507126333748723e-05,8.507126328632739e-05,5.240732506237846e-06
21,50,9.828442922837355e-08,5.305249300571933e-05,5.305249301415476e-05,2.808291239808377e-06
22,50,6.489506142767584e-08,3.249291361239305e-05,3.249291361015241e-05,1.8542529874090091e-06
23,50,3.762725778340186e-08,2.057345732287009e-05,2.057345730044705e-05,1.0751263208446302e-06
24,50,2.7437582830107703e-08,1.2833693298075346e-05,1.2833693290546754e-05,7.839756728487926e-07
25,50,1.8430178093056837e-08,8.182474229794804e-06,8.18247431517994e-06,5.26605574784367e-07
26,50,1.5559065310552664e-08,5.1654482871098086e-06,5.165448268097842e-06,4.4456901153266183e-07
27,50,1.2736697071580843e-08,3.298658703756623e-06,3.298658690467191e-06,3.6392483530408785e-07
28,50,1.2124395291742582e-08,2.1017782694659594e-06,2.101778213164751e-06,3.464295402763426e-07
29,50,1.1291309659821144e-08,1.3391223667013512e-06,1.339122355656072e-06,3.22625550667109e-07
30,50,1.1211268599469997e-08,8.634978568731043e-07,8.634979116523459e-07,3.203385791373241e-07
31,50,1.0956883953052874e-08,5.472044148482026e-07,5.472044607394117e-07,3.1306996602767963e-07
32,50,1.0965751785271597e-08,3.6263126812322795e-07,3.626312955249869e-07,3.133233728579454e-07
33,50,1.0882347854666735e-08,2.300771862391197e-07,2.300772092932632e-07,3.109402431886706e-07
34,50,1.08959443302563e-08,1.6529395107856676e-07,1.6529413515681037e-07,3.1132874798279955e-07
35,50,1.0866839262917282e-08,1.1196182529072562e-07,1.1196201653060261e-07,3.1049711783645314e-07
36,50,1.0874881126889468e-08,9.607884500627436e-08,9.607903835402723e-08,3.1072690351957273e-07
37,50,1.0864244195821923e-08,7.804482316628774e-08,7.804492865786792e-08,3.1042297011480533e-07
38,50,1.0868175582051706e-08,7.706882232088356e-08,7.706920138143915e-08,3.105353041651563e-07
39,50,1.0864157999874492e-08,7.172475583465368e-08,7.17248003996053e-08,3.1042050799195344e-07
40,50,1.0865936866004671e-08,7.269307186123244e-08,7.269334414174618e-08,3.1047133653445654e-07
41,50,1.0864383224620737e-08,7.10050895949864e-08,7.10052297537184e-08,3.1042694361992243e-07
42,50,1.0865157304297788e-08,7.16452707817826e-08,7.164550686750769e-08,3.1044906189632197e-07
43,50,1.0864546518309785e-08,7.104852016375936e-08,7.104879501490041e-08,3.10431609572692e-07
44,50,1.0864875844746302e-08,7.13517197554913e-08,7.135201981892123e-08,3.104410195630278e-07
45,50,1.0864633060452474e-08,7.11243917898841e-08,7.112458650402708e-08,3.104340824356622e-07
46,50,1.08647713534834e-08,7.125540834140248e-08,7.125568787031115e-08,3.104380338583861e-07
47,50,1.0864674002651184e-08,7.116535083980593e-08,7.116563018039444e-08,3.104352522565051e-07
48,50,1.0864731328608207e-08,7.122031229249332e-08,7.122048890833576e-08,3.104368903495214e-07
49,50,1.0864691988238485e-08,7.118396241476523e-08,7.118417639934935e-08,3.104357661510335e-07
50,50,1.08647161681653e-08,7.120662952456213e-08,7.12068380418592e-08,3.104364571799409e-07
51,50,1.086469992615424e-08,7.119188933522394e-08,7.11921133171107e-08,3.104359930402917e-07
52,50,1.0864709689798524e-08,7.120113154527263e-08,7.120140201787063e-08,3.104362718806654e-07
53,50,1.0864703175269938e-08,7.11950847280329e-08,7.119538248091297e-08,3.1043608591455175e-07
54,50,1.0864707101327057e-08,7.119905318006166e-08,7.119921197492083e-08,3.104361978874188e-07
55,50,1.0864704773465816e-08,7.119645594402475e-08,7.119675784354254e-08,3.1043613158778487e-07
56,50,1.0864706147165007e-08,7.11981230031813e-08,7.119834209472368e-08,3.1043617072144406e-07
57,50,1.0864705054564134e-08,7.119724792977737e-08,7.119732813441747e-08,3.104361396116133e-07
58,50,1.086470593286855e-08,7.119789748281058e-08,7.119795152690134e-08,3.104361646166801e-07
59,50,1.0864705372220425e-08,7.11972964107497e-08,7.119755163443469e-08,3.1043614860377003e-07
60,50,1.0864705883146852e-08,7.119769536867966e-08,7.119782203250755e-08,3.104361631260796e-07
61,50,1.0864705538625293e-08,7.1197415197412e-08,7.119764582435049e-08,3.104361533941435e-07
62,50,1.086470573098244e-08,7.11976108496661e-08,7.119775745556143e-08,3.10436158815643e-07
63,50,1.0864705466438289e-08,7.119750520793685e-08,7.119769482127093e-08,3.104361513589724e-07
64,50,1.0864705589186459e-08,7.119744130110486e-08,7.119771942466721e-08,3.1043615472458077e-07
65,50,1.0864705586865707e-08,7.119742705696795e-08,7.119771013590394e-08,3.1043615478794524e-07
66,50,1.0864705607814948e-08,7.119764633632245e-08,7.11977333698222e-08,3.10436155398998e-07
67,50,1.0864705682407948e-08,7.119765168264028e-08,7.119769531477831e-08,3.104361573947424e-07
68,50,1.0864705583051743e-08,7.119758091903846e-08,7.119770702605468e-08,3.1043615467646205e-07
69,50,1.0864705504127566e-08,7.119741925296983e-08,7.119770499353737e-08,3.1043615239230414e-07
70,50,1.0864705376657822e-08,7.1197504839521e-08,7.119772172052029e-08,3.104361486410802e-07
71,50,1.0864705508457346e-08,7.119757096292892e-08,7.119772683754038e-08,3.104361524351931e-07
72,50,1.0864705487120785e-08,7.119742633554106e-08,7.119770951769878e-08,3.104361520042096e-07
73,50,1.0864705499923769e-08,7.11975334462615e-08,7.119771886040428e-08,3.1043615235070603e-07
74,50,1.0864705671282513e-08,7.119762203047878e-08,7.119771178325611e-08,3.104361571277897e-07
75,50,1.0864705687691288e-08,7.119751160270453e-08,7.119771457919531e-08,3.1043615765830776e-07
76,50,1.0864705708355492e-08,7.119755839954378e-08,7.119771366133571e-08,3.104361582074933e-07
77,50,1.0864705527349415e-08,7.11975456934649e-08,7.119770501564843e-08,3.1043615301113386e-07
78,50,1.0864705556247427e-08,7.119763649812221e-08,7.119771665167399e-08,3.1043615395422887e-07
79,50,1.0864705583720006e-08,7.119748412423814e-08,7.119770379578321e-08,3.104361547295795e-07
80,50,1.0864705535024968e-08,7.119744057054769e-08,7.1197699745123e-08,3.104361532902614e-07
81,50,1.0864705703327854e-08,7.119763969282789e-08,7.119771827024346e-08,3.104361580413722e-07
82,50,1.0864705429342668e-08,7.119754770045085e-08,7.119771863351537e-08,3.1043615026664357e-07
83,50,1.0864705527533925e-08,7.119745273597892e-08,7.11977056994243e-08,3.1043615301286806e-07
84,50,1.0864705447988222e-08,7.11974966052165e-08,7.11977068131202e-08,3.1043615079336915e-07
85,50,1.086470553976421e-08,7.119755584784865e-08,7.119770173037377e-08,3.104361534719771e-07
86,50,1.0864705474774355e-08,7.119752330742354e-08,7.119771853183882e-08,3.1043615163436143e-07
87,50,1.0864705583238446e-08,7.119753290814321e-08,7.119769310518256e-08,3.10436154684791e-07
88,50,1.0864705469231764e-08,7.119754395831012e-08,7.119771582198801e-08,3.1043615144313135e-07
89,50,1.0864705502714938e-08,7.119747485472456e-08,7.11977038488228e-08,3.1043615230656095e-07
90,50,1.086470564255663e-08,7.119765471311232e-08,7.11977138453872e-08,3.1043615631704025e-07
91,50,1.0864705690708168e-08,7.119763369352495e-08,7.119772630245504e-08,3.104361576715969e-07
92,50,1.0864705574875253e-08,7.119761910837699e-08,7.119772962371439e-08,3.104361544436342e-07
93,50,1.0864705575435079e-08,7.119748401932279e-08,7.119770249866596e-08,3.1043615449191935e-07
94,50,1.0864705524813553e-08,7.119737053215514e-08,7.119769450239817e-08,3.104361530749779e-07
95,50,1.0864705518278162e-08,7.119744954705255e-08,7.11977186861441e-08,3.1043615283910354e-07
96,50,1.086470569577087e-08,7.119754524684111e-08,7.119770855122154e-08,3.1043615778757256e-07
97,50,1.0864705713517852e-08,7.119768142750218e-08,7.119770812167828e-08,3.10436158320318e-07
98,50,1.0864705441388158e-08,7.119754807967581e-08,7.119771647871391e-08,3.104361505471226e-07
99,50,1.0864705716172103e-08,7.119752352525464e-08,7.119771442598222e-08,3.104361583746052e-07
100,50,1.0864705816426653e-08,7.119757961059496e-08,7.119772807682382e-08,3.1043616134232775e-07
