outer,nonlinear_objective,linear_step_norm,linear_residual_norm,relative_objective_improvement
0,3548660355.5203156,,,
1,3712294623.7697573,4897.797199362319,1.2235850413206338e-06,0.046111560942960136
2,3372491.15583525,5204.113390443957,6.55520074150627e-08,0.9990915346173654
3,457763.35225917783,1970.4905467603494,7.671712095407272e-09,0.86426551439071
4,113022.21414830786,1919.4046072185768,4.2268787357402316e-09,0.7530990333968094
5,532.6332016839888,328.90348020541944,2.110756920085088e-09,0.9952873582799832
6,395.9033259640885,179.99654470364865,5.747384688077077e-10,0.25670550631768935
7,387.08886945147566,29.375899167588845,3.3240872333419534e-11,0.022264163836330998
8,385.947857358121,11.739380800038932,2.0170285237286888e-11,0.0029476747677388564
9,385.4867864033551,29.39384439802477,6.302501346476736e-11,0.001194645716968081
10,385.27994834185114,10.511714303422927,1.406641016780533e-11,0.0005365632981451486
11,385.19036801732665,15.373253628191344,4.670693022782194e-11,0.000232507102718483
12,385.15050428857967,6.29587956261341,2.3669143088704597e-11,0.0001034909801929068
13,385.13310742559975,7.14717364655019,2.5196033111015353e-11,4.516899961498448e-05
14,385.12545944270516,3.2198185920404208,1.0863264685153195e-11,1.98580250493255e-05
15,385.1221103896669,3.1988673840792257,6.2334116400056306e-12,8.696005304671508e-06
16,385.1206415332485,1.544509489488326,6.7053848577746934e-12,3.814001790009551e-06
17,385.1199970749807,1.4111205063601369,3.6097121157429454e-12,1.6733932131871487e-06
18,385.11971411570863,0.7183319571890291,1.635866156682765e-12,7.347301469801744e-07
19,385.1195897398528,0.6183836425961273,1.8185594103462125e-12,3.229537498606397e-07
20,385.119535028437,0.3306564082387684,1.582657501116877e-12,1.4206344544815586e-07
21,385.11951093651896,0.2716564971885943,2.6149059069876333e-13,6.255698771463663e-08
22,385.1195003201593,0.14825157874946604,3.745441010813726e-13,2.7566403010310902e-08
23,385.11949563769963,0.11910812851723412,2.5395061015882486e-13,1.215845908978277e-08
24,385.1194935711264,0.06647102754613465,1.208187122146544e-13,5.366057206614135e-09
25,385.1194926583563,0.05181781519111533,2.4339392982583443e-13,2.3700957537807173e-09
26,385.11949225500683,0.02971498081484623,6.722511623891487e-14,1.0473359110568792e-09
27,385.11949207660433,0.025227582286100073,1.165200933341274e-13,4.6323934583484586e-10
28,385.11949199770453,0.012198692029285266,5.4688545111440817e-14,2.0487096568844856e-10
29,385.1194919627734,0.010535073905387148,1.7800821027377756e-14,9.070206589662213e-11
