outer,trial,accepted,lambda,current_factor,nonlinear_objective_before,nonlinear_objective_after,linearized_cost_change,actual_reduction,model_fidelity,step_norm,linear_residual_norm,stop_search
1,1,True,1e-05,10.0,3548660355.5203156,2531414494.678309,3548659960.0685463,1017245860.8420067,0.28665633571224375,3431.625852266811,6.024257036409959e-07,False
2,1,True,1.0000000000000002e-06,10.0,2531414494.678309,36233212.11614145,2531414150.9487543,2495181282.5621676,0.9856867086039608,4457.197745835643,1.9599126219034474e-07,False
3,1,True,1.0000000000000002e-07,10.0,36233212.11614145,77514.38769767461,36232812.2921586,36155697.72844378,0.9978716925671399,2683.3450854791163,6.854394111140304e-08,False
4,1,True,1.0000000000000002e-08,10.0,77514.38769767461,10781.318712324759,77072.40801928937,66733.06898534985,0.8658490204256777,2373.9472095448764,5.545538812717367e-09,False
5,1,True,1.0000000000000003e-09,10.0,10781.318712324759,656.4411095548096,10368.763623251521,10124.87760276995,0.9764787751613252,325.94678017275254,3.7265861860672416e-10,False
6,1,True,1.0000000000000003e-10,10.0,656.4411095548096,419.24738035880915,254.71063504741323,237.19372919600045,0.9312282117778392,340.4833421578415,6.826605416342211e-10,False
7,1,True,1.0000000000000003e-11,10.0,419.24738035880915,393.12360016742474,24.716387535760077,26.123780191384412,1.056941681044129,97.1396948256268,2.5391222024909466e-10,False
8,1,True,1.0000000000000002e-12,10.0,393.12360016742474,388.86773870253916,3.0797511493649674,4.255861464885584,1.3818848531846886,19.1343914087018,1.4800029009176548e-11,False
9,1,True,1.0000000000000002e-13,10.0,388.86773870253916,386.96814867951923,1.3651072562938955,1.8995900230199254,1.3915317014555233,63.65797792807384,1.0987776410773071e-10,False
10,1,True,1.0000000000000002e-14,10.0,386.96814867951923,385.9157253360602,0.7236947518614283,1.0524233434590542,1.4542365282490957,20.687898321917228,6.815786143256238e-11,False
11,1,True,1e-15,10.0,385.9157253360602,385.48730508283376,0.28007254948014987,0.4284202532264203,1.5296759858173268,30.966814591746036,1.282686060752516e-10,False
12,1,True,1.0000000000000001e-16,10.0,385.48730508283376,385.28200839722604,0.1321189579475387,0.20529668560772052,1.5538775721288913,14.564323024063825,3.763890782603472e-11,False
13,1,True,1e-17,10.0,385.28200839722604,385.1925394930437,0.056202742019320656,0.08946890418235398,1.591895714831805,14.827258329924799,5.770721766940754e-11,False
14,1,True,1e-18,10.0,385.1925394930437,385.1520507785159,0.02516586900249701,0.04048871452778258,1.6088740875097618,8.080226928913728,2.3989141275963173e-11,False
15,1,True,1.0000000000000001e-19,10.0,385.1520507785159,385.1340233650346,0.01112255529439543,0.01802741348132031,1.620797829650187,6.900425526597191,2.4423385575406228e-11,False
16,1,True,1.0000000000000001e-20,10.0,385.1340233650346,385.125963733371,0.004945285837639779,0.008059631663570599,1.6297605291542043,4.021867308748083,2.2298232236855314e-11,False
17,1,True,1.0000000000000001e-21,10.0,385.125963733371,385.1223717701711,0.0021975063725093755,0.0035919631998808654,1.6345632689925411,3.135645894007951,2.537695574762038e-12,True
