outer,nonlinear_objective,accepted,lambda,attempts,lambda_next,current_factor,current_factor_next,step_norm,linear_residual_norm,linearized_cost_change,actual_reduction,model_fidelity,relative_objective_improvement,total_inner_iterations
0,3548660355.5203156,True,1e-05,0,,,,,,,,,,
1,2531414494.678309,True,1e-05,1,1.0000000000000002e-06,10.0,10.0,3431.625852266811,6.024257036409959e-07,3548659960.0685463,1017245860.8420067,0.28665633571224375,0.28665630376814544,1
2,36233212.11614145,True,1.0000000000000002e-06,1,1.0000000000000002e-07,10.0,10.0,4457.197745835643,1.9599126219034474e-07,2531414150.9487543,2495181282.5621676,0.9856867086039608,0.9856865747619313,2
3,77514.38769767461,True,1.0000000000000002e-07,1,1.0000000000000002e-08,10.0,10.0,2683.3450854791163,6.854394111140304e-08,36232812.2921586,36155697.72844378,0.9978716925671399,0.9978606813149987,3
4,10781.318712324759,True,1.0000000000000002e-08,1,1.0000000000000003e-09,10.0,10.0,2373.9472095448764,5.545538812717367e-09,77072.40801928937,66733.06898534985,0.8658490204256777,0.8609120315266556,4
5,656.4411095548096,True,1.0000000000000003e-09,1,1.0000000000000003e-10,10.0,10.0,325.94678017275254,3.7265861860672416e-10,10368.763623251521,10124.87760276995,0.9764787751613252,0.9391130967305147,5
6,419.24738035880915,True,1.0000000000000003e-10,1,1.0000000000000003e-11,10.0,10.0,340.4833421578415,6.826605416342211e-10,254.71063504741323,237.19372919600045,0.9312282117778392,0.361332838153391,6
7,393.12360016742474,True,1.0000000000000003e-11,1,1.0000000000000002e-12,10.0,10.0,97.1396948256268,2.5391222024909466e-10,24.716387535760077,26.123780191384412,1.056941681044129,0.06231113517996608,7
8,388.86773870253916,True,1.0000000000000002e-12,1,1.0000000000000002e-13,10.0,10.0,19.1343914087018,1.4800029009176548e-11,3.0797511493649674,4.255861464885584,1.3818848531846886,0.010825759285560784,8
9,386.96814867951923,True,1.0000000000000002e-13,1,1.0000000000000002e-14,10.0,10.0,63.65797792807384,1.0987776410773071e-10,1.3651072562938955,1.8995900230199254,1.3915317014555233,0.0048849257317100285,9
10,385.9157253360602,True,1.0000000000000002e-14,1,1e-15,10.0,10.0,20.687898321917228,6.815786143256238e-11,0.7236947518614283,1.0524233434590542,1.4542365282490957,0.0027196640009011547,10
11,385.48730508283376,True,1e-15,1,1.0000000000000001e-16,10.0,10.0,30.966814591746036,1.282686060752516e-10,0.28007254948014987,0.4284202532264203,1.5296759858173268,0.001110139403760618,11
12,385.28200839722604,True,1.0000000000000001e-16,1,1e-17,10.0,10.0,14.564323024063825,3.763890782603472e-11,0.1321189579475387,0.20529668560772052,1.5538775721288913,0.0005325640634614576,12
13,385.1925394930437,True,1e-17,1,1e-18,10.0,10.0,14.827258329924799,5.770721766940754e-11,0.056202742019320656,0.08946890418235398,1.591895714831805,0.00023221666787542146,13
14,385.1520507785159,True,1e-18,1,1.0000000000000001e-19,10.0,10.0,8.080226928913728,2.3989141275963173e-11,0.02516586900249701,0.04048871452778258,1.6088740875097618,0.00010511292503502336,14
15,385.1340233650346,True,1.0000000000000001e-19,1,1.0000000000000001e-20,10.0,10.0,6.900425526597191,2.4423385575406228e-11,0.01112255529439543,0.01802741348132031,1.620797829650187,4.680596518928335e-05,15
16,385.125963733371,True,1.0000000000000001e-20,1,1.0000000000000001e-21,10.0,10.0,4.021867308748083,2.2298232236855314e-11,0.004945285837639779,0.008059631663570599,1.6297605291542043,2.092682332542608e-05,16
17,385.1223717701711,True,1.0000000000000001e-21,1,1e-22,10.0,10.0,3.135645894007951,2.537695574762038e-12,0.0021975063725093755,0.0035919631998808654,1.6345632689925411,9.326723041627076e-06,17
