outer,trial,accepted,damping,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,predicted_reduction,rho,step_norm,gradient_inf_norm,linear_residual_norm
1,1,True,1606483.9580867896,3548660355.5203156,3548634792.4797645,25563.040551185608,25561.472456661166,1.0000613460170222,0.0017656706212776597,2760818730.705343,2.385863501928017e-07
2,1,True,535494.6526955965,3548634792.4797645,3548558094.5242505,76697.95551395416,76683.88767403491,1.0001834523567592,0.005296832207127102,2760746029.3246675,6.015519089752826e-08
3,1,True,178498.2175651988,3548558094.5242505,3548327922.4809313,230172.0433192253,230046.74872221335,1.0005446484147589,0.01588888717272408,2760527941.2510924,1.4629041574553436e-07
4,1,True,59499.40585506627,3548327922.4809313,3547636736.598111,691185.8828201294,690092.1502275952,1.0015849080331858,0.04765227376813684,2759873869.8427587,9.79440353994329e-07
5,1,True,19833.135285022086,3547636736.598111,3545557957.9357214,2078778.6623897552,2069751.9670410766,1.0043612449667498,0.1428300268702751,2757913386.611353,5.19728921888272e-07
6,1,True,6611.045095007362,3545557957.9357214,3539290086.996936,6267870.938785553,6202797.709524218,1.0104909481670532,0.42740400426385594,2752047442.1077785,9.835214086713614e-07
7,1,True,2203.681698335787,3539290086.996936,3520386587.019635,18903499.977300644,18529894.583034057,1.0201623054352753,1.2732733151542854,2734587311.6741486,1.1118308345204263e-07
8,1,True,734.560566111929,3520386587.019635,3463851871.339435,56534715.6802001,54775118.54292873,1.0321240224408155,3.7492673729222523,2683398999.8965516,5.233119443027472e-07
9,1,True,244.85352203730966,3463851871.339435,3300010956.738571,163840914.60086393,156910532.609667,1.04416772969879,10.743590357246328,2539449365.1102915,5.918278060432174e-07
10,1,True,81.61784067910321,3300010956.738571,2874789843.1344185,425221113.6041527,409315040.5043437,1.0388602214084537,29.027859171685044,2173131832.437204,5.395026157250089e-07
11,1,True,27.2059468930344,2874789843.1344185,1997597532.3378246,877192310.7965939,855104582.3553209,1.0258304409741719,65.16487183126058,1413020898.3899884,2.2810279265484387e-07
12,1,True,9.0686489643448,1997597532.3378246,708621345.0086812,1288976187.3291435,1252470206.2289155,1.0291471852333673,125.43592763650285,693881677.0721538,3.294181369366927e-07
13,1,True,3.022882988114933,708621345.0086812,25263880.024448548,683357464.9842327,624581790.45492,1.0941040475843888,132.1659685133208,562984018.2063242,1.3344111325577547e-07
14,1,True,1.0076276627049776,25263880.024448548,1066305.6605156632,24197574.363932885,24235229.5337033,0.9984462631262456,136.37205884564037,224316399.94625178,3.4175772141895186e-08
15,1,True,0.33587588756832587,1066305.6605156632,209990.51802008424,856315.142495579,862554.952582948,0.9927658984871819,166.75450770425883,38125543.108538695,1.1330268311758768e-08
16,1,True,0.11195862918944195,209990.51802008424,84598.83073130372,125391.68728878052,127924.21540820903,0.980202902856608,217.57560368459582,6311163.047437459,3.9205474225669674e-09
17,1,True,0.03731954306314732,84598.83073130372,45571.1460913067,39027.68463999702,40287.068945702646,0.9687397386143188,258.35085677137465,2045032.15947571,2.6648926041123105e-09
18,1,True,0.012439847687715772,45571.1460913067,30809.78849544125,14761.357595865447,15588.784154097366,0.9469216745800899,283.39298296603545,470668.04739014746,2.6250237564862867e-10
19,1,True,0.004146615895905257,30809.78849544125,25853.169795006033,4956.618700435218,9791.596003167642,0.5062115204540425,303.2850310921168,78250.82387099435,9.040921423907001e-10
20,1,True,0.00414660794571441,25853.169795006033,17984.0419613765,7869.127833629533,8402.862190402364,0.9364818386070337,178.02748652914352,81142.19515366781,4.985777359843136e-10
21,1,True,0.001388053902814667,17984.0419613765,15508.773804011587,2475.2681573649133,4228.059150428051,0.5854383936691888,251.6668909377321,18023.035926779383,2.400655997085111e-09
22,1,True,0.0013811283325112435,15508.773804011587,14490.367471658476,1018.4063323531118,3698.1516245409375,0.27538252504169014,156.83842827854124,21059.138623466282,1.2233809819905282e-09
23,1,True,0.0015063428383512163,14490.367471658476,11511.724363785339,2978.6431078731366,3889.205545959079,0.7658744369960017,144.6253780471998,25464.002138371532,6.270470635137113e-10
24,1,True,0.0012798556899431789,11511.724363785339,11243.317991666478,268.4063721188613,1860.995257052418,0.14422732734095367,164.4543071835603,20686.388560244028,2.040088087317909e-09
25,1,False,0.0017409276903411475,11243.317991666478,11525.816262807462,-282.4982711409848,2206.335143004022,-0.1280396008905297,145.24465679185965,25173.663843693692,9.060626320528492e-10
25,2,True,0.003481855380682295,11243.317991666478,11196.525083138351,46.792908528126645,1943.1490387546207,0.024080967334403017,114.35373844314391,25173.663843693692,2.8295441545083816e-10
26,1,True,0.006484472353761273,11196.525083138351,10383.389928136317,813.1351550020336,1898.752063486827,0.42824714750213877,81.18327914184465,4613.760544155369,2.548414161119294e-10
27,1,True,0.006503636176395379,10383.389928136317,10006.981851436056,376.4080767002615,1126.934097111849,0.3340107266830731,66.4679052590813,2313.0652788233356,3.499408303359965e-10
28,1,True,0.006741586497979924,10006.981851436056,9681.00653198237,325.9753194536861,834.5840975544833,0.3905841489298276,57.81659999855107,2240.4209281604653,1.5053497027260273e-10
29,1,True,0.006812233351906609,9681.00653198237,9461.062677712525,219.94385426984445,594.7355394416072,0.36981791011908943,49.73962909507809,2131.3038728967126,2.2073883541036964e-10
30,1,True,0.0069324689923083195,9461.062677712525,9260.744341850917,200.31833586160792,459.27961781184763,0.43615768715360675,44.6148166492404,2064.845589896347,3.0889171484550313e-10
31,1,True,0.006946900235946137,9260.744341850917,9093.9762206684,166.76812118251655,347.6630555596973,0.47968318323049647,38.426203224916044,1992.8382191278404,1.8114024558174825e-10
32,1,True,0.006947366302610166,9093.9762206684,8951.369165408949,142.60705525945195,269.31164652461524,0.529524278284109,35.066904392548956,1943.4056413970793,2.694243579538599e-10
33,1,True,0.006945935933721836,8951.369165408949,8818.96228213613,132.40688327281896,217.72669476332368,0.6081334372744222,30.133725171862512,1897.9982797345222,2.706738745615823e-10
34,1,True,0.006875677124471928,8818.96228213613,8702.688779160584,116.27350297554585,176.30065621863656,0.6595182653849628,27.7594797080822,1854.189149809812,2.5943781196969773e-10
35,1,True,0.00665240386282934,8702.688779160584,8587.951475426336,114.73730373424769,155.39040287809848,0.7383808884533071,24.496435403465455,1822.801032972808,1.5280593441455398e-10
36,1,True,0.0059314907977915075,8587.951475426336,8472.389347156584,115.56212826975207,146.66233727584205,0.7879468609067861,24.41186301447666,1817.8371245702183,1.0996717672457764e-10
37,1,True,0.004798592581365771,8472.389347156584,8336.668449915605,135.72089724097896,161.7693215589396,0.8389779714290879,25.84186933389378,1919.2206585336694,2.1940299203615152e-10
38,1,True,0.0033033271455272374,8336.668449915605,8158.522483634891,178.14596628071467,209.2761183531856,0.8512484256806884,32.894947744861376,2223.524117915702,4.247160260132457e-10
39,1,True,0.0021581181983502873,8158.522483634891,7903.576610089534,254.94587354535633,297.6525136758314,0.8565218227016682,44.86909872629609,3218.9503822179213,4.6224400689338013e-10
40,1,True,0.0013757276984318436,7903.576610089534,7569.027080294409,334.54952979512564,430.14828892033046,0.7777539476789339,66.16217200825612,5513.314780037297,8.54422903920661e-10
41,1,True,0.0011398954514233426,7569.027080294409,7221.774026371339,347.2530539230702,535.0974777646246,0.6489528886843636,80.88349306547747,10378.714524230953,9.120829903710472e-10
42,1,True,0.001109758327928808,7221.774026371339,7102.829391072944,118.94463529839413,627.9449535006926,0.1894188887661201,96.05570476341536,12311.269443214487,3.9377759120465345e-10
43,1,True,0.0013757349819110089,7102.829391072944,7046.813901319692,56.01548975325204,876.1420614101669,0.06393425475212784,97.7278326039997,10789.896096728056,9.03648059592686e-10
44,1,False,0.002288335444900685,7046.813901319692,7255.200294786242,-208.38639346654963,1005.141198683504,-0.2073205174949413,85.72819411876996,6298.5385202236275,3.2384109140003693e-10
44,2,True,0.00457667088980137,7046.813901319692,6908.7586554930795,138.05524582661292,900.6649709260046,0.15328146456575698,68.09018109853545,6298.5385202236275,1.3326541508024778e-10
45,1,True,0.006102728217961638,6908.7586554930795,6591.905541086494,316.8531144065855,731.4555003252334,0.43318166896783245,46.062248302530605,1217.88537879858,5.354481203075349e-11
46,1,True,0.00611729289596193,6591.905541086494,6394.750784161312,197.15475692518157,418.75857064843444,0.4708076938458684,37.24640730004307,975.1892703340012,1.0938984892713504e-10
47,1,True,0.006118510355333651,6394.750784161312,6290.2540867210855,104.49669744022685,262.206006114514,0.39852900011218545,31.74946036631378,952.3550511009469,1.1497264332903399e-10
48,1,True,0.006169650447465347,6290.2540867210855,6205.363835937683,84.89025078340273,196.86747494010197,0.4312050571544694,28.31401834329151,931.8074443932769,1.2966612618915543e-10
49,1,True,0.0061857206033123805,6205.363835937683,6129.113983130865,76.24985280681813,157.55340544625167,0.4839619466862636,25.406057749707568,908.3280569552448,7.036033369120077e-11
50,1,True,0.006185924746666178,6129.113983130865,6065.156512558459,63.95747057240533,125.62595504174882,0.5091103231903835,23.212622915074647,888.0794688191329,6.679079419281521e-11
51,1,True,0.006185887327339276,6065.156512558459,6001.865840119999,63.290672438460206,109.89848539776062,0.5759012256573817,21.524497614547087,869.4060265873768,1.1539945983889631e-10
52,1,True,0.006164248268930043,6001.865840119999,5944.734308199236,57.13153192076334,93.73185779682612,0.6095209597211022,20.030126003389068,851.1779127930904,8.753149470290622e-11
53,1,True,0.006099465153221151,5944.734308199236,5887.284134146013,57.450174053223236,86.20371977831613,0.6664465779546833,19.174050832268883,834.6192278257726,1.325132693352469e-10
54,1,True,0.005874452804099321,5887.284134146013,5831.631527069798,55.652607076214736,79.4505795182136,0.700468233380937,18.601744746895946,820.777300724742,8.250494190025917e-11
55,1,True,0.005495841047448214,5831.631527069798,5773.163735251847,58.467791817950456,79.22516564025943,0.7379951981853502,19.134819810052353,816.4667871512854,8.06231662319239e-11
56,1,True,0.004903149498546589,5773.163735251847,5711.184615443838,61.97911980800927,82.37822000503272,0.7523726514632484,20.410023248925867,822.9316295926972,1.4170310581597618e-10
57,1,True,0.004272639477113353,5711.184615443838,5642.011902900259,69.17271254357911,91.71111676790015,0.754245668152089,23.174362439001,851.0335528357825,7.243821456417134e-11
58,1,True,0.003710884508669942,5642.011902900259,5567.376858919428,74.63504398083114,103.7564647469369,0.7193290959061375,26.346639966939428,897.1671270550883,1.7396244204748654e-10
59,1,True,0.003397659687048655,5567.376858919428,5489.495135593397,77.88172332603062,118.5384778967524,0.6570163942366967,29.94282239910277,954.6602794410064,1.0332195610499887e-10
