outer,nonlinear_objective,accepted,damping,attempts,step_norm,gradient_inf_norm,linear_residual_norm,predicted_reduction,actual_reduction,rho,relative_objective_improvement
0,3548660355.5203156,True,0.0,0,,,,,,,
1,3548634792.4797645,True,535494.6526955965,1,0.0017656706212776597,2760818730.705343,2.385863501928017e-07,25561.472456661166,25563.040551185608,1.0000613460170222,7.203574867743993e-06
2,3548558094.5242505,True,178498.2175651988,1,0.005296832207127102,2760746029.3246675,6.015519089752826e-08,76683.88767403491,76697.95551395416,1.0001834523567592,2.1613369647530875e-05
3,3548327922.4809313,True,59499.40585506627,1,0.01588888717272408,2760527941.2510924,1.4629041574553436e-07,230046.74872221335,230172.0433192253,1.0005446484147589,6.48635409617224e-05
4,3547636736.598111,True,19833.135285022086,1,0.04765227376813684,2759873869.8427587,9.79440353994329e-07,690092.1502275952,691185.8828201294,1.0015849080331858,0.00019479199722241677
5,3545557957.9357214,True,6611.045095007362,1,0.1428300268702751,2757913386.611353,5.19728921888272e-07,2069751.9670410766,2078778.6623897552,1.0043612449667498,0.0005859615334751357
6,3539290086.996936,True,2203.681698335787,1,0.42740400426385594,2752047442.1077785,9.835214086713614e-07,6202797.709524218,6267870.938785553,1.0104909481670532,0.00176780947121643
7,3520386587.019635,True,734.560566111929,1,1.2732733151542854,2734587311.6741486,1.1118308345204263e-07,18529894.583034057,18903499.977300644,1.0201623054352753,0.005341042839848185
8,3463851871.339435,True,244.85352203730966,1,3.7492673729222523,2683398999.8965516,5.233119443027472e-07,54775118.54292873,56534715.6802001,1.0321240224408155,0.016059235053517938
9,3300010956.738571,True,81.61784067910321,1,10.743590357246328,2539449365.1102915,5.918278060432174e-07,156910532.609667,163840914.60086393,1.04416772969879,0.047300208174753264
10,2874789843.1344185,True,27.2059468930344,1,29.027859171685044,2173131832.437204,5.395026157250089e-07,409315040.5043437,425221113.6041527,1.0388602214084537,0.12885445508471957
