outer,trial,accepted,lambda,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,scale,rho,step_norm,linear_residual_norm
1,1,True,16064.839580867898,3548660355.5203156,1162985680.59589,2385674674.9244256,7096883153.98297,0.3361580884399256,7.986741696488402,9.004758395303155e-08
2,1,True,10709.893053911932,1162985680.59589,89239117.52959096,1073746563.066299,2325409771.0092354,0.4617450981984519,5.252271747127137,2.772657319590051e-07
3,1,True,7139.928702607955,89239117.52959096,467597.3630611991,88771520.16652976,178138769.22510248,0.49832790780290454,3.6539904925238558,1.7184510920038956e-07
4,1,True,4759.952468405303,467597.3630611991,416871.9757674166,50725.38729378249,330270.6949911452,0.15358730902583553,4.07068448261404,1.1477207355452859e-08
5,1,False,3173.3016456035352,416871.9757674166,511904.22536434303,-95032.24959692644,516989.4811296038,-0.1838185360933927,4.2351957557363376,2.5665472785962582e-09
5,2,True,6346.6032912070705,416871.9757674166,352025.68147995207,64846.29428746452,486323.0498777059,0.13333995644206298,3.3293860334498677,1.178917836276312e-09
6,1,True,4231.068860804713,352025.68147995207,243904.47218932468,108121.20929062739,379727.8600741452,0.2847334121586859,2.6915937603246407,2.3980042613793002e-09
7,1,True,2820.7125738698087,243904.47218932468,196923.241693828,46981.23049549668,137489.71253517387,0.3417072421580452,2.623859605463367,3.094601794550514e-09
8,1,False,1880.4750492465391,196923.241693828,214774.49077202397,-17851.24907819598,103121.46222983491,-0.1731089599797324,3.84455013408901,2.648470894225138e-09
8,2,True,3760.9500984930783,196923.241693828,189548.1055411277,7375.136152700288,83369.30419774742,0.08846344855184193,2.701083814140788,7.669847097022816e-10
9,1,False,2507.300065662052,189548.1055411277,197884.51189595097,-8336.406354823266,73895.00048973755,-0.11281421340515474,3.089258927973676,4.031875989706786e-09
9,2,True,5014.600131324104,189548.1055411277,182867.92066760137,6680.184873526334,55391.300733709635,0.12059989177074795,2.062070187900197,6.056644736349638e-10
10,1,False,3343.066754216069,182867.92066760137,186962.18061731735,-4094.2599497159827,34276.15731079156,-0.1194492110825661,2.090498316295071,3.7227190848360467e-09
10,2,True,6686.133508432138,182867.92066760137,179411.08084877778,3456.839818823588,20894.234231254042,0.16544467629508877,1.1976167539525382,4.109512689454996e-10
11,1,True,4457.422338954759,179411.08084877778,178768.54191191337,642.5389368644101,8148.340639115919,0.07885518847603362,0.9289986663670842,1.3767437369463141e-09
12,1,False,2971.614892636506,178768.54191191337,181613.45065622556,-2844.9087443121825,14676.709222030075,-0.193838325831373,1.5022749234870876,1.9988840417932906e-09
12,2,True,5943.229785273012,178768.54191191337,177570.39164795686,1198.1502639565151,8282.571621716503,0.1446592095642159,0.8150959813294792,6.162539631476751e-10
13,1,True,3962.1531901820076,177570.39164795686,177298.66008162798,271.7315663288755,6639.906294453385,0.04092400619506712,0.891874567904489,5.989074832586174e-10
14,1,False,2641.435460121338,177298.66008162798,182317.0194504162,-5018.359368788224,16156.804988874723,-0.3106034498927092,1.660052855503402,2.786565352429961e-09
14,2,True,5282.870920242676,177298.66008162798,176462.74542469232,835.9146569356672,9271.319004083147,0.09016135207595867,0.9111510280014843,2.146112107048426e-10
15,1,False,3521.9139468284507,176462.74542469232,177298.73563496053,-835.9902102682099,10458.057311962259,-0.07993742865723041,1.173114797823095,1.3812738066232479e-09
15,2,True,7043.827893656901,176462.74542469232,175348.8828272263,1113.86259746601,5800.531224784008,0.19202768751710086,0.6289437034209011,3.388191702172107e-10
16,1,True,4695.885262437934,175348.8828272263,174819.35488643544,529.5279407908674,2624.979102358525,0.20172653577130972,0.5203276689838582,9.081116909723201e-10
17,1,True,3130.590174958623,174819.35488643544,174793.99404975394,25.360836681502406,4313.354418084929,0.005879608820265289,0.811961078026203,1.214766665947828e-09
18,1,False,2087.0601166390816,174793.99404975394,184443.49119067282,-9649.497140918887,16934.552552345336,-0.5698111663176179,1.8955112955498412,2.400267639449492e-09
18,2,False,4174.120233278163,174793.99404975394,175010.1622572383,-216.16820748435566,9910.283976068267,-0.02181251395079767,1.0544639387584143,4.904295816644355e-10
18,3,True,16696.480933112653,174793.99404975394,173774.37280591813,1019.6212438358052,2848.7660172242504,0.35791680947854493,0.2895487165220152,6.940804826245821e-11
19,1,True,11130.987288741768,173774.37280591813,173434.80516199511,339.56764392301557,899.0281031014663,0.3777052605492258,0.1996939597228471,6.509708316969586e-11
20,1,True,7420.658192494511,173434.80516199511,173128.99142639423,305.81373560088105,613.326657909163,0.49861477836851775,0.20235233436811198,4.156043682993673e-10
21,1,True,4947.105461663007,173128.99142639423,172691.57576469198,437.4156617022527,875.8621329514158,0.49941154577408386,0.2957821852457226,5.966854176886235e-10
22,1,True,3298.070307775338,172691.57576469198,172074.66878345117,616.9069812408125,1235.4163744102254,0.4993514688805361,0.4293933867822746,6.897567661537469e-10
23,1,True,2198.7135385168917,172074.66878345117,171221.30328260164,853.3655008495261,1719.7080221345723,0.4962269698493898,0.6194729156183879,1.1083739552337398e-09
24,1,True,1465.8090256779278,171221.30328260164,170130.67570903874,1090.6275735629024,2411.5576158712993,0.4522502661288717,0.8951057432801617,1.6863255512395913e-09
25,1,False,977.2060171186185,170130.67570903874,173074.07238492466,-2943.396675885917,5617.085645180409,-0.5240077972482795,1.6387963685195337,1.6620692134924569e-09
25,2,False,1954.412034237237,170130.67570903874,170337.65254744937,-206.97683841062826,3081.6391081297247,-0.06716452872907769,0.8698133936311333,1.1424050977004054e-10
25,3,True,7817.648136948948,170130.67570903874,169843.7780628665,286.8976461722341,844.9407806450903,0.3395476378275827,0.2310208261443067,4.2487614987666065e-10
26,1,True,5211.765424632632,169843.7780628665,169531.14970913116,312.6283537353447,677.6428271551291,0.4613468057321832,0.25386512476310974,1.1394748249329243e-10
27,1,True,3474.510283088421,169531.14970913116,169091.52360923274,439.62609989842167,975.8253757099093,0.4505171835468978,0.3730630188975819,7.105362077630175e-10
